Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Christiansted NHS	CHRI	National Historic Site	Southeast 	VI	1979	1	10,566
Christiansted NHS	CHRI	National Historic Site	Southeast 	VI	1979	2	9,226
Christiansted NHS	CHRI	National Historic Site	Southeast 	VI	1979	3	7,244
Christiansted NHS	CHRI	National Historic Site	Southeast 	VI	1979	4	6,724
Christiansted NHS	CHRI	National Historic Site	Southeast 	VI	1979	5	4,560
Christiansted NHS	CHRI	National Historic Site	Southeast 	VI	1979	6	4,820
Christiansted NHS	CHRI	National Historic Site	Southeast 	VI	1979	7	6,260
Christiansted NHS	CHRI	National Historic Site	Southeast 	VI	1979	8	6,010
Christiansted NHS	CHRI	National Historic Site	Southeast 	VI	1979	9	5,850
Christiansted NHS	CHRI	National Historic Site	Southeast 	VI	1979	10	8,050
Christiansted NHS	CHRI	National Historic Site	Southeast 	VI	1979	11	10,675
Christiansted NHS	CHRI	National Historic Site	Southeast 	VI	1979	12	10,805
Christiansted NHS	CHRI	National Historic Site	Southeast 	VI	1980	1	8,880
Christiansted NHS	CHRI	National Historic Site	Southeast 	VI	1980	2	11,960
Christiansted NHS	CHRI	National Historic Site	Southeast 	VI	1980	3	11,637
Christiansted NHS	CHRI	National Historic Site	Southeast 	VI	1980	4	8,640
Christiansted NHS	CHRI	National Historic Site	Southeast 	VI	1980	5	5,486
Christiansted NHS	CHRI	National Historic Site	Southeast 	VI	1980	6	5,844
Christiansted NHS	CHRI	National Historic Site	Southeast 	VI	1980	7	6,826
Christiansted NHS	CHRI	National Historic Site	Southeast 	VI	1980	8	6,118
Christiansted NHS	CHRI	National Historic Site	Southeast 	VI	1980	9	6,925
Christiansted NHS	CHRI	National Historic Site	Southeast 	VI	1980	10	4,535
Christiansted NHS	CHRI	National Historic Site	Southeast 	VI	1980	11	2,107
Christiansted NHS	CHRI	National Historic Site	Southeast 	VI	1980	12	25,500
Christiansted NHS	CHRI	National Historic Site	Southeast 	VI	1981	1	4,840
Christiansted NHS	CHRI	National Historic Site	Southeast 	VI	1981	2	4,540
Christiansted NHS	CHRI	National Historic Site	Southeast 	VI	1981	3	8,040
Christiansted NHS	CHRI	National Historic Site	Southeast 	VI	1981	4	3,540
Christiansted NHS	CHRI	National Historic Site	Southeast 	VI	1981	5	2,750
Christiansted NHS	CHRI	National Historic Site	Southeast 	VI	1981	6	2,160
Christiansted NHS	CHRI	National Historic Site	Southeast 	VI	1981	7	1,150
Christiansted NHS	CHRI	National Historic Site	Southeast 	VI	1981	8	1,400
Christiansted NHS	CHRI	National Historic Site	Southeast 	VI	1981	9	713
Christiansted NHS	CHRI	National Historic Site	Southeast 	VI	1981	10	4,220
Christiansted NHS	CHRI	National Historic Site	Southeast 	VI	1981	11	1,750
Christiansted NHS	CHRI	National Historic Site	Southeast 	VI	1981	12	21,995
Christiansted NHS	CHRI	National Historic Site	Southeast 	VI	1982	1	5,900
Christiansted NHS	CHRI	National Historic Site	Southeast 	VI	1982	2	1,400
Christiansted NHS	CHRI	National Historic Site	Southeast 	VI	1982	3	3,318
Christiansted NHS	CHRI	National Historic Site	Southeast 	VI	1982	4	3,622
Christiansted NHS	CHRI	National Historic Site	Southeast 	VI	1982	5	7,981
Christiansted NHS	CHRI	National Historic Site	Southeast 	VI	1982	6	8,384
Christiansted NHS	CHRI	National Historic Site	Southeast 	VI	1982	7	10,884
Christiansted NHS	CHRI	National Historic Site	Southeast 	VI	1982	8	19,782
Christiansted NHS	CHRI	National Historic Site	Southeast 	VI	1982	9	23,474
Christiansted NHS	CHRI	National Historic Site	Southeast 	VI	1982	10	4,360
Christiansted NHS	CHRI	National Historic Site	Southeast 	VI	1982	11	4,721
Christiansted NHS	CHRI	National Historic Site	Southeast 	VI	1982	12	5,705
Christiansted NHS	CHRI	National Historic Site	Southeast 	VI	1983	1	11,062
Christiansted NHS	CHRI	National Historic Site	Southeast 	VI	1983	2	5,479
Christiansted NHS	CHRI	National Historic Site	Southeast 	VI	1983	3	8,728
Christiansted NHS	CHRI	National Historic Site	Southeast 	VI	1983	4	5,926
Christiansted NHS	CHRI	National Historic Site	Southeast 	VI	1983	5	5,959
Christiansted NHS	CHRI	National Historic Site	Southeast 	VI	1983	6	6,354
Christiansted NHS	CHRI	National Historic Site	Southeast 	VI	1983	7	6,912
Christiansted NHS	CHRI	National Historic Site	Southeast 	VI	1983	8	4,742
