Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	1992	1	5,510
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	1992	2	5,510
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	1992	3	5,510
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	1992	4	9,576
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	1992	5	12,573
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	1992	6	14,064
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	1992	7	12,686
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	1992	8	10,442
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	1992	9	11,468
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	1992	10	8,103
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	1992	11	2,172
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	1992	12	150
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	1993	1	1,088
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	1993	2	2,115
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	1993	3	6,210
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	1993	4	6,453
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	1993	5	9,908
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	1993	6	11,631
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	1993	7	12,485
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	1993	8	11,841
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	1993	9	12,152
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	1993	10	6,195
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	1993	11	2,764
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	1993	12	1,322
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	1994	1	559
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	1994	2	1,564
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	1994	3	4,245
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	1994	4	5,243
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	1994	5	9,176
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	1994	6	11,514
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	1994	7	9,407
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	1994	8	11,613
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	1994	9	15,813
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	1994	10	7,802
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	1994	11	2,359
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	1994	12	1,586
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	1995	1	340
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	1995	2	1,247
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	1995	3	1,162
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	1995	4	6,458
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	1995	5	13,406
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	1995	6	12,239
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	1995	7	12,926
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	1995	8	9,009
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	1995	9	9,997
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	1995	10	6,926
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	1995	11	4,101
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	1995	12	0
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	1996	1	0
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	1996	2	0
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	1996	3	0
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	1996	4	2,856
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	1996	5	15,644
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	1996	6	8,383
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	1996	7	11,792
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	1996	8	9,836
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	1996	9	7,665
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	1996	10	8,947
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	1996	11	2,187
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	1996	12	475
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	1997	1	475
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	1997	2	475
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	1997	3	675
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	1997	4	1,719
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	1997	5	9,766
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	1997	6	10,531
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	1997	7	11,178
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	1997	8	11,368
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	1997	9	9,808
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	1997	10	7,214
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	1997	11	8,359
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	1997	12	475
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	1998	1	600
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	1998	2	550
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	1998	3	700
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	1998	4	1,300
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	1998	5	8,743
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	1998	6	7,004
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	1998	7	9,807
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	1998	8	10,409
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	1998	9	8,337
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	1998	10	6,741
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	1998	11	4,418
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	1998	12	2,218
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	1999	1	500
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	1999	2	600
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	1999	3	700
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	1999	4	1,400
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	1999	5	10,030
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	1999	6	9,590
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	1999	7	12,635
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	1999	8	10,338
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	1999	9	9,899
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	1999	10	9,899
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	1999	11	4,500
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	1999	12	2,250
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2000	1	750
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2000	2	600
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2000	3	700
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2000	4	2,240
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2000	5	8,355
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2000	6	13,066
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2000	7	10,830
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2000	8	9,708
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2000	9	8,624
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2000	10	6,348
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2000	11	2,031
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2000	12	3,000
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2001	1	1,050
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2001	2	750
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2001	3	775
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2001	4	1,200
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2001	5	11,068
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2001	6	11,180
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2001	7	9,824
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2001	8	11,073
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2001	9	8,750
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2001	10	7,276
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2001	11	2,219
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2001	12	3,000
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2002	1	1,050
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2002	2	1,163
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2002	3	1,200
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2002	4	1,500
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2002	5	9,614
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2002	6	16,537
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2002	7	11,910
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2002	8	8,274
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2002	9	12,005
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2002	10	8,761
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2002	11	4,320
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2002	12	2,000
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2003	1	875
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2003	2	1,380
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2003	3	1,587
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2003	4	4,505
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2003	5	10,447
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2003	6	14,073
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2003	7	12,625
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2003	8	7,473
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2003	9	12,082
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2003	10	10,109
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2003	11	3,223
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2003	12	1,500
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2004	1	500
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2004	2	500
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2004	3	750
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2004	4	6,969
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2004	5	10,847
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2004	6	12,158
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2004	7	10,430
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2004	8	11,838
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2004	9	12,138
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2004	10	7,206
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2004	11	2,250
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2004	12	1,000
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2005	1	500
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2005	2	500
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2005	3	750
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2005	4	4,875
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2005	5	7,476
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2005	6	11,934
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2005	7	9,933
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2005	8	10,986
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2005	9	9,122
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2005	10	7,631
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2005	11	3,028
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2005	12	500
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2006	1	500
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2006	2	500
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2006	3	500
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2006	4	7,984
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2006	5	11,225
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2006	6	12,102
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2006	7	10,035
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2006	8	10,970
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2006	9	12,996
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2006	10	5,951
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2006	11	3,568
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2006	12	800
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2007	1	500
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2007	2	500
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2007	3	2,850
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2007	4	5,369
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2007	5	13,530
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2007	6	13,241
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2007	7	10,332
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2007	8	8,336
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2007	9	11,330
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2007	10	7,573
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2007	11	5,222
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2007	12	750
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2008	1	500
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2008	2	360
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2008	3	420
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2008	4	2,885
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2008	5	12,411
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2008	6	15,561
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2008	7	12,716
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2008	8	12,939
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2008	9	12,285
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2008	10	8,282
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2008	11	5,598
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2008	12	1,936
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2009	1	560
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2009	2	805
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2009	3	1,575
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2009	4	4,290
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2009	5	13,136
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2009	6	17,900
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2009	7	12,881
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2009	8	12,061
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2009	9	15,372
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2009	10	10,133
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2009	11	6,364
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2009	12	1,572
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2010	1	630
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2010	2	910
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2010	3	1,764
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2010	4	3,591
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2010	5	8,429
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2010	6	13,180
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2010	7	14,840
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2010	8	11,974
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2010	9	13,902
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2010	10	12,446
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2010	11	7,955
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2010	12	2,863
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2011	1	676
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2011	2	549
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2011	3	1,268
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2011	4	2,374
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2011	5	7,986
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2011	6	16,878
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2011	7	17,378
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2011	8	10,675
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2011	9	14,511
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2011	10	12,692
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2011	11	6,687
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2011	12	4,090
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2012	1	971
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2012	2	676
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2012	3	1,309
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2012	4	2,982
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2012	5	11,684
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2012	6	18,866
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2012	7	12,901
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2012	8	9,944
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2012	9	17,020
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2012	10	11,984
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2012	11	6,459
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2012	12	4,200
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2013	1	440
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2013	2	350
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2013	3	625
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2013	4	4,643
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2013	5	15,029
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2013	6	17,888
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2013	7	9,523
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2013	8	12,040
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2013	9	13,184
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2013	10	8,214
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2013	11	7,056
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2013	12	5,914
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2014	1	490
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2014	2	490
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2014	3	1,089
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2014	4	6,019
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2014	5	14,097
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2014	6	15,413
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2014	7	10,780
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2014	8	14,479
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2014	9	15,651
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2014	10	10,262
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2014	11	4,305
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2014	12	1,750
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2015	1	500
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2015	2	550
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2015	3	1,115
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2015	4	5,820
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2015	5	14,476
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2015	6	16,068
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2015	7	15,442
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2015	8	14,385
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2015	9	13,432
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2015	10	14,886
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2015	11	5,821
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2015	12	2,794
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2016	1	500
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2016	2	550
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2016	3	1,215
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2016	4	4,000
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2016	5	18,995
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2016	6	13,801
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2016	7	14,125
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2016	8	16,687
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2016	9	13,482
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2016	10	16,110
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2016	11	6,900
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2016	12	1,500
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2017	1	250
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2017	2	350
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2017	3	1,050
City of Rocks NRES	CIRO	National Reserve	Pacific West 	ID	2017	4	4,500
