Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Clara Barton NHS	CLBA	National Historic Site	National Capital 	MD	1979	1	0
Clara Barton NHS	CLBA	National Historic Site	National Capital 	MD	1979	2	56
Clara Barton NHS	CLBA	National Historic Site	National Capital 	MD	1979	3	395
Clara Barton NHS	CLBA	National Historic Site	National Capital 	MD	1979	4	365
Clara Barton NHS	CLBA	National Historic Site	National Capital 	MD	1979	5	775
Clara Barton NHS	CLBA	National Historic Site	National Capital 	MD	1979	6	1,035
Clara Barton NHS	CLBA	National Historic Site	National Capital 	MD	1979	7	1,355
Clara Barton NHS	CLBA	National Historic Site	National Capital 	MD	1979	8	945
Clara Barton NHS	CLBA	National Historic Site	National Capital 	MD	1979	9	1,362
Clara Barton NHS	CLBA	National Historic Site	National Capital 	MD	1979	10	504
Clara Barton NHS	CLBA	National Historic Site	National Capital 	MD	1979	11	456
Clara Barton NHS	CLBA	National Historic Site	National Capital 	MD	1979	12	272
Clara Barton NHS	CLBA	National Historic Site	National Capital 	MD	1980	1	286
Clara Barton NHS	CLBA	National Historic Site	National Capital 	MD	1980	2	207
Clara Barton NHS	CLBA	National Historic Site	National Capital 	MD	1980	3	414
Clara Barton NHS	CLBA	National Historic Site	National Capital 	MD	1980	4	700
Clara Barton NHS	CLBA	National Historic Site	National Capital 	MD	1980	5	972
Clara Barton NHS	CLBA	National Historic Site	National Capital 	MD	1980	6	699
Clara Barton NHS	CLBA	National Historic Site	National Capital 	MD	1980	7	1,336
Clara Barton NHS	CLBA	National Historic Site	National Capital 	MD	1980	8	771
Clara Barton NHS	CLBA	National Historic Site	National Capital 	MD	1980	9	555
Clara Barton NHS	CLBA	National Historic Site	National Capital 	MD	1980	10	489
Clara Barton NHS	CLBA	National Historic Site	National Capital 	MD	1980	11	453
Clara Barton NHS	CLBA	National Historic Site	National Capital 	MD	1980	12	322
Clara Barton NHS	CLBA	National Historic Site	National Capital 	MD	1981	1	238
Clara Barton NHS	CLBA	National Historic Site	National Capital 	MD	1981	2	465
Clara Barton NHS	CLBA	National Historic Site	National Capital 	MD	1981	3	908
Clara Barton NHS	CLBA	National Historic Site	National Capital 	MD	1981	4	742
Clara Barton NHS	CLBA	National Historic Site	National Capital 	MD	1981	5	1,728
Clara Barton NHS	CLBA	National Historic Site	National Capital 	MD	1981	6	1,139
Clara Barton NHS	CLBA	National Historic Site	National Capital 	MD	1981	7	1,810
Clara Barton NHS	CLBA	National Historic Site	National Capital 	MD	1981	8	1,199
Clara Barton NHS	CLBA	National Historic Site	National Capital 	MD	1981	9	976
Clara Barton NHS	CLBA	National Historic Site	National Capital 	MD	1981	10	477
Clara Barton NHS	CLBA	National Historic Site	National Capital 	MD	1981	11	884
Clara Barton NHS	CLBA	National Historic Site	National Capital 	MD	1981	12	723
Clara Barton NHS	CLBA	National Historic Site	National Capital 	MD	1982	1	126
Clara Barton NHS	CLBA	National Historic Site	National Capital 	MD	1982	2	418
Clara Barton NHS	CLBA	National Historic Site	National Capital 	MD	1982	3	515
Clara Barton NHS	CLBA	National Historic Site	National Capital 	MD	1982	4	1,106
Clara Barton NHS	CLBA	National Historic Site	National Capital 	MD	1982	5	1,275
Clara Barton NHS	CLBA	National Historic Site	National Capital 	MD	1982	6	1,403
Clara Barton NHS	CLBA	National Historic Site	National Capital 	MD	1982	7	2,849
Clara Barton NHS	CLBA	National Historic Site	National Capital 	MD	1982	8	1,613
Clara Barton NHS	CLBA	National Historic Site	National Capital 	MD	1982	9	926
Clara Barton NHS	CLBA	National Historic Site	National Capital 	MD	1982	10	1,360
Clara Barton NHS	CLBA	National Historic Site	National Capital 	MD	1982	11	648
Clara Barton NHS	CLBA	National Historic Site	National Capital 	MD	1982	12	636
Clara Barton NHS	CLBA	National Historic Site	National Capital 	MD	1983	1	496
Clara Barton NHS	CLBA	National Historic Site	National Capital 	MD	1983	2	1,018
Clara Barton NHS	CLBA	National Historic Site	National Capital 	MD	1983	3	1,499
Clara Barton NHS	CLBA	National Historic Site	National Capital 	MD	1983	4	1,044
Clara Barton NHS	CLBA	National Historic Site	National Capital 	MD	1983	5	1,661
Clara Barton NHS	CLBA	National Historic Site	National Capital 	MD	1983	6	1,401
Clara Barton NHS	CLBA	National Historic Site	National Capital 	MD	1983	7	1,625
Clara Barton NHS	CLBA	National Historic Site	National Capital 	MD	1983	8	1,157
Clara Barton NHS	CLBA	National Historic Site	National Capital 	MD	1983	9	906
Clara Barton NHS	CLBA	National Historic Site	National Capital 	MD	1983	10	1,301
Clara Barton NHS	CLBA	National Historic Site	National Capital 	MD	1983	11	712
Clara Barton NHS	CLBA	National Historic Site	National Capital 	MD	1983	12	311
Clara Barton NHS	CLBA	National Historic Site	National Capital 	MD	1984	1	410
Clara Barton NHS	CLBA	National Historic Site	National Capital 	MD	1984	2	2,336
Clara Barton NHS	CLBA	National Historic Site	National Capital 	MD	1984	3	890
Clara Barton NHS	CLBA	National Historic Site	National Capital 	MD	1984	4	1,311
Clara Barton NHS	CLBA	National Historic Site	National Capital 	MD	1984	5	1,507
Clara Barton NHS	CLBA	National Historic Site	National Capital 	MD	1984	6	1,253
Clara Barton NHS	CLBA	National Historic Site	National Capital 	MD	1984	7	2,458
Clara Barton NHS	CLBA	National Historic Site	National Capital 	MD	1984	8	2,306
Clara Barton NHS	CLBA	National Historic Site	National Capital 	MD	1984	9	1,092
Clara Barton NHS	CLBA	National Historic Site	National Capital 	MD	1984	10	1,853
Clara Barton NHS	CLBA	National Historic Site	National Capital 	MD	1984	11	578
Clara Barton NHS	CLBA	National Historic Site	National Capital 	MD	1984	12	796
Clara Barton NHS	CLBA	National Historic Site	National Capital 	MD	1985	1	354
Clara Barton NHS	CLBA	National Historic Site	National Capital 	MD	1985	2	4,381
Clara Barton NHS	CLBA	National Historic Site	National Capital 	MD	1985	3	1,152
Clara Barton NHS	CLBA	National Historic Site	National Capital 	MD	1985	4	1,270
Clara Barton NHS	CLBA	National Historic Site	National Capital 	MD	1985	5	1,804
Clara Barton NHS	CLBA	National Historic Site	National Capital 	MD	1985	6	1,503
Clara Barton NHS	CLBA	National Historic Site	National Capital 	MD	1985	7	1,705
Clara Barton NHS	CLBA	National Historic Site	National Capital 	MD	1985	8	1,926
Clara Barton NHS	CLBA	National Historic Site	National Capital 	MD	1985	9	1,145
Clara Barton NHS	CLBA	National Historic Site	National Capital 	MD	1985	10	872
Clara Barton NHS	CLBA	National Historic Site	National Capital 	MD	1985	11	698
Clara Barton NHS	CLBA	National Historic Site	National Capital 	MD	1985	12	505
Clara Barton NHS	CLBA	National Historic Site	National Capital 	MD	1986	1	407
Clara Barton NHS	CLBA	National Historic Site	National Capital 	MD	1986	2	4,338
Clara Barton NHS	CLBA	National Historic Site	National Capital 	MD	1986	3	3,088
Clara Barton NHS	CLBA	National Historic Site	National Capital 	MD	1986	4	1,308
Clara Barton NHS	CLBA	National Historic Site	National Capital 	MD	1986	5	2,016
Clara Barton NHS	CLBA	National Historic Site	National Capital 	MD	1986	6	2,392
Clara Barton NHS	CLBA	National Historic Site	National Capital 	MD	1986	7	2,097
Clara Barton NHS	CLBA	National Historic Site	National Capital 	MD	1986	8	1,576
Clara Barton NHS	CLBA	National Historic Site	National Capital 	MD	1986	9	1,840
Clara Barton NHS	CLBA	National Historic Site	National Capital 	MD	1986	10	1,263
Clara Barton NHS	CLBA	National Historic Site	National Capital 	MD	1986	11	979
Clara Barton NHS	CLBA	National Historic Site	National Capital 	MD	1986	12	632
Clara Barton NHS	CLBA	National Historic Site	National Capital 	MD	1987	1	651
Clara Barton NHS	CLBA	National Historic Site	National Capital 	MD	1987	2	1,908
Clara Barton NHS	CLBA	National Historic Site	National Capital 	MD	1987	3	1,854
Clara Barton NHS	CLBA	National Historic Site	National Capital 	MD	1987	4	1,644
Clara Barton NHS	CLBA	National Historic Site	National Capital 	MD	1987	5	2,264
Clara Barton NHS	CLBA	National Historic Site	National Capital 	MD	1987	6	2,214
Clara Barton NHS	CLBA	National Historic Site	National Capital 	MD	1987	7	2,000
Clara Barton NHS	CLBA	National Historic Site	National Capital 	MD	1987	8	2,271
Clara Barton NHS	CLBA	National Historic Site	National Capital 	MD	1987	9	1,056
