Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Colonial NHP	COLO	National Historical Park	Northeast 	VA	1979	1	418,881
Colonial NHP	COLO	National Historical Park	Northeast 	VA	1979	2	455,418
Colonial NHP	COLO	National Historical Park	Northeast 	VA	1979	3	571,491
Colonial NHP	COLO	National Historical Park	Northeast 	VA	1979	4	715,851
Colonial NHP	COLO	National Historical Park	Northeast 	VA	1979	5	667,243
Colonial NHP	COLO	National Historical Park	Northeast 	VA	1979	6	680,660
Colonial NHP	COLO	National Historical Park	Northeast 	VA	1979	7	738,479
Colonial NHP	COLO	National Historical Park	Northeast 	VA	1979	8	720,446
Colonial NHP	COLO	National Historical Park	Northeast 	VA	1979	9	576,580
Colonial NHP	COLO	National Historical Park	Northeast 	VA	1979	10	600,993
Colonial NHP	COLO	National Historical Park	Northeast 	VA	1979	11	496,529
Colonial NHP	COLO	National Historical Park	Northeast 	VA	1979	12	529,556
Colonial NHP	COLO	National Historical Park	Northeast 	VA	1980	1	309,442
Colonial NHP	COLO	National Historical Park	Northeast 	VA	1980	2	275,171
Colonial NHP	COLO	National Historical Park	Northeast 	VA	1980	3	417,519
Colonial NHP	COLO	National Historical Park	Northeast 	VA	1980	4	597,054
Colonial NHP	COLO	National Historical Park	Northeast 	VA	1980	5	573,542
Colonial NHP	COLO	National Historical Park	Northeast 	VA	1980	6	604,096
Colonial NHP	COLO	National Historical Park	Northeast 	VA	1980	7	756,755
Colonial NHP	COLO	National Historical Park	Northeast 	VA	1980	8	614,848
Colonial NHP	COLO	National Historical Park	Northeast 	VA	1980	9	503,994
Colonial NHP	COLO	National Historical Park	Northeast 	VA	1980	10	593,777
Colonial NHP	COLO	National Historical Park	Northeast 	VA	1980	11	562,909
Colonial NHP	COLO	National Historical Park	Northeast 	VA	1980	12	529,805
Colonial NHP	COLO	National Historical Park	Northeast 	VA	1981	1	544,236
Colonial NHP	COLO	National Historical Park	Northeast 	VA	1981	2	465,790
Colonial NHP	COLO	National Historical Park	Northeast 	VA	1981	3	580,334
Colonial NHP	COLO	National Historical Park	Northeast 	VA	1981	4	893,194
Colonial NHP	COLO	National Historical Park	Northeast 	VA	1981	5	772,021
Colonial NHP	COLO	National Historical Park	Northeast 	VA	1981	6	777,717
Colonial NHP	COLO	National Historical Park	Northeast 	VA	1981	7	932,634
Colonial NHP	COLO	National Historical Park	Northeast 	VA	1981	8	990,508
Colonial NHP	COLO	National Historical Park	Northeast 	VA	1981	9	660,321
Colonial NHP	COLO	National Historical Park	Northeast 	VA	1981	10	790,515
Colonial NHP	COLO	National Historical Park	Northeast 	VA	1981	11	517,469
Colonial NHP	COLO	National Historical Park	Northeast 	VA	1981	12	634,064
Colonial NHP	COLO	National Historical Park	Northeast 	VA	1982	1	367,772
Colonial NHP	COLO	National Historical Park	Northeast 	VA	1982	2	495,791
Colonial NHP	COLO	National Historical Park	Northeast 	VA	1982	3	535,035
Colonial NHP	COLO	National Historical Park	Northeast 	VA	1982	4	1,127,879
Colonial NHP	COLO	National Historical Park	Northeast 	VA	1982	5	638,555
Colonial NHP	COLO	National Historical Park	Northeast 	VA	1982	6	928,673
Colonial NHP	COLO	National Historical Park	Northeast 	VA	1982	7	929,502
Colonial NHP	COLO	National Historical Park	Northeast 	VA	1982	8	793,884
Colonial NHP	COLO	National Historical Park	Northeast 	VA	1982	9	849,707
Colonial NHP	COLO	National Historical Park	Northeast 	VA	1982	10	712,856
Colonial NHP	COLO	National Historical Park	Northeast 	VA	1982	11	575,387
Colonial NHP	COLO	National Historical Park	Northeast 	VA	1982	12	563,842
Colonial NHP	COLO	National Historical Park	Northeast 	VA	1983	1	42,808
Colonial NHP	COLO	National Historical Park	Northeast 	VA	1983	2	50,450
Colonial NHP	COLO	National Historical Park	Northeast 	VA	1983	3	93,268
Colonial NHP	COLO	National Historical Park	Northeast 	VA	1983	4	153,971
Colonial NHP	COLO	National Historical Park	Northeast 	VA	1983	5	160,343
Colonial NHP	COLO	National Historical Park	Northeast 	VA	1983	6	272,872
Colonial NHP	COLO	National Historical Park	Northeast 	VA	1983	7	336,868
Colonial NHP	COLO	National Historical Park	Northeast 	VA	1983	8	333,351
Colonial NHP	COLO	National Historical Park	Northeast 	VA	1983	9	212,500
Colonial NHP	COLO	National Historical Park	Northeast 	VA	1983	10	203,434
Colonial NHP	COLO	National Historical Park	Northeast 	VA	1983	11	140,026
Colonial NHP	COLO	National Historical Park	Northeast 	VA	1983	12	69,037
Colonial NHP	COLO	National Historical Park	Northeast 	VA	1984	1	34,052
Colonial NHP	COLO	National Historical Park	Northeast 	VA	1984	2	91,199
Colonial NHP	COLO	National Historical Park	Northeast 	VA	1984	3	114,702
Colonial NHP	COLO	National Historical Park	Northeast 	VA	1984	4	225,626
Colonial NHP	COLO	National Historical Park	Northeast 	VA	1984	5	315,201
Colonial NHP	COLO	National Historical Park	Northeast 	VA	1984	6	349,208
Colonial NHP	COLO	National Historical Park	Northeast 	VA	1984	7	316,735
Colonial NHP	COLO	National Historical Park	Northeast 	VA	1984	8	330,497
Colonial NHP	COLO	National Historical Park	Northeast 	VA	1984	9	236,046
Colonial NHP	COLO	National Historical Park	Northeast 	VA	1984	10	240,404
Colonial NHP	COLO	National Historical Park	Northeast 	VA	1984	11	137,994
Colonial NHP	COLO	National Historical Park	Northeast 	VA	1984	12	113,113
Colonial NHP	COLO	National Historical Park	Northeast 	VA	1985	1	36,291
Colonial NHP	COLO	National Historical Park	Northeast 	VA	1985	2	76,579
Colonial NHP	COLO	National Historical Park	Northeast 	VA	1985	3	102,797
Colonial NHP	COLO	National Historical Park	Northeast 	VA	1985	4	192,569
Colonial NHP	COLO	National Historical Park	Northeast 	VA	1985	5	201,513
Colonial NHP	COLO	National Historical Park	Northeast 	VA	1985	6	287,851
Colonial NHP	COLO	National Historical Park	Northeast 	VA	1985	7	330,950
Colonial NHP	COLO	National Historical Park	Northeast 	VA	1985	8	315,302
Colonial NHP	COLO	National Historical Park	Northeast 	VA	1985	9	212,853
Colonial NHP	COLO	National Historical Park	Northeast 	VA	1985	10	177,776
Colonial NHP	COLO	National Historical Park	Northeast 	VA	1985	11	108,541
Colonial NHP	COLO	National Historical Park	Northeast 	VA	1985	12	95,166
Colonial NHP	COLO	National Historical Park	Northeast 	VA	1986	1	60,248
Colonial NHP	COLO	National Historical Park	Northeast 	VA	1986	2	58,874
Colonial NHP	COLO	National Historical Park	Northeast 	VA	1986	3	125,709
Colonial NHP	COLO	National Historical Park	Northeast 	VA	1986	4	191,571
Colonial NHP	COLO	National Historical Park	Northeast 	VA	1986	5	193,380
Colonial NHP	COLO	National Historical Park	Northeast 	VA	1986	6	280,637
Colonial NHP	COLO	National Historical Park	Northeast 	VA	1986	7	295,996
Colonial NHP	COLO	National Historical Park	Northeast 	VA	1986	8	266,160
Colonial NHP	COLO	National Historical Park	Northeast 	VA	1986	9	154,052
Colonial NHP	COLO	National Historical Park	Northeast 	VA	1986	10	144,689
Colonial NHP	COLO	National Historical Park	Northeast 	VA	1986	11	154,207
Colonial NHP	COLO	National Historical Park	Northeast 	VA	1986	12	64,707
Colonial NHP	COLO	National Historical Park	Northeast 	VA	1987	1	41,064
Colonial NHP	COLO	National Historical Park	Northeast 	VA	1987	2	62,085
Colonial NHP	COLO	National Historical Park	Northeast 	VA	1987	3	138,445
Colonial NHP	COLO	National Historical Park	Northeast 	VA	1987	4	247,180
Colonial NHP	COLO	National Historical Park	Northeast 	VA	1987	5	256,712
Colonial NHP	COLO	National Historical Park	Northeast 	VA	1987	6	269,306
Colonial NHP	COLO	National Historical Park	Northeast 	VA	1987	7	376,271
Colonial NHP	COLO	National Historical Park	Northeast 	VA	1987	8	276,723
Colonial NHP	COLO	National Historical Park	Northeast 	VA	1987	9	227,365
Colonial NHP	COLO	National Historical Park	Northeast 	VA	1987	10	273,572
Colonial NHP	COLO	National Historical Park	Northeast 	VA	1987	11	158,755
Colonial NHP	COLO	National Historical Park	Northeast 	VA	1987	12	104,209
Colonial NHP	COLO	National Historical Park	Northeast 	VA	1988	1	55,477
Colonial NHP	COLO	National Historical Park	Northeast 	VA	1988	2	69,189
Colonial NHP	COLO	National Historical Park	Northeast 	VA	1988	3	150,304
Colonial NHP	COLO	National Historical Park	Northeast 	VA	1988	4	255,320
Colonial NHP	COLO	National Historical Park	Northeast 	VA	1988	5	273,553
Colonial NHP	COLO	National Historical Park	Northeast 	VA	1988	6	274,603
Colonial NHP	COLO	National Historical Park	Northeast 	VA	1988	7	324,194
Colonial NHP	COLO	National Historical Park	Northeast 	VA	1988	8	261,716
Colonial NHP	COLO	National Historical Park	Northeast 	VA	1988	9	230,588
Colonial NHP	COLO	National Historical Park	Northeast 	VA	1988	10	279,413
Colonial NHP	COLO	National Historical Park	Northeast 	VA	1988	11	175,915
Colonial NHP	COLO	National Historical Park	Northeast 	VA	1988	12	122,378
