Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Colorado NM	COLM	National Monument	Intermountain 	CO	1979	1	12,077
Colorado NM	COLM	National Monument	Intermountain 	CO	1979	2	2,490
Colorado NM	COLM	National Monument	Intermountain 	CO	1979	3	11,886
Colorado NM	COLM	National Monument	Intermountain 	CO	1979	4	18,390
Colorado NM	COLM	National Monument	Intermountain 	CO	1979	5	25,452
Colorado NM	COLM	National Monument	Intermountain 	CO	1979	6	62,149
Colorado NM	COLM	National Monument	Intermountain 	CO	1979	7	43,086
Colorado NM	COLM	National Monument	Intermountain 	CO	1979	8	48,111
Colorado NM	COLM	National Monument	Intermountain 	CO	1979	9	33,196
Colorado NM	COLM	National Monument	Intermountain 	CO	1979	10	17,081
Colorado NM	COLM	National Monument	Intermountain 	CO	1979	11	4,119
Colorado NM	COLM	National Monument	Intermountain 	CO	1979	12	12,547
Colorado NM	COLM	National Monument	Intermountain 	CO	1980	1	12,381
Colorado NM	COLM	National Monument	Intermountain 	CO	1980	2	11,703
Colorado NM	COLM	National Monument	Intermountain 	CO	1980	3	12,329
Colorado NM	COLM	National Monument	Intermountain 	CO	1980	4	25,878
Colorado NM	COLM	National Monument	Intermountain 	CO	1980	5	41,166
Colorado NM	COLM	National Monument	Intermountain 	CO	1980	6	38,626
Colorado NM	COLM	National Monument	Intermountain 	CO	1980	7	36,263
Colorado NM	COLM	National Monument	Intermountain 	CO	1980	8	30,693
Colorado NM	COLM	National Monument	Intermountain 	CO	1980	9	26,628
Colorado NM	COLM	National Monument	Intermountain 	CO	1980	10	14,683
Colorado NM	COLM	National Monument	Intermountain 	CO	1980	11	17,416
Colorado NM	COLM	National Monument	Intermountain 	CO	1980	12	7,463
Colorado NM	COLM	National Monument	Intermountain 	CO	1981	1	5,258
Colorado NM	COLM	National Monument	Intermountain 	CO	1981	2	16,350
Colorado NM	COLM	National Monument	Intermountain 	CO	1981	3	23,499
Colorado NM	COLM	National Monument	Intermountain 	CO	1981	4	31,027
Colorado NM	COLM	National Monument	Intermountain 	CO	1981	5	38,171
Colorado NM	COLM	National Monument	Intermountain 	CO	1981	6	30,401
Colorado NM	COLM	National Monument	Intermountain 	CO	1981	7	52,400
Colorado NM	COLM	National Monument	Intermountain 	CO	1981	8	34,862
Colorado NM	COLM	National Monument	Intermountain 	CO	1981	9	21,049
Colorado NM	COLM	National Monument	Intermountain 	CO	1981	10	21,266
Colorado NM	COLM	National Monument	Intermountain 	CO	1981	11	26,442
Colorado NM	COLM	National Monument	Intermountain 	CO	1981	12	24,485
Colorado NM	COLM	National Monument	Intermountain 	CO	1982	1	12,822
Colorado NM	COLM	National Monument	Intermountain 	CO	1982	2	20,788
Colorado NM	COLM	National Monument	Intermountain 	CO	1982	3	25,730
Colorado NM	COLM	National Monument	Intermountain 	CO	1982	4	34,906
Colorado NM	COLM	National Monument	Intermountain 	CO	1982	5	44,472
Colorado NM	COLM	National Monument	Intermountain 	CO	1982	6	44,339
Colorado NM	COLM	National Monument	Intermountain 	CO	1982	7	28,958
Colorado NM	COLM	National Monument	Intermountain 	CO	1982	8	22,546
Colorado NM	COLM	National Monument	Intermountain 	CO	1982	9	30,069
Colorado NM	COLM	National Monument	Intermountain 	CO	1982	10	25,026
Colorado NM	COLM	National Monument	Intermountain 	CO	1982	11	11,382
Colorado NM	COLM	National Monument	Intermountain 	CO	1982	12	18,624
Colorado NM	COLM	National Monument	Intermountain 	CO	1983	1	16,326
Colorado NM	COLM	National Monument	Intermountain 	CO	1983	2	15,557
Colorado NM	COLM	National Monument	Intermountain 	CO	1983	3	21,360
Colorado NM	COLM	National Monument	Intermountain 	CO	1983	4	30,051
Colorado NM	COLM	National Monument	Intermountain 	CO	1983	5	33,931
Colorado NM	COLM	National Monument	Intermountain 	CO	1983	6	34,056
Colorado NM	COLM	National Monument	Intermountain 	CO	1983	7	31,395
Colorado NM	COLM	National Monument	Intermountain 	CO	1983	8	27,086
Colorado NM	COLM	National Monument	Intermountain 	CO	1983	9	27,360
Colorado NM	COLM	National Monument	Intermountain 	CO	1983	10	24,234
Colorado NM	COLM	National Monument	Intermountain 	CO	1983	11	10,296
Colorado NM	COLM	National Monument	Intermountain 	CO	1983	12	7,840
Colorado NM	COLM	National Monument	Intermountain 	CO	1984	1	9,260
Colorado NM	COLM	National Monument	Intermountain 	CO	1984	2	13,518
Colorado NM	COLM	National Monument	Intermountain 	CO	1984	3	17,382
Colorado NM	COLM	National Monument	Intermountain 	CO	1984	4	24,672
Colorado NM	COLM	National Monument	Intermountain 	CO	1984	5	45,330
Colorado NM	COLM	National Monument	Intermountain 	CO	1984	6	32,963
Colorado NM	COLM	National Monument	Intermountain 	CO	1984	7	33,790
Colorado NM	COLM	National Monument	Intermountain 	CO	1984	8	38,627
Colorado NM	COLM	National Monument	Intermountain 	CO	1984	9	25,775
Colorado NM	COLM	National Monument	Intermountain 	CO	1984	10	21,417
Colorado NM	COLM	National Monument	Intermountain 	CO	1984	11	15,356
Colorado NM	COLM	National Monument	Intermountain 	CO	1984	12	11,466
Colorado NM	COLM	National Monument	Intermountain 	CO	1985	1	10,578
Colorado NM	COLM	National Monument	Intermountain 	CO	1985	2	10,830
Colorado NM	COLM	National Monument	Intermountain 	CO	1985	3	18,513
Colorado NM	COLM	National Monument	Intermountain 	CO	1985	4	27,987
Colorado NM	COLM	National Monument	Intermountain 	CO	1985	5	39,016
Colorado NM	COLM	National Monument	Intermountain 	CO	1985	6	33,130
Colorado NM	COLM	National Monument	Intermountain 	CO	1985	7	44,814
Colorado NM	COLM	National Monument	Intermountain 	CO	1985	8	47,039
