Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Congaree NP	CONG	National Park	Southeast 	SC	1985	1	531
Congaree NP	CONG	National Park	Southeast 	SC	1985	2	740
Congaree NP	CONG	National Park	Southeast 	SC	1985	3	1,888
Congaree NP	CONG	National Park	Southeast 	SC	1985	4	1,795
Congaree NP	CONG	National Park	Southeast 	SC	1985	5	1,404
Congaree NP	CONG	National Park	Southeast 	SC	1985	6	844
Congaree NP	CONG	National Park	Southeast 	SC	1985	7	836
Congaree NP	CONG	National Park	Southeast 	SC	1985	8	688
Congaree NP	CONG	National Park	Southeast 	SC	1985	9	779
Congaree NP	CONG	National Park	Southeast 	SC	1985	10	926
Congaree NP	CONG	National Park	Southeast 	SC	1985	11	1,171
Congaree NP	CONG	National Park	Southeast 	SC	1985	12	730
Congaree NP	CONG	National Park	Southeast 	SC	1986	1	764
Congaree NP	CONG	National Park	Southeast 	SC	1986	2	1,277
Congaree NP	CONG	National Park	Southeast 	SC	1986	3	2,519
Congaree NP	CONG	National Park	Southeast 	SC	1986	4	1,889
Congaree NP	CONG	National Park	Southeast 	SC	1986	5	1,296
Congaree NP	CONG	National Park	Southeast 	SC	1986	6	965
Congaree NP	CONG	National Park	Southeast 	SC	1986	7	647
Congaree NP	CONG	National Park	Southeast 	SC	1986	8	825
Congaree NP	CONG	National Park	Southeast 	SC	1986	9	805
Congaree NP	CONG	National Park	Southeast 	SC	1986	10	1,658
Congaree NP	CONG	National Park	Southeast 	SC	1986	11	2,800
Congaree NP	CONG	National Park	Southeast 	SC	1986	12	1,063
Congaree NP	CONG	National Park	Southeast 	SC	1987	1	1,056
Congaree NP	CONG	National Park	Southeast 	SC	1987	2	907
Congaree NP	CONG	National Park	Southeast 	SC	1987	3	2,383
Congaree NP	CONG	National Park	Southeast 	SC	1987	4	3,022
Congaree NP	CONG	National Park	Southeast 	SC	1987	5	2,621
Congaree NP	CONG	National Park	Southeast 	SC	1987	6	1,422
Congaree NP	CONG	National Park	Southeast 	SC	1987	7	1,217
Congaree NP	CONG	National Park	Southeast 	SC	1987	8	1,026
Congaree NP	CONG	National Park	Southeast 	SC	1987	9	1,093
Congaree NP	CONG	National Park	Southeast 	SC	1987	10	2,088
Congaree NP	CONG	National Park	Southeast 	SC	1987	11	2,327
Congaree NP	CONG	National Park	Southeast 	SC	1987	12	1,150
Congaree NP	CONG	National Park	Southeast 	SC	1988	1	1,144
Congaree NP	CONG	National Park	Southeast 	SC	1988	2	1,501
Congaree NP	CONG	National Park	Southeast 	SC	1988	3	2,598
Congaree NP	CONG	National Park	Southeast 	SC	1988	4	4,250
Congaree NP	CONG	National Park	Southeast 	SC	1988	5	3,659
Congaree NP	CONG	National Park	Southeast 	SC	1988	6	1,872
Congaree NP	CONG	National Park	Southeast 	SC	1988	7	1,900
Congaree NP	CONG	National Park	Southeast 	SC	1988	8	1,238
Congaree NP	CONG	National Park	Southeast 	SC	1988	9	1,510
Congaree NP	CONG	National Park	Southeast 	SC	1988	10	2,389
Congaree NP	CONG	National Park	Southeast 	SC	1988	11	2,786
Congaree NP	CONG	National Park	Southeast 	SC	1988	12	1,410
Congaree NP	CONG	National Park	Southeast 	SC	1989	1	1,409
Congaree NP	CONG	National Park	Southeast 	SC	1989	2	1,613
Congaree NP	CONG	National Park	Southeast 	SC	1989	3	3,630
Congaree NP	CONG	National Park	Southeast 	SC	1989	4	4,194
Congaree NP	CONG	National Park	Southeast 	SC	1989	5	3,210
Congaree NP	CONG	National Park	Southeast 	SC	1989	6	2,417
Congaree NP	CONG	National Park	Southeast 	SC	1989	7	1,767
Congaree NP	CONG	National Park	Southeast 	SC	1989	8	1,500
Congaree NP	CONG	National Park	Southeast 	SC	1989	9	1,232
Congaree NP	CONG	National Park	Southeast 	SC	1989	10	1,745
Congaree NP	CONG	National Park	Southeast 	SC	1989	11	1,988
Congaree NP	CONG	National Park	Southeast 	SC	1989	12	740
Congaree NP	CONG	National Park	Southeast 	SC	1990	1	1,203
Congaree NP	CONG	National Park	Southeast 	SC	1990	2	1,447
Congaree NP	CONG	National Park	Southeast 	SC	1990	3	2,110
Congaree NP	CONG	National Park	Southeast 	SC	1990	4	3,374
Congaree NP	CONG	National Park	Southeast 	SC	1990	5	2,633
Congaree NP	CONG	National Park	Southeast 	SC	1990	6	2,078
Congaree NP	CONG	National Park	Southeast 	SC	1990	7	1,767
Congaree NP	CONG	National Park	Southeast 	SC	1990	8	1,188
Congaree NP	CONG	National Park	Southeast 	SC	1990	9	1,816
Congaree NP	CONG	National Park	Southeast 	SC	1990	10	1,582
Congaree NP	CONG	National Park	Southeast 	SC	1990	11	2,721
Congaree NP	CONG	National Park	Southeast 	SC	1990	12	1,304
Congaree NP	CONG	National Park	Southeast 	SC	1991	1	1,205
Congaree NP	CONG	National Park	Southeast 	SC	1991	2	1,562
Congaree NP	CONG	National Park	Southeast 	SC	1991	3	2,981
Congaree NP	CONG	National Park	Southeast 	SC	1991	4	3,323
Congaree NP	CONG	National Park	Southeast 	SC	1991	5	2,548
Congaree NP	CONG	National Park	Southeast 	SC	1991	6	2,612
Congaree NP	CONG	National Park	Southeast 	SC	1991	7	1,765
Congaree NP	CONG	National Park	Southeast 	SC	1991	8	1,512
Congaree NP	CONG	National Park	Southeast 	SC	1991	9	2,813
Congaree NP	CONG	National Park	Southeast 	SC	1991	10	5,083
Congaree NP	CONG	National Park	Southeast 	SC	1991	11	3,555
Congaree NP	CONG	National Park	Southeast 	SC	1991	12	2,016
Congaree NP	CONG	National Park	Southeast 	SC	1992	1	2,730
Congaree NP	CONG	National Park	Southeast 	SC	1992	2	3,093
Congaree NP	CONG	National Park	Southeast 	SC	1992	3	4,342
Congaree NP	CONG	National Park	Southeast 	SC	1992	4	5,164
Congaree NP	CONG	National Park	Southeast 	SC	1992	5	5,882
Congaree NP	CONG	National Park	Southeast 	SC	1992	6	2,976
Congaree NP	CONG	National Park	Southeast 	SC	1992	7	2,865
Congaree NP	CONG	National Park	Southeast 	SC	1992	8	2,247
Congaree NP	CONG	National Park	Southeast 	SC	1992	9	2,477
Congaree NP	CONG	National Park	Southeast 	SC	1992	10	2,981
Congaree NP	CONG	National Park	Southeast 	SC	1992	11	3,392
Congaree NP	CONG	National Park	Southeast 	SC	1992	12	1,869
Congaree NP	CONG	National Park	Southeast 	SC	1993	1	3,101
Congaree NP	CONG	National Park	Southeast 	SC	1993	2	3,293
Congaree NP	CONG	National Park	Southeast 	SC	1993	3	3,669
