Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Coronado NMEM	CORO	National Memorial	Intermountain 	AZ	1979	1	3,670
Coronado NMEM	CORO	National Memorial	Intermountain 	AZ	1979	2	4,538
Coronado NMEM	CORO	National Memorial	Intermountain 	AZ	1979	3	4,864
Coronado NMEM	CORO	National Memorial	Intermountain 	AZ	1979	4	7,022
Coronado NMEM	CORO	National Memorial	Intermountain 	AZ	1979	5	5,122
Coronado NMEM	CORO	National Memorial	Intermountain 	AZ	1979	6	4,136
Coronado NMEM	CORO	National Memorial	Intermountain 	AZ	1979	7	4,842
Coronado NMEM	CORO	National Memorial	Intermountain 	AZ	1979	8	10,014
Coronado NMEM	CORO	National Memorial	Intermountain 	AZ	1979	9	5,859
Coronado NMEM	CORO	National Memorial	Intermountain 	AZ	1979	10	4,189
Coronado NMEM	CORO	National Memorial	Intermountain 	AZ	1979	11	2,631
Coronado NMEM	CORO	National Memorial	Intermountain 	AZ	1979	12	2,864
Coronado NMEM	CORO	National Memorial	Intermountain 	AZ	1980	1	2,174
Coronado NMEM	CORO	National Memorial	Intermountain 	AZ	1980	2	1,953
Coronado NMEM	CORO	National Memorial	Intermountain 	AZ	1980	3	2,398
Coronado NMEM	CORO	National Memorial	Intermountain 	AZ	1980	4	8,786
Coronado NMEM	CORO	National Memorial	Intermountain 	AZ	1980	5	3,716
Coronado NMEM	CORO	National Memorial	Intermountain 	AZ	1980	6	3,577
Coronado NMEM	CORO	National Memorial	Intermountain 	AZ	1980	7	2,930
Coronado NMEM	CORO	National Memorial	Intermountain 	AZ	1980	8	4,363
Coronado NMEM	CORO	National Memorial	Intermountain 	AZ	1980	9	2,333
Coronado NMEM	CORO	National Memorial	Intermountain 	AZ	1980	10	3,921
Coronado NMEM	CORO	National Memorial	Intermountain 	AZ	1980	11	3,359
Coronado NMEM	CORO	National Memorial	Intermountain 	AZ	1980	12	3,138
Coronado NMEM	CORO	National Memorial	Intermountain 	AZ	1981	1	1,664
Coronado NMEM	CORO	National Memorial	Intermountain 	AZ	1981	2	1,462
Coronado NMEM	CORO	National Memorial	Intermountain 	AZ	1981	3	4,096
Coronado NMEM	CORO	National Memorial	Intermountain 	AZ	1981	4	12,099
Coronado NMEM	CORO	National Memorial	Intermountain 	AZ	1981	5	4,649
Coronado NMEM	CORO	National Memorial	Intermountain 	AZ	1981	6	4,173
Coronado NMEM	CORO	National Memorial	Intermountain 	AZ	1981	7	4,202
Coronado NMEM	CORO	National Memorial	Intermountain 	AZ	1981	8	3,127
Coronado NMEM	CORO	National Memorial	Intermountain 	AZ	1981	9	3,795
Coronado NMEM	CORO	National Memorial	Intermountain 	AZ	1981	10	2,442
Coronado NMEM	CORO	National Memorial	Intermountain 	AZ	1981	11	2,595
Coronado NMEM	CORO	National Memorial	Intermountain 	AZ	1981	12	2,377
Coronado NMEM	CORO	National Memorial	Intermountain 	AZ	1982	1	3,231
Coronado NMEM	CORO	National Memorial	Intermountain 	AZ	1982	2	3,751
Coronado NMEM	CORO	National Memorial	Intermountain 	AZ	1982	3	3,948
Coronado NMEM	CORO	National Memorial	Intermountain 	AZ	1982	4	11,465
Coronado NMEM	CORO	National Memorial	Intermountain 	AZ	1982	5	4,887
Coronado NMEM	CORO	National Memorial	Intermountain 	AZ	1982	6	3,895
Coronado NMEM	CORO	National Memorial	Intermountain 	AZ	1982	7	3,360
Coronado NMEM	CORO	National Memorial	Intermountain 	AZ	1982	8	1,527
Coronado NMEM	CORO	National Memorial	Intermountain 	AZ	1982	9	1,371
Coronado NMEM	CORO	National Memorial	Intermountain 	AZ	1982	10	1,570
Coronado NMEM	CORO	National Memorial	Intermountain 	AZ	1982	11	1,991
Coronado NMEM	CORO	National Memorial	Intermountain 	AZ	1982	12	2,334
Coronado NMEM	CORO	National Memorial	Intermountain 	AZ	1983	1	2,428
Coronado NMEM	CORO	National Memorial	Intermountain 	AZ	1983	2	2,359
Coronado NMEM	CORO	National Memorial	Intermountain 	AZ	1983	3	2,964
Coronado NMEM	CORO	National Memorial	Intermountain 	AZ	1983	4	11,324
Coronado NMEM	CORO	National Memorial	Intermountain 	AZ	1983	5	3,107
Coronado NMEM	CORO	National Memorial	Intermountain 	AZ	1983	6	3,373
Coronado NMEM	CORO	National Memorial	Intermountain 	AZ	1983	7	2,299
Coronado NMEM	CORO	National Memorial	Intermountain 	AZ	1983	8	796
Coronado NMEM	CORO	National Memorial	Intermountain 	AZ	1983	9	1,524
Coronado NMEM	CORO	National Memorial	Intermountain 	AZ	1983	10	1,538
Coronado NMEM	CORO	National Memorial	Intermountain 	AZ	1983	11	965
Coronado NMEM	CORO	National Memorial	Intermountain 	AZ	1983	12	862
Coronado NMEM	CORO	National Memorial	Intermountain 	AZ	1984	1	2,199
Coronado NMEM	CORO	National Memorial	Intermountain 	AZ	1984	2	2,386
Coronado NMEM	CORO	National Memorial	Intermountain 	AZ	1984	3	3,421
Coronado NMEM	CORO	National Memorial	Intermountain 	AZ	1984	4	11,207
Coronado NMEM	CORO	National Memorial	Intermountain 	AZ	1984	5	2,902
Coronado NMEM	CORO	National Memorial	Intermountain 	AZ	1984	6	3,554
Coronado NMEM	CORO	National Memorial	Intermountain 	AZ	1984	7	2,057
Coronado NMEM	CORO	National Memorial	Intermountain 	AZ	1984	8	3,221
Coronado NMEM	CORO	National Memorial	Intermountain 	AZ	1984	9	2,679
Coronado NMEM	CORO	National Memorial	Intermountain 	AZ	1984	10	4,389
Coronado NMEM	CORO	National Memorial	Intermountain 	AZ	1984	11	628
Coronado NMEM	CORO	National Memorial	Intermountain 	AZ	1984	12	676
Coronado NMEM	CORO	National Memorial	Intermountain 	AZ	1985	1	1,475
Coronado NMEM	CORO	National Memorial	Intermountain 	AZ	1985	2	2,226
Coronado NMEM	CORO	National Memorial	Intermountain 	AZ	1985	3	3,590
Coronado NMEM	CORO	National Memorial	Intermountain 	AZ	1985	4	10,086
Coronado NMEM	CORO	National Memorial	Intermountain 	AZ	1985	5	3,150
Coronado NMEM	CORO	National Memorial	Intermountain 	AZ	1985	6	2,476
Coronado NMEM	CORO	National Memorial	Intermountain 	AZ	1985	7	3,699
Coronado NMEM	CORO	National Memorial	Intermountain 	AZ	1985	8	2,506
Coronado NMEM	CORO	National Memorial	Intermountain 	AZ	1985	9	4,036
Coronado NMEM	CORO	National Memorial	Intermountain 	AZ	1985	10	3,988
Coronado NMEM	CORO	National Memorial	Intermountain 	AZ	1985	11	2,631
Coronado NMEM	CORO	National Memorial	Intermountain 	AZ	1985	12	4,163
Coronado NMEM	CORO	National Memorial	Intermountain 	AZ	1986	1	2,766
Coronado NMEM	CORO	National Memorial	Intermountain 	AZ	1986	2	2,697
Coronado NMEM	CORO	National Memorial	Intermountain 	AZ	1986	3	3,409
Coronado NMEM	CORO	National Memorial	Intermountain 	AZ	1986	4	9,877
Coronado NMEM	CORO	National Memorial	Intermountain 	AZ	1986	5	3,131
Coronado NMEM	CORO	National Memorial	Intermountain 	AZ	1986	6	3,068
Coronado NMEM	CORO	National Memorial	Intermountain 	AZ	1986	7	4,459
Coronado NMEM	CORO	National Memorial	Intermountain 	AZ	1986	8	2,715
Coronado NMEM	CORO	National Memorial	Intermountain 	AZ	1986	9	2,667
Coronado NMEM	CORO	National Memorial	Intermountain 	AZ	1986	10	4,459
Coronado NMEM	CORO	National Memorial	Intermountain 	AZ	1986	11	5,801
Coronado NMEM	CORO	National Memorial	Intermountain 	AZ	1986	12	8,783
Coronado NMEM	CORO	National Memorial	Intermountain 	AZ	1987	1	3,307
Coronado NMEM	CORO	National Memorial	Intermountain 	AZ	1987	2	3,095
Coronado NMEM	CORO	National Memorial	Intermountain 	AZ	1987	3	4,185
Coronado NMEM	CORO	National Memorial	Intermountain 	AZ	1987	4	10,056
Coronado NMEM	CORO	National Memorial	Intermountain 	AZ	1987	5	5,475
Coronado NMEM	CORO	National Memorial	Intermountain 	AZ	1987	6	4,911
Coronado NMEM	CORO	National Memorial	Intermountain 	AZ	1987	7	5,116
Coronado NMEM	CORO	National Memorial	Intermountain 	AZ	1987	8	2,667
Coronado NMEM	CORO	National Memorial	Intermountain 	AZ	1987	9	4,857
Coronado NMEM	CORO	National Memorial	Intermountain 	AZ	1987	10	5,352
Coronado NMEM	CORO	National Memorial	Intermountain 	AZ	1987	11	3,255
Coronado NMEM	CORO	National Memorial	Intermountain 	AZ	1987	12	3,517
Coronado NMEM	CORO	National Memorial	Intermountain 	AZ	1988	1	4,196
