Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Cowpens NB	COWP	National Battlefield	Southeast 	SC	1979	1	9,771
Cowpens NB	COWP	National Battlefield	Southeast 	SC	1979	2	6,400
Cowpens NB	COWP	National Battlefield	Southeast 	SC	1979	3	1,816
Cowpens NB	COWP	National Battlefield	Southeast 	SC	1979	4	3,714
Cowpens NB	COWP	National Battlefield	Southeast 	SC	1979	5	10,000
Cowpens NB	COWP	National Battlefield	Southeast 	SC	1979	6	6,700
Cowpens NB	COWP	National Battlefield	Southeast 	SC	1979	7	6,040
Cowpens NB	COWP	National Battlefield	Southeast 	SC	1979	8	6,920
Cowpens NB	COWP	National Battlefield	Southeast 	SC	1979	9	6,689
Cowpens NB	COWP	National Battlefield	Southeast 	SC	1979	10	12,680
Cowpens NB	COWP	National Battlefield	Southeast 	SC	1979	11	5,482
Cowpens NB	COWP	National Battlefield	Southeast 	SC	1979	12	2,229
Cowpens NB	COWP	National Battlefield	Southeast 	SC	1980	1	2,152
Cowpens NB	COWP	National Battlefield	Southeast 	SC	1980	2	4,215
Cowpens NB	COWP	National Battlefield	Southeast 	SC	1980	3	5,580
Cowpens NB	COWP	National Battlefield	Southeast 	SC	1980	4	7,506
Cowpens NB	COWP	National Battlefield	Southeast 	SC	1980	5	8,254
Cowpens NB	COWP	National Battlefield	Southeast 	SC	1980	6	9,829
Cowpens NB	COWP	National Battlefield	Southeast 	SC	1980	7	10,550
Cowpens NB	COWP	National Battlefield	Southeast 	SC	1980	8	9,599
Cowpens NB	COWP	National Battlefield	Southeast 	SC	1980	9	8,388
Cowpens NB	COWP	National Battlefield	Southeast 	SC	1980	10	9,675
Cowpens NB	COWP	National Battlefield	Southeast 	SC	1980	11	5,562
Cowpens NB	COWP	National Battlefield	Southeast 	SC	1980	12	4,456
Cowpens NB	COWP	National Battlefield	Southeast 	SC	1981	1	20,000
Cowpens NB	COWP	National Battlefield	Southeast 	SC	1981	2	4,388
Cowpens NB	COWP	National Battlefield	Southeast 	SC	1981	3	6,077
Cowpens NB	COWP	National Battlefield	Southeast 	SC	1981	4	3,961
Cowpens NB	COWP	National Battlefield	Southeast 	SC	1981	5	3,860
Cowpens NB	COWP	National Battlefield	Southeast 	SC	1981	6	3,819
Cowpens NB	COWP	National Battlefield	Southeast 	SC	1981	7	5,159
Cowpens NB	COWP	National Battlefield	Southeast 	SC	1981	8	5,437
Cowpens NB	COWP	National Battlefield	Southeast 	SC	1981	9	3,768
Cowpens NB	COWP	National Battlefield	Southeast 	SC	1981	10	3,487
