Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1979	1	6,771
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1979	2	5,820
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1979	3	10,617
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1979	4	11,004
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1979	5	21,528
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1979	6	60,324
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1979	7	84,408
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1979	8	107,031
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1979	9	66,429
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1979	10	26,160
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1979	11	8,058
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1979	12	2,599
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1980	1	8,213
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1980	2	7,795
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1980	3	9,619
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1980	4	10,550
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1980	5	20,280
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1980	6	58,798
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1980	7	104,898
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1980	8	122,921
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1980	9	64,492
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1980	10	28,026
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1980	11	9,564
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1980	12	9,987
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1981	1	10,234
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1981	2	10,492
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1981	3	15,528
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1981	4	12,777
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1981	5	24,390
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1981	6	67,047
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1981	7	121,320
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1981	8	123,987
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1981	9	74,811
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1981	10	20,454
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1981	11	11,414
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1981	12	10,950
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1982	1	6,352
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1982	2	8,348
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1982	3	9,060
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1982	4	7,993
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1982	5	19,416
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1982	6	45,147
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1982	7	116,324
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1982	8	102,627
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1982	9	68,490
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1982	10	21,900
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1982	11	22,904
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1982	12	7,028
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1983	1	6,480
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1983	2	8,383
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1983	3	9,187
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1983	4	10,005
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1983	5	18,427
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1983	6	47,592
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1983	7	89,355
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1983	8	105,156
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1983	9	50,283
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1983	10	21,810
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1983	11	6,717
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1983	12	5,613
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1984	1	6,466
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1984	2	6,694
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1984	3	10,023
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1984	4	10,131
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1984	5	17,118
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1984	6	39,470
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1984	7	109,800
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1984	8	130,212
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1984	9	65,265
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1984	10	11,454
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1984	11	6,317
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1984	12	6,879
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1985	1	5,717
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1985	2	4,921
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1985	3	5,426
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1985	4	8,722
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1985	5	18,987
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1985	6	59,522
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1985	7	101,868
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1985	8	117,853
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1985	9	40,942
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1985	10	14,712
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1985	11	6,186
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1985	12	5,748
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1986	1	4,525
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1986	2	4,897
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1986	3	9,137
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1986	4	9,172
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1986	5	23,397
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1986	6	52,737
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1986	7	106,210
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1986	8	113,196
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1986	9	45,840
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1986	10	17,742
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1986	11	9,150
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1986	12	6,786
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1987	1	5,625
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1987	2	4,956
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1987	3	8,472
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1987	4	12,171
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1987	5	32,610
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1987	6	58,531
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1987	7	118,691
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1987	8	109,133
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1987	9	58,554
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1987	10	32,364
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1987	11	11,493
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1987	12	7,950
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1988	1	4,900
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1988	2	7,185
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1988	3	10,469
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1988	4	11,793
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1988	5	25,464
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1988	6	49,482
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1988	7	98,871
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1988	8	114,791
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1988	9	73,017
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1988	10	37,368
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1988	11	5,670
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1988	12	4,420
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1989	1	3,931
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1989	2	4,570
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1989	3	7,538
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1989	4	12,193
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1989	5	20,595
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1989	6	47,894
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1989	7	102,207
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1989	8	114,211
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1989	9	72,529
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1989	10	30,255
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1989	11	7,731
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1989	12	7,080
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1990	1	4,866
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1990	2	4,131
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1990	3	6,798
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1990	4	13,098
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1990	5	21,063
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1990	6	54,934
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1990	7	89,374
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1990	8	94,422
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1990	9	63,458
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1990	10	22,314
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1990	11	6,034
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1990	12	4,449
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1991	1	3,856
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1991	2	5,665
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1991	3	6,567
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1991	4	8,009
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1991	5	23,712
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1991	6	48,512
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1991	7	111,307
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1991	8	113,970
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1991	9	78,144
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1991	10	44,469
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1991	11	6,806
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1991	12	5,914
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1992	1	5,272
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1992	2	5,048
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1992	3	8,954
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1992	4	15,947
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1992	5	51,786
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1992	6	49,254
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1992	7	64,705
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1992	8	137,401
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1992	9	65,743
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1992	10	47,008
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1992	11	7,616
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1992	12	2,934
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1993	1	3,766
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1993	2	3,106
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1993	3	6,944
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1993	4	8,821
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1993	5	25,263
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1993	6	36,957
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1993	7	51,393
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1993	8	112,322
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1993	9	75,836
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1993	10	43,812
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1993	11	11,222
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1993	12	2,305
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1994	1	5,585
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1994	2	4,230
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1994	3	7,747
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1994	4	9,704
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1994	5	28,393
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1994	6	49,412
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1994	7	111,824
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1994	8	107,987
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1994	9	78,219
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1994	10	42,528
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1994	11	3,652
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1994	12	4,934
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1995	1	3,776
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1995	2	5,655
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1995	3	5,799
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1995	4	6,621
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1995	5	32,531
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1995	6	58,073
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1995	7	123,872
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1995	8	119,611
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1995	9	86,557
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1995	10	47,460
Crater Lake NP	CRLA	National Park	Pacific West 	OR	1995	11	5,576
