Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Craters of the Moon NM & PRES	CRMO	National Monument	Pacific West 	ID	1979	1	1,230
Craters of the Moon NM & PRES	CRMO	National Monument	Pacific West 	ID	1979	2	5,664
Craters of the Moon NM & PRES	CRMO	National Monument	Pacific West 	ID	1979	3	8,972
Craters of the Moon NM & PRES	CRMO	National Monument	Pacific West 	ID	1979	4	9,538
Craters of the Moon NM & PRES	CRMO	National Monument	Pacific West 	ID	1979	5	14,367
Craters of the Moon NM & PRES	CRMO	National Monument	Pacific West 	ID	1979	6	27,948
Craters of the Moon NM & PRES	CRMO	National Monument	Pacific West 	ID	1979	7	59,188
Craters of the Moon NM & PRES	CRMO	National Monument	Pacific West 	ID	1979	8	49,005
Craters of the Moon NM & PRES	CRMO	National Monument	Pacific West 	ID	1979	9	26,236
Craters of the Moon NM & PRES	CRMO	National Monument	Pacific West 	ID	1979	10	11,554
Craters of the Moon NM & PRES	CRMO	National Monument	Pacific West 	ID	1979	11	5,720
Craters of the Moon NM & PRES	CRMO	National Monument	Pacific West 	ID	1979	12	1,276
Craters of the Moon NM & PRES	CRMO	National Monument	Pacific West 	ID	1980	1	988
Craters of the Moon NM & PRES	CRMO	National Monument	Pacific West 	ID	1980	2	2,892
Craters of the Moon NM & PRES	CRMO	National Monument	Pacific West 	ID	1980	3	6,729
Craters of the Moon NM & PRES	CRMO	National Monument	Pacific West 	ID	1980	4	8,417
Craters of the Moon NM & PRES	CRMO	National Monument	Pacific West 	ID	1980	5	11,352
Craters of the Moon NM & PRES	CRMO	National Monument	Pacific West 	ID	1980	6	29,182
Craters of the Moon NM & PRES	CRMO	National Monument	Pacific West 	ID	1980	7	35,161
Craters of the Moon NM & PRES	CRMO	National Monument	Pacific West 	ID	1980	8	29,327
Craters of the Moon NM & PRES	CRMO	National Monument	Pacific West 	ID	1980	9	20,871
Craters of the Moon NM & PRES	CRMO	National Monument	Pacific West 	ID	1980	10	9,810
Craters of the Moon NM & PRES	CRMO	National Monument	Pacific West 	ID	1980	11	4,323
Craters of the Moon NM & PRES	CRMO	National Monument	Pacific West 	ID	1980	12	3,402
Craters of the Moon NM & PRES	CRMO	National Monument	Pacific West 	ID	1981	1	1,732
Craters of the Moon NM & PRES	CRMO	National Monument	Pacific West 	ID	1981	2	2,550
Craters of the Moon NM & PRES	CRMO	National Monument	Pacific West 	ID	1981	3	5,718
Craters of the Moon NM & PRES	CRMO	National Monument	Pacific West 	ID	1981	4	10,518
Craters of the Moon NM & PRES	CRMO	National Monument	Pacific West 	ID	1981	5	17,062
Craters of the Moon NM & PRES	CRMO	National Monument	Pacific West 	ID	1981	6	40,628
Craters of the Moon NM & PRES	CRMO	National Monument	Pacific West 	ID	1981	7	50,099
Craters of the Moon NM & PRES	CRMO	National Monument	Pacific West 	ID	1981	8	56,338
Craters of the Moon NM & PRES	CRMO	National Monument	Pacific West 	ID	1981	9	32,182
Craters of the Moon NM & PRES	CRMO	National Monument	Pacific West 	ID	1981	10	10,281
Craters of the Moon NM & PRES	CRMO	National Monument	Pacific West 	ID	1981	11	7,692
Craters of the Moon NM & PRES	CRMO	National Monument	Pacific West 	ID	1981	12	1,725
Craters of the Moon NM & PRES	CRMO	National Monument	Pacific West 	ID	1982	1	1,401
Craters of the Moon NM & PRES	CRMO	National Monument	Pacific West 	ID	1982	2	3,486
Craters of the Moon NM & PRES	CRMO	National Monument	Pacific West 	ID	1982	3	4,926
Craters of the Moon NM & PRES	CRMO	National Monument	Pacific West 	ID	1982	4	10,879
Craters of the Moon NM & PRES	CRMO	National Monument	Pacific West 	ID	1982	5	14,686
Craters of the Moon NM & PRES	CRMO	National Monument	Pacific West 	ID	1982	6	38,724
Craters of the Moon NM & PRES	CRMO	National Monument	Pacific West 	ID	1982	7	63,612
Craters of the Moon NM & PRES	CRMO	National Monument	Pacific West 	ID	1982	8	79,996
Craters of the Moon NM & PRES	CRMO	National Monument	Pacific West 	ID	1982	9	43,543
Craters of the Moon NM & PRES	CRMO	National Monument	Pacific West 	ID	1982	10	22,981
Craters of the Moon NM & PRES	CRMO	National Monument	Pacific West 	ID	1982	11	8,942
Craters of the Moon NM & PRES	CRMO	National Monument	Pacific West 	ID	1982	12	1,211
Craters of the Moon NM & PRES	CRMO	National Monument	Pacific West 	ID	1983	1	1,094
Craters of the Moon NM & PRES	CRMO	National Monument	Pacific West 	ID	1983	2	1,467
Craters of the Moon NM & PRES	CRMO	National Monument	Pacific West 	ID	1983	3	4,665
Craters of the Moon NM & PRES	CRMO	National Monument	Pacific West 	ID	1983	4	5,796
Craters of the Moon NM & PRES	CRMO	National Monument	Pacific West 	ID	1983	5	18,498
Craters of the Moon NM & PRES	CRMO	National Monument	Pacific West 	ID	1983	6	36,712
Craters of the Moon NM & PRES	CRMO	National Monument	Pacific West 	ID	1983	7	65,100
Craters of the Moon NM & PRES	CRMO	National Monument	Pacific West 	ID	1983	8	67,482
Craters of the Moon NM & PRES	CRMO	National Monument	Pacific West 	ID	1983	9	42,168
Craters of the Moon NM & PRES	CRMO	National Monument	Pacific West 	ID	1983	10	23,104
Craters of the Moon NM & PRES	CRMO	National Monument	Pacific West 	ID	1983	11	6,510
Craters of the Moon NM & PRES	CRMO	National Monument	Pacific West 	ID	1983	12	1,097
Craters of the Moon NM & PRES	CRMO	National Monument	Pacific West 	ID	1984	1	819
Craters of the Moon NM & PRES	CRMO	National Monument	Pacific West 	ID	1984	2	2,233
Craters of the Moon NM & PRES	CRMO	National Monument	Pacific West 	ID	1984	3	3,929
Craters of the Moon NM & PRES	CRMO	National Monument	Pacific West 	ID	1984	4	4,935
Craters of the Moon NM & PRES	CRMO	National Monument	Pacific West 	ID	1984	5	17,942
Craters of the Moon NM & PRES	CRMO	National Monument	Pacific West 	ID	1984	6	31,742
Craters of the Moon NM & PRES	CRMO	National Monument	Pacific West 	ID	1984	7	58,590
Craters of the Moon NM & PRES	CRMO	National Monument	Pacific West 	ID	1984	8	56,528
Craters of the Moon NM & PRES	CRMO	National Monument	Pacific West 	ID	1984	9	28,378
Craters of the Moon NM & PRES	CRMO	National Monument	Pacific West 	ID	1984	10	10,006
Craters of the Moon NM & PRES	CRMO	National Monument	Pacific West 	ID	1984	11	4,410
Craters of the Moon NM & PRES	CRMO	National Monument	Pacific West 	ID	1984	12	1,289
Craters of the Moon NM & PRES	CRMO	National Monument	Pacific West 	ID	1985	1	1,123
Craters of the Moon NM & PRES	CRMO	National Monument	Pacific West 	ID	1985	2	2,386
Craters of the Moon NM & PRES	CRMO	National Monument	Pacific West 	ID	1985	3	3,792
Craters of the Moon NM & PRES	CRMO	National Monument	Pacific West 	ID	1985	4	4,596
