Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Cumberland Gap NHP	CUGA	National Historical Park	Southeast 	KY	1979	1	8,139
Cumberland Gap NHP	CUGA	National Historical Park	Southeast 	KY	1979	2	11,263
Cumberland Gap NHP	CUGA	National Historical Park	Southeast 	KY	1979	3	22,219
Cumberland Gap NHP	CUGA	National Historical Park	Southeast 	KY	1979	4	40,318
Cumberland Gap NHP	CUGA	National Historical Park	Southeast 	KY	1979	5	52,554
Cumberland Gap NHP	CUGA	National Historical Park	Southeast 	KY	1979	6	60,355
Cumberland Gap NHP	CUGA	National Historical Park	Southeast 	KY	1979	7	71,862
Cumberland Gap NHP	CUGA	National Historical Park	Southeast 	KY	1979	8	65,116
Cumberland Gap NHP	CUGA	National Historical Park	Southeast 	KY	1979	9	40,887
Cumberland Gap NHP	CUGA	National Historical Park	Southeast 	KY	1979	10	47,813
Cumberland Gap NHP	CUGA	National Historical Park	Southeast 	KY	1979	11	22,240
Cumberland Gap NHP	CUGA	National Historical Park	Southeast 	KY	1979	12	10,123
Cumberland Gap NHP	CUGA	National Historical Park	Southeast 	KY	1980	1	15,820
Cumberland Gap NHP	CUGA	National Historical Park	Southeast 	KY	1980	2	19,159
Cumberland Gap NHP	CUGA	National Historical Park	Southeast 	KY	1980	3	22,949
Cumberland Gap NHP	CUGA	National Historical Park	Southeast 	KY	1980	4	41,768
Cumberland Gap NHP	CUGA	National Historical Park	Southeast 	KY	1980	5	61,172
Cumberland Gap NHP	CUGA	National Historical Park	Southeast 	KY	1980	6	61,235
Cumberland Gap NHP	CUGA	National Historical Park	Southeast 	KY	1980	7	67,471
Cumberland Gap NHP	CUGA	National Historical Park	Southeast 	KY	1980	8	71,886
Cumberland Gap NHP	CUGA	National Historical Park	Southeast 	KY	1980	9	36,803
Cumberland Gap NHP	CUGA	National Historical Park	Southeast 	KY	1980	10	51,867
Cumberland Gap NHP	CUGA	National Historical Park	Southeast 	KY	1980	11	21,067
Cumberland Gap NHP	CUGA	National Historical Park	Southeast 	KY	1980	12	14,469
Cumberland Gap NHP	CUGA	National Historical Park	Southeast 	KY	1981	1	14,755
Cumberland Gap NHP	CUGA	National Historical Park	Southeast 	KY	1981	2	14,811
Cumberland Gap NHP	CUGA	National Historical Park	Southeast 	KY	1981	3	23,651
Cumberland Gap NHP	CUGA	National Historical Park	Southeast 	KY	1981	4	36,491
Cumberland Gap NHP	CUGA	National Historical Park	Southeast 	KY	1981	5	47,400
Cumberland Gap NHP	CUGA	National Historical Park	Southeast 	KY	1981	6	51,225
Cumberland Gap NHP	CUGA	National Historical Park	Southeast 	KY	1981	7	63,697
Cumberland Gap NHP	CUGA	National Historical Park	Southeast 	KY	1981	8	64,235
Cumberland Gap NHP	CUGA	National Historical Park	Southeast 	KY	1981	9	36,651
Cumberland Gap NHP	CUGA	National Historical Park	Southeast 	KY	1981	10	41,334
Cumberland Gap NHP	CUGA	National Historical Park	Southeast 	KY	1981	11	19,018
Cumberland Gap NHP	CUGA	National Historical Park	Southeast 	KY	1981	12	11,778
Cumberland Gap NHP	CUGA	National Historical Park	Southeast 	KY	1982	1	10,624
Cumberland Gap NHP	CUGA	National Historical Park	Southeast 	KY	1982	2	12,420
Cumberland Gap NHP	CUGA	National Historical Park	Southeast 	KY	1982	3	25,112
Cumberland Gap NHP	CUGA	National Historical Park	Southeast 	KY	1982	4	37,050
Cumberland Gap NHP	CUGA	National Historical Park	Southeast 	KY	1982	5	85,973
Cumberland Gap NHP	CUGA	National Historical Park	Southeast 	KY	1982	6	103,788
Cumberland Gap NHP	CUGA	National Historical Park	Southeast 	KY	1982	7	91,213
Cumberland Gap NHP	CUGA	National Historical Park	Southeast 	KY	1982	8	74,453
Cumberland Gap NHP	CUGA	National Historical Park	Southeast 	KY	1982	9	64,918
Cumberland Gap NHP	CUGA	National Historical Park	Southeast 	KY	1982	10	81,050
Cumberland Gap NHP	CUGA	National Historical Park	Southeast 	KY	1982	11	26,791
Cumberland Gap NHP	CUGA	National Historical Park	Southeast 	KY	1982	12	18,631
Cumberland Gap NHP	CUGA	National Historical Park	Southeast 	KY	1983	1	17,517
Cumberland Gap NHP	CUGA	National Historical Park	Southeast 	KY	1983	2	19,335
