Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1979	1	758
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1979	2	1,395
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1979	3	3,899
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1979	4	3,743
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1979	5	4,006
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1979	6	4,154
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1979	7	4,830
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1979	8	4,797
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1979	9	2,050
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1979	10	2,247
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1979	11	2,239
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1979	12	1,693
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1980	1	1,093
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1980	2	1,426
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1980	3	3,421
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1980	4	3,681
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1980	5	3,943
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1980	6	4,181
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1980	7	4,060
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1980	8	4,538
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1980	9	2,474
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1980	10	2,341
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1980	11	2,257
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1980	12	1,267
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1981	1	1,236
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1981	2	1,345
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1981	3	3,497
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1981	4	4,114
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1981	5	4,419
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1981	6	4,677
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1981	7	4,905
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1981	8	4,114
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1981	9	2,579
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1981	10	2,741
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1981	11	2,452
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1981	12	1,451
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1982	1	1,424
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1982	2	1,791
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1982	3	3,402
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1982	4	4,036
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1982	5	4,233
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1982	6	4,529
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1982	7	4,907
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1982	8	4,697
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1982	9	2,534
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1982	10	2,885
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1982	11	2,413
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1982	12	1,599
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1983	1	1,300
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1983	2	1,510
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1983	3	2,949
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1983	4	3,281
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1983	5	3,721
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1983	6	4,124
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1983	7	4,393
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1983	8	3,893
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1983	9	2,455
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1983	10	2,303
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1983	11	1,992
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1983	12	911
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1984	1	776
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1984	2	1,429
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1984	3	3,180
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1984	4	3,661
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1984	5	3,422
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1984	6	4,010
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1984	7	3,869
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1984	8	3,319
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1984	9	2,265
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1984	10	2,562
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1984	11	2,115
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1984	12	1,764
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1985	1	659
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1985	2	1,346
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1985	3	3,631
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1985	4	3,187
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1985	5	3,652
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1985	6	3,718
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1985	7	4,038
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1985	8	3,165
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1985	9	1,752
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1985	10	1,978
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1985	11	2,018
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1985	12	933
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1986	1	1,121
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1986	2	1,307
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1986	3	3,067
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1986	4	2,863
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1986	5	3,613
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1986	6	3,544
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1986	7	3,545
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1986	8	3,071
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1986	9	1,467
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1986	10	1,666
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1986	11	1,888
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1986	12	1,013
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1987	1	859
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1987	2	913
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1987	3	2,714
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1987	4	3,622
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1987	5	3,426
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1987	6	2,710
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1987	7	3,439
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1987	8	2,671
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1987	9	1,892
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1987	10	2,360
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1987	11	2,071
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1987	12	1,202
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1988	1	1,042
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1988	2	1,048
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1988	3	2,904
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1988	4	3,839
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1988	5	2,943
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1988	6	2,928
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1988	7	3,702
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1988	8	2,783
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1988	9	2,309
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1988	10	2,678
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1988	11	2,348
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1988	12	1,542
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1989	1	1,368
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1989	2	1,616
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1989	3	3,683
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1989	4	4,546
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1989	5	4,190
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1989	6	3,935
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1989	7	3,832
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1989	8	3,362
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1989	9	2,092
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1989	10	2,430
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1989	11	2,637
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1989	12	1,458
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1990	1	1,374
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1990	2	1,797
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1990	3	4,350
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1990	4	4,917
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1990	5	4,671
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1990	6	3,539
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1990	7	3,381
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1990	8	3,226
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1990	9	2,534
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1990	10	2,104
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1990	11	2,629
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1990	12	1,892
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1991	1	1,407
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1991	2	1,858
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1991	3	4,089
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1991	4	4,698
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1991	5	4,035
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1991	6	3,843
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1991	7	3,924
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1991	8	3,249
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1991	9	2,473
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1991	10	2,834
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1991	11	2,364
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1991	12	1,678
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1992	1	1,081
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1992	2	2,512
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1992	3	4,301
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1992	4	5,753
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1992	5	4,587
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1992	6	4,007
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1992	7	4,393
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1992	8	3,588
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1992	9	2,545
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1992	10	2,773
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1992	11	2,588
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1992	12	1,609
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1993	1	1,732
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1993	2	2,085
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1993	3	3,620
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1993	4	5,413
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1993	5	4,827
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1993	6	3,822
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1993	7	4,132
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1993	8	2,881
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1993	9	2,659
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1993	10	2,686
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1993	11	2,644
Cumberland Island NS	CUIS	National Seashore	Southeast 	GA	1993	12	1,665
