Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1979	1	5,585
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1979	2	16,050
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1979	3	13,890
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1979	4	24,995
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1979	5	88,530
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1979	6	111,925
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1979	7	174,692
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1979	8	188,530
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1979	9	105,724
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1979	10	55,289
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1979	11	16,365
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1979	12	7,432
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1980	1	10,140
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1980	2	14,658
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1980	3	14,619
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1980	4	27,085
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1980	5	96,379
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1980	6	123,606
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1980	7	181,880
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1980	8	174,614
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1980	9	102,350
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1980	10	69,367
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1980	11	52,078
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1980	12	24,714
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1981	1	32,428
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1981	2	27,946
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1981	3	28,955
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1981	4	49,786
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1981	5	101,442
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1981	6	140,597
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1981	7	195,858
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1981	8	166,235
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1981	9	111,199
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1981	10	65,244
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1981	11	49,456
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1981	12	19,805
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1982	1	14,204
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1982	2	15,117
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1982	3	20,172
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1982	4	44,666
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1982	5	110,900
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1982	6	163,705
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1982	7	197,758
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1982	8	182,642
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1982	9	119,474
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1982	10	66,806
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1982	11	40,982
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1982	12	17,839
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1983	1	27,424
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1983	2	25,302
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1983	3	24,923
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1983	4	34,022
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1983	5	97,454
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1983	6	160,666
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1983	7	209,455
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1983	8	205,055
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1983	9	140,060
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1983	10	78,231
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1983	11	38,875
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1983	12	8,750
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1984	1	17,423
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1984	2	16,809
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1984	3	15,095
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1984	4	30,035
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1984	5	95,664
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1984	6	132,032
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1984	7	222,218
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1984	8	208,618
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1984	9	140,373
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1984	10	60,081
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1984	11	40,625
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1984	12	15,170
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1985	1	22,117
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1985	2	17,025
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1985	3	22,062
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1985	4	44,761
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1985	5	115,577
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1985	6	153,665
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1985	7	218,488
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1985	8	219,255
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1985	9	126,255
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1985	10	70,436
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1985	11	39,210
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1985	12	22,931
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1986	1	19,567
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1986	2	16,440
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1986	3	37,551
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1986	4	53,243
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1986	5	118,355
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1986	6	167,005
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1986	7	255,431
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1986	8	197,458
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1986	9	127,812
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1986	10	66,908
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1986	11	35,945
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1986	12	19,041
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1987	1	21,153
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1987	2	22,787
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1987	3	26,043
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1987	4	52,789
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1987	5	113,086
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1987	6	177,909
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1987	7	235,672
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1987	8	191,422
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1987	9	140,250
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1987	10	66,352
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1987	11	32,029
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1987	12	17,331
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1988	1	17,941
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1988	2	22,938
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1988	3	26,109
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1988	4	43,755
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1988	5	117,678
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1988	6	169,642
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1988	7	226,531
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1988	8	187,869
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1988	9	123,065
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1988	10	83,259
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1988	11	38,247
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1988	12	19,476
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1989	1	17,240
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1989	2	19,258
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1989	3	26,079
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1989	4	68,978
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1989	5	122,455
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1989	6	183,098
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1989	7	203,954
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1989	8	209,446
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1989	9	139,021
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1989	10	77,673
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1989	11	40,488
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1989	12	17,757
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1990	1	15,989
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1990	2	20,120
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1990	3	18,373
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1990	4	52,074
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1990	5	124,439
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1990	6	181,951
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1990	7	208,573
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1990	8	204,974
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1990	9	137,766
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1990	10	73,468
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1990	11	49,478
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1990	12	15,078
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1991	1	17,367
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1991	2	20,721
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1991	3	20,487
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1991	4	40,248
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1991	5	120,199
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1991	6	157,790
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1991	7	236,057
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1991	8	210,144
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1991	9	131,389
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1991	10	76,893
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1991	11	40,279
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1991	12	19,355
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1992	1	20,336
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1992	2	27,522
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1992	3	23,922
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1992	4	44,781
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1992	5	121,322
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1992	6	170,275
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1992	7	242,173
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1992	8	201,985
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1992	9	119,826
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1992	10	75,823
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1992	11	30,984
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1992	12	19,234
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1993	1	17,525
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1993	2	14,488
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1993	3	19,329
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1993	4	33,268
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1993	5	122,770
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1993	6	155,964
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1993	7	257,426
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1993	8	207,369
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1993	9	136,787
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1993	10	72,851
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1993	11	39,155
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1993	12	12,166
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1994	1	18,683
Curecanti NRA	CURE	National Recreation Area	Intermountain 	CO	1994	2	16,382
