Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Cuyahoga Valley NP	CUVA	National Park	Midwest 	OH	1979	1	26,500
Cuyahoga Valley NP	CUVA	National Park	Midwest 	OH	1979	2	38,500
Cuyahoga Valley NP	CUVA	National Park	Midwest 	OH	1979	3	24,500
Cuyahoga Valley NP	CUVA	National Park	Midwest 	OH	1979	4	55,000
Cuyahoga Valley NP	CUVA	National Park	Midwest 	OH	1979	5	76,000
Cuyahoga Valley NP	CUVA	National Park	Midwest 	OH	1979	6	71,500
Cuyahoga Valley NP	CUVA	National Park	Midwest 	OH	1979	7	51,500
Cuyahoga Valley NP	CUVA	National Park	Midwest 	OH	1979	8	52,500
Cuyahoga Valley NP	CUVA	National Park	Midwest 	OH	1979	9	49,000
Cuyahoga Valley NP	CUVA	National Park	Midwest 	OH	1979	10	52,500
Cuyahoga Valley NP	CUVA	National Park	Midwest 	OH	1979	11	23,225
Cuyahoga Valley NP	CUVA	National Park	Midwest 	OH	1979	12	22,300
Cuyahoga Valley NP	CUVA	National Park	Midwest 	OH	1980	1	15,700
Cuyahoga Valley NP	CUVA	National Park	Midwest 	OH	1980	2	36,300
Cuyahoga Valley NP	CUVA	National Park	Midwest 	OH	1980	3	26,200
Cuyahoga Valley NP	CUVA	National Park	Midwest 	OH	1980	4	81,000
Cuyahoga Valley NP	CUVA	National Park	Midwest 	OH	1980	5	94,000
Cuyahoga Valley NP	CUVA	National Park	Midwest 	OH	1980	6	81,000
Cuyahoga Valley NP	CUVA	National Park	Midwest 	OH	1980	7	59,500
Cuyahoga Valley NP	CUVA	National Park	Midwest 	OH	1980	8	48,500
Cuyahoga Valley NP	CUVA	National Park	Midwest 	OH	1980	9	41,200
Cuyahoga Valley NP	CUVA	National Park	Midwest 	OH	1980	10	41,300
Cuyahoga Valley NP	CUVA	National Park	Midwest 	OH	1980	11	16,500
Cuyahoga Valley NP	CUVA	National Park	Midwest 	OH	1980	12	22,100
