Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Dayton Aviation Heritage NHP	DAAV	National Historical Park	Midwest 	OH	1996	1	113
Dayton Aviation Heritage NHP	DAAV	National Historical Park	Midwest 	OH	1996	2	249
Dayton Aviation Heritage NHP	DAAV	National Historical Park	Midwest 	OH	1996	3	358
Dayton Aviation Heritage NHP	DAAV	National Historical Park	Midwest 	OH	1996	4	1,180
Dayton Aviation Heritage NHP	DAAV	National Historical Park	Midwest 	OH	1996	5	5,900
Dayton Aviation Heritage NHP	DAAV	National Historical Park	Midwest 	OH	1996	6	5,348
Dayton Aviation Heritage NHP	DAAV	National Historical Park	Midwest 	OH	1996	7	9,920
Dayton Aviation Heritage NHP	DAAV	National Historical Park	Midwest 	OH	1996	8	7,396
Dayton Aviation Heritage NHP	DAAV	National Historical Park	Midwest 	OH	1996	9	3,704
Dayton Aviation Heritage NHP	DAAV	National Historical Park	Midwest 	OH	1996	10	3,642
Dayton Aviation Heritage NHP	DAAV	National Historical Park	Midwest 	OH	1996	11	533
Dayton Aviation Heritage NHP	DAAV	National Historical Park	Midwest 	OH	1996	12	919
Dayton Aviation Heritage NHP	DAAV	National Historical Park	Midwest 	OH	1997	1	265
Dayton Aviation Heritage NHP	DAAV	National Historical Park	Midwest 	OH	1997	2	576
Dayton Aviation Heritage NHP	DAAV	National Historical Park	Midwest 	OH	1997	3	517
Dayton Aviation Heritage NHP	DAAV	National Historical Park	Midwest 	OH	1997	4	2,392
Dayton Aviation Heritage NHP	DAAV	National Historical Park	Midwest 	OH	1997	5	5,092
Dayton Aviation Heritage NHP	DAAV	National Historical Park	Midwest 	OH	1997	6	4,219
Dayton Aviation Heritage NHP	DAAV	National Historical Park	Midwest 	OH	1997	7	6,619
Dayton Aviation Heritage NHP	DAAV	National Historical Park	Midwest 	OH	1997	8	6,765
Dayton Aviation Heritage NHP	DAAV	National Historical Park	Midwest 	OH	1997	9	4,347
Dayton Aviation Heritage NHP	DAAV	National Historical Park	Midwest 	OH	1997	10	2,848
Dayton Aviation Heritage NHP	DAAV	National Historical Park	Midwest 	OH	1997	11	582
Dayton Aviation Heritage NHP	DAAV	National Historical Park	Midwest 	OH	1997	12	484
Dayton Aviation Heritage NHP	DAAV	National Historical Park	Midwest 	OH	1998	1	231
Dayton Aviation Heritage NHP	DAAV	National Historical Park	Midwest 	OH	1998	2	900
Dayton Aviation Heritage NHP	DAAV	National Historical Park	Midwest 	OH	1998	3	295
Dayton Aviation Heritage NHP	DAAV	National Historical Park	Midwest 	OH	1998	4	4,391
Dayton Aviation Heritage NHP	DAAV	National Historical Park	Midwest 	OH	1998	5	9,902
Dayton Aviation Heritage NHP	DAAV	National Historical Park	Midwest 	OH	1998	6	3,992
Dayton Aviation Heritage NHP	DAAV	National Historical Park	Midwest 	OH	1998	7	5,710
Dayton Aviation Heritage NHP	DAAV	National Historical Park	Midwest 	OH	1998	8	6,271
Dayton Aviation Heritage NHP	DAAV	National Historical Park	Midwest 	OH	1998	9	4,101
Dayton Aviation Heritage NHP	DAAV	National Historical Park	Midwest 	OH	1998	10	1,514
Dayton Aviation Heritage NHP	DAAV	National Historical Park	Midwest 	OH	1998	11	360
Dayton Aviation Heritage NHP	DAAV	National Historical Park	Midwest 	OH	1998	12	641
Dayton Aviation Heritage NHP	DAAV	National Historical Park	Midwest 	OH	1999	1	73
Dayton Aviation Heritage NHP	DAAV	National Historical Park	Midwest 	OH	1999	2	363
Dayton Aviation Heritage NHP	DAAV	National Historical Park	Midwest 	OH	1999	3	643
Dayton Aviation Heritage NHP	DAAV	National Historical Park	Midwest 	OH	1999	4	782
Dayton Aviation Heritage NHP	DAAV	National Historical Park	Midwest 	OH	1999	5	4,996
Dayton Aviation Heritage NHP	DAAV	National Historical Park	Midwest 	OH	1999	6	4,499
Dayton Aviation Heritage NHP	DAAV	National Historical Park	Midwest 	OH	1999	7	6,022
Dayton Aviation Heritage NHP	DAAV	National Historical Park	Midwest 	OH	1999	8	5,312
Dayton Aviation Heritage NHP	DAAV	National Historical Park	Midwest 	OH	1999	9	5,794
Dayton Aviation Heritage NHP	DAAV	National Historical Park	Midwest 	OH	1999	10	3,223
Dayton Aviation Heritage NHP	DAAV	National Historical Park	Midwest 	OH	1999	11	570
Dayton Aviation Heritage NHP	DAAV	National Historical Park	Midwest 	OH	1999	12	605
Dayton Aviation Heritage NHP	DAAV	National Historical Park	Midwest 	OH	2000	1	233
Dayton Aviation Heritage NHP	DAAV	National Historical Park	Midwest 	OH	2000	2	546
Dayton Aviation Heritage NHP	DAAV	National Historical Park	Midwest 	OH	2000	3	750
Dayton Aviation Heritage NHP	DAAV	National Historical Park	Midwest 	OH	2000	4	4,003
Dayton Aviation Heritage NHP	DAAV	National Historical Park	Midwest 	OH	2000	5	7,065
Dayton Aviation Heritage NHP	DAAV	National Historical Park	Midwest 	OH	2000	6	4,626
Dayton Aviation Heritage NHP	DAAV	National Historical Park	Midwest 	OH	2000	7	5,819
Dayton Aviation Heritage NHP	DAAV	National Historical Park	Midwest 	OH	2000	8	3,866
Dayton Aviation Heritage NHP	DAAV	National Historical Park	Midwest 	OH	2000	9	3,738
Dayton Aviation Heritage NHP	DAAV	National Historical Park	Midwest 	OH	2000	10	4,704
Dayton Aviation Heritage NHP	DAAV	National Historical Park	Midwest 	OH	2000	11	431
Dayton Aviation Heritage NHP	DAAV	National Historical Park	Midwest 	OH	2000	12	257
Dayton Aviation Heritage NHP	DAAV	National Historical Park	Midwest 	OH	2001	1	258
Dayton Aviation Heritage NHP	DAAV	National Historical Park	Midwest 	OH	2001	2	1,892
Dayton Aviation Heritage NHP	DAAV	National Historical Park	Midwest 	OH	2001	3	1,314
Dayton Aviation Heritage NHP	DAAV	National Historical Park	Midwest 	OH	2001	4	4,727
Dayton Aviation Heritage NHP	DAAV	National Historical Park	Midwest 	OH	2001	5	11,208
Dayton Aviation Heritage NHP	DAAV	National Historical Park	Midwest 	OH	2001	6	6,893
Dayton Aviation Heritage NHP	DAAV	National Historical Park	Midwest 	OH	2001	7	6,476
Dayton Aviation Heritage NHP	DAAV	National Historical Park	Midwest 	OH	2001	8	7,276
Dayton Aviation Heritage NHP	DAAV	National Historical Park	Midwest 	OH	2001	9	2,196
Dayton Aviation Heritage NHP	DAAV	National Historical Park	Midwest 	OH	2001	10	5,178
Dayton Aviation Heritage NHP	DAAV	National Historical Park	Midwest 	OH	2001	11	613
Dayton Aviation Heritage NHP	DAAV	National Historical Park	Midwest 	OH	2001	12	458
Dayton Aviation Heritage NHP	DAAV	National Historical Park	Midwest 	OH	2002	1	671
Dayton Aviation Heritage NHP	DAAV	National Historical Park	Midwest 	OH	2002	2	538
Dayton Aviation Heritage NHP	DAAV	National Historical Park	Midwest 	OH	2002	3	950
Dayton Aviation Heritage NHP	DAAV	National Historical Park	Midwest 	OH	2002	4	3,194
Dayton Aviation Heritage NHP	DAAV	National Historical Park	Midwest 	OH	2002	5	7,707
Dayton Aviation Heritage NHP	DAAV	National Historical Park	Midwest 	OH	2002	6	3,324
Dayton Aviation Heritage NHP	DAAV	National Historical Park	Midwest 	OH	2002	7	6,416
Dayton Aviation Heritage NHP	DAAV	National Historical Park	Midwest 	OH	2002	8	6,313
Dayton Aviation Heritage NHP	DAAV	National Historical Park	Midwest 	OH	2002	9	5,174
Dayton Aviation Heritage NHP	DAAV	National Historical Park	Midwest 	OH	2002	10	4,890
Dayton Aviation Heritage NHP	DAAV	National Historical Park	Midwest 	OH	2002	11	670
Dayton Aviation Heritage NHP	DAAV	National Historical Park	Midwest 	OH	2002	12	399
Dayton Aviation Heritage NHP	DAAV	National Historical Park	Midwest 	OH	2003	1	1,039
Dayton Aviation Heritage NHP	DAAV	National Historical Park	Midwest 	OH	2003	2	588
Dayton Aviation Heritage NHP	DAAV	National Historical Park	Midwest 	OH	2003	3	1,911
Dayton Aviation Heritage NHP	DAAV	National Historical Park	Midwest 	OH	2003	4	4,773
Dayton Aviation Heritage NHP	DAAV	National Historical Park	Midwest 	OH	2003	5	11,354
Dayton Aviation Heritage NHP	DAAV	National Historical Park	Midwest 	OH	2003	6	10,119
Dayton Aviation Heritage NHP	DAAV	National Historical Park	Midwest 	OH	2003	7	38,883
Dayton Aviation Heritage NHP	DAAV	National Historical Park	Midwest 	OH	2003	8	10,463
Dayton Aviation Heritage NHP	DAAV	National Historical Park	Midwest 	OH	2003	9	7,326
Dayton Aviation Heritage NHP	DAAV	National Historical Park	Midwest 	OH	2003	10	8,062
Dayton Aviation Heritage NHP	DAAV	National Historical Park	Midwest 	OH	2003	11	2,803
Dayton Aviation Heritage NHP	DAAV	National Historical Park	Midwest 	OH	2003	12	3,295
Dayton Aviation Heritage NHP	DAAV	National Historical Park	Midwest 	OH	2004	1	834
Dayton Aviation Heritage NHP	DAAV	National Historical Park	Midwest 	OH	2004	2	1,058
Dayton Aviation Heritage NHP	DAAV	National Historical Park	Midwest 	OH	2004	3	1,713
Dayton Aviation Heritage NHP	DAAV	National Historical Park	Midwest 	OH	2004	4	4,824
Dayton Aviation Heritage NHP	DAAV	National Historical Park	Midwest 	OH	2004	5	8,771
Dayton Aviation Heritage NHP	DAAV	National Historical Park	Midwest 	OH	2004	6	6,954
Dayton Aviation Heritage NHP	DAAV	National Historical Park	Midwest 	OH	2004	7	7,094
Dayton Aviation Heritage NHP	DAAV	National Historical Park	Midwest 	OH	2004	8	5,652
Dayton Aviation Heritage NHP	DAAV	National Historical Park	Midwest 	OH	2004	9	5,164
Dayton Aviation Heritage NHP	DAAV	National Historical Park	Midwest 	OH	2004	10	5,096
Dayton Aviation Heritage NHP	DAAV	National Historical Park	Midwest 	OH	2004	11	1,603
