Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
De Soto NMEM	DESO	National Memorial	Southeast 	FL	1979	1	18,237
De Soto NMEM	DESO	National Memorial	Southeast 	FL	1979	2	21,274
De Soto NMEM	DESO	National Memorial	Southeast 	FL	1979	3	23,168
De Soto NMEM	DESO	National Memorial	Southeast 	FL	1979	4	31,849
De Soto NMEM	DESO	National Memorial	Southeast 	FL	1979	5	8,521
De Soto NMEM	DESO	National Memorial	Southeast 	FL	1979	6	9,231
De Soto NMEM	DESO	National Memorial	Southeast 	FL	1979	7	9,837
De Soto NMEM	DESO	National Memorial	Southeast 	FL	1979	8	8,184
De Soto NMEM	DESO	National Memorial	Southeast 	FL	1979	9	7,898
De Soto NMEM	DESO	National Memorial	Southeast 	FL	1979	10	13,180
De Soto NMEM	DESO	National Memorial	Southeast 	FL	1979	11	12,894
De Soto NMEM	DESO	National Memorial	Southeast 	FL	1979	12	15,465
De Soto NMEM	DESO	National Memorial	Southeast 	FL	1980	1	16,749
De Soto NMEM	DESO	National Memorial	Southeast 	FL	1980	2	21,467
De Soto NMEM	DESO	National Memorial	Southeast 	FL	1980	3	23,302
De Soto NMEM	DESO	National Memorial	Southeast 	FL	1980	4	26,139
De Soto NMEM	DESO	National Memorial	Southeast 	FL	1980	5	11,890
De Soto NMEM	DESO	National Memorial	Southeast 	FL	1980	6	9,320
De Soto NMEM	DESO	National Memorial	Southeast 	FL	1980	7	9,580
De Soto NMEM	DESO	National Memorial	Southeast 	FL	1980	8	8,969
De Soto NMEM	DESO	National Memorial	Southeast 	FL	1980	9	8,069
De Soto NMEM	DESO	National Memorial	Southeast 	FL	1980	10	10,583
De Soto NMEM	DESO	National Memorial	Southeast 	FL	1980	11	11,615
De Soto NMEM	DESO	National Memorial	Southeast 	FL	1980	12	15,249
De Soto NMEM	DESO	National Memorial	Southeast 	FL	1981	1	16,862
De Soto NMEM	DESO	National Memorial	Southeast 	FL	1981	2	21,169
De Soto NMEM	DESO	National Memorial	Southeast 	FL	1981	3	25,106
De Soto NMEM	DESO	National Memorial	Southeast 	FL	1981	4	26,222
De Soto NMEM	DESO	National Memorial	Southeast 	FL	1981	5	11,327
De Soto NMEM	DESO	National Memorial	Southeast 	FL	1981	6	9,028
