Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Death Valley NP	DEVA	National Park	Pacific West 	CA	1979	1	52,281
Death Valley NP	DEVA	National Park	Pacific West 	CA	1979	2	61,973
Death Valley NP	DEVA	National Park	Pacific West 	CA	1979	3	64,795
Death Valley NP	DEVA	National Park	Pacific West 	CA	1979	4	96,555
Death Valley NP	DEVA	National Park	Pacific West 	CA	1979	5	53,842
Death Valley NP	DEVA	National Park	Pacific West 	CA	1979	6	38,565
Death Valley NP	DEVA	National Park	Pacific West 	CA	1979	7	42,201
Death Valley NP	DEVA	National Park	Pacific West 	CA	1979	8	42,191
Death Valley NP	DEVA	National Park	Pacific West 	CA	1979	9	40,850
Death Valley NP	DEVA	National Park	Pacific West 	CA	1979	10	35,238
Death Valley NP	DEVA	National Park	Pacific West 	CA	1979	11	65,732
Death Valley NP	DEVA	National Park	Pacific West 	CA	1979	12	36,929
Death Valley NP	DEVA	National Park	Pacific West 	CA	1980	1	53,101
Death Valley NP	DEVA	National Park	Pacific West 	CA	1980	2	54,261
Death Valley NP	DEVA	National Park	Pacific West 	CA	1980	3	68,992
Death Valley NP	DEVA	National Park	Pacific West 	CA	1980	4	95,760
Death Valley NP	DEVA	National Park	Pacific West 	CA	1980	5	60,702
Death Valley NP	DEVA	National Park	Pacific West 	CA	1980	6	36,038
Death Valley NP	DEVA	National Park	Pacific West 	CA	1980	7	35,186
Death Valley NP	DEVA	National Park	Pacific West 	CA	1980	8	36,175
Death Valley NP	DEVA	National Park	Pacific West 	CA	1980	9	36,856
Death Valley NP	DEVA	National Park	Pacific West 	CA	1980	10	45,699
Death Valley NP	DEVA	National Park	Pacific West 	CA	1980	11	58,740
Death Valley NP	DEVA	National Park	Pacific West 	CA	1980	12	36,630
Death Valley NP	DEVA	National Park	Pacific West 	CA	1981	1	45,275
Death Valley NP	DEVA	National Park	Pacific West 	CA	1981	2	62,663
Death Valley NP	DEVA	National Park	Pacific West 	CA	1981	3	59,207
Death Valley NP	DEVA	National Park	Pacific West 	CA	1981	4	71,642
Death Valley NP	DEVA	National Park	Pacific West 	CA	1981	5	46,658
Death Valley NP	DEVA	National Park	Pacific West 	CA	1981	6	44,416
Death Valley NP	DEVA	National Park	Pacific West 	CA	1981	7	42,229
Death Valley NP	DEVA	National Park	Pacific West 	CA	1981	8	50,357
Death Valley NP	DEVA	National Park	Pacific West 	CA	1981	9	43,233
Death Valley NP	DEVA	National Park	Pacific West 	CA	1981	10	54,979
Death Valley NP	DEVA	National Park	Pacific West 	CA	1981	11	57,177
Death Valley NP	DEVA	National Park	Pacific West 	CA	1981	12	52,566
Death Valley NP	DEVA	National Park	Pacific West 	CA	1982	1	62,456
Death Valley NP	DEVA	National Park	Pacific West 	CA	1982	2	70,195
Death Valley NP	DEVA	National Park	Pacific West 	CA	1982	3	77,554
Death Valley NP	DEVA	National Park	Pacific West 	CA	1982	4	100,848
Death Valley NP	DEVA	National Park	Pacific West 	CA	1982	5	52,587
Death Valley NP	DEVA	National Park	Pacific West 	CA	1982	6	43,775
Death Valley NP	DEVA	National Park	Pacific West 	CA	1982	7	42,430
Death Valley NP	DEVA	National Park	Pacific West 	CA	1982	8	41,805
Death Valley NP	DEVA	National Park	Pacific West 	CA	1982	9	43,221
Death Valley NP	DEVA	National Park	Pacific West 	CA	1982	10	50,003
Death Valley NP	DEVA	National Park	Pacific West 	CA	1982	11	55,978
Death Valley NP	DEVA	National Park	Pacific West 	CA	1982	12	39,140
Death Valley NP	DEVA	National Park	Pacific West 	CA	1983	1	56,900
Death Valley NP	DEVA	National Park	Pacific West 	CA	1983	2	62,049
Death Valley NP	DEVA	National Park	Pacific West 	CA	1983	3	58,312
Death Valley NP	DEVA	National Park	Pacific West 	CA	1983	4	93,974
Death Valley NP	DEVA	National Park	Pacific West 	CA	1983	5	55,860
Death Valley NP	DEVA	National Park	Pacific West 	CA	1983	6	38,869
Death Valley NP	DEVA	National Park	Pacific West 	CA	1983	7	39,535
Death Valley NP	DEVA	National Park	Pacific West 	CA	1983	8	27,676
Death Valley NP	DEVA	National Park	Pacific West 	CA	1983	9	33,008
Death Valley NP	DEVA	National Park	Pacific West 	CA	1983	10	51,010
Death Valley NP	DEVA	National Park	Pacific West 	CA	1983	11	81,733
Death Valley NP	DEVA	National Park	Pacific West 	CA	1983	12	36,656
Death Valley NP	DEVA	National Park	Pacific West 	CA	1984	1	52,998
Death Valley NP	DEVA	National Park	Pacific West 	CA	1984	2	71,886
Death Valley NP	DEVA	National Park	Pacific West 	CA	1984	3	77,748
Death Valley NP	DEVA	National Park	Pacific West 	CA	1984	4	88,434
Death Valley NP	DEVA	National Park	Pacific West 	CA	1984	5	52,051
Death Valley NP	DEVA	National Park	Pacific West 	CA	1984	6	51,204
Death Valley NP	DEVA	National Park	Pacific West 	CA	1984	7	30,904
Death Valley NP	DEVA	National Park	Pacific West 	CA	1984	8	21,901
Death Valley NP	DEVA	National Park	Pacific West 	CA	1984	9	41,447
Death Valley NP	DEVA	National Park	Pacific West 	CA	1984	10	51,357
Death Valley NP	DEVA	National Park	Pacific West 	CA	1984	11	56,366
Death Valley NP	DEVA	National Park	Pacific West 	CA	1984	12	24,901
Death Valley NP	DEVA	National Park	Pacific West 	CA	1985	1	43,313
Death Valley NP	DEVA	National Park	Pacific West 	CA	1985	2	73,195
Death Valley NP	DEVA	National Park	Pacific West 	CA	1985	3	79,999
Death Valley NP	DEVA	National Park	Pacific West 	CA	1985	4	66,615
Death Valley NP	DEVA	National Park	Pacific West 	CA	1985	5	45,738
Death Valley NP	DEVA	National Park	Pacific West 	CA	1985	6	39,234
Death Valley NP	DEVA	National Park	Pacific West 	CA	1985	7	27,205
Death Valley NP	DEVA	National Park	Pacific West 	CA	1985	8	31,244
Death Valley NP	DEVA	National Park	Pacific West 	CA	1985	9	30,652
