Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Delaware Water Gap NRA	DEWA	National Recreation Area	Northeast 	PA	1979	1	25,496
Delaware Water Gap NRA	DEWA	National Recreation Area	Northeast 	PA	1979	2	25,165
Delaware Water Gap NRA	DEWA	National Recreation Area	Northeast 	PA	1979	3	31,941
Delaware Water Gap NRA	DEWA	National Recreation Area	Northeast 	PA	1979	4	113,358
Delaware Water Gap NRA	DEWA	National Recreation Area	Northeast 	PA	1979	5	194,425
Delaware Water Gap NRA	DEWA	National Recreation Area	Northeast 	PA	1979	6	269,576
Delaware Water Gap NRA	DEWA	National Recreation Area	Northeast 	PA	1979	7	298,201
Delaware Water Gap NRA	DEWA	National Recreation Area	Northeast 	PA	1979	8	311,236
Delaware Water Gap NRA	DEWA	National Recreation Area	Northeast 	PA	1979	9	210,716
Delaware Water Gap NRA	DEWA	National Recreation Area	Northeast 	PA	1979	10	229,247
Delaware Water Gap NRA	DEWA	National Recreation Area	Northeast 	PA	1979	11	162,153
Delaware Water Gap NRA	DEWA	National Recreation Area	Northeast 	PA	1979	12	131,029
Delaware Water Gap NRA	DEWA	National Recreation Area	Northeast 	PA	1980	1	33,947
Delaware Water Gap NRA	DEWA	National Recreation Area	Northeast 	PA	1980	2	42,208
Delaware Water Gap NRA	DEWA	National Recreation Area	Northeast 	PA	1980	3	48,548
Delaware Water Gap NRA	DEWA	National Recreation Area	Northeast 	PA	1980	4	130,339
Delaware Water Gap NRA	DEWA	National Recreation Area	Northeast 	PA	1980	5	253,754
Delaware Water Gap NRA	DEWA	National Recreation Area	Northeast 	PA	1980	6	250,078
Delaware Water Gap NRA	DEWA	National Recreation Area	Northeast 	PA	1980	7	379,650
Delaware Water Gap NRA	DEWA	National Recreation Area	Northeast 	PA	1980	8	418,449
Delaware Water Gap NRA	DEWA	National Recreation Area	Northeast 	PA	1980	9	303,519
Delaware Water Gap NRA	DEWA	National Recreation Area	Northeast 	PA	1980	10	240,167
Delaware Water Gap NRA	DEWA	National Recreation Area	Northeast 	PA	1980	11	191,846
Delaware Water Gap NRA	DEWA	National Recreation Area	Northeast 	PA	1980	12	178,460
Delaware Water Gap NRA	DEWA	National Recreation Area	Northeast 	PA	1981	1	72,705
Delaware Water Gap NRA	DEWA	National Recreation Area	Northeast 	PA	1981	2	61,749
Delaware Water Gap NRA	DEWA	National Recreation Area	Northeast 	PA	1981	3	63,545
Delaware Water Gap NRA	DEWA	National Recreation Area	Northeast 	PA	1981	4	133,959
