Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Denali NP & PRES	DENA	National Park	Alaska	AK	1979	1	336
Denali NP & PRES	DENA	National Park	Alaska	AK	1979	2	103
Denali NP & PRES	DENA	National Park	Alaska	AK	1979	3	630
Denali NP & PRES	DENA	National Park	Alaska	AK	1979	4	848
Denali NP & PRES	DENA	National Park	Alaska	AK	1979	5	14,076
Denali NP & PRES	DENA	National Park	Alaska	AK	1979	6	46,804
Denali NP & PRES	DENA	National Park	Alaska	AK	1979	7	69,557
Denali NP & PRES	DENA	National Park	Alaska	AK	1979	8	76,400
Denali NP & PRES	DENA	National Park	Alaska	AK	1979	9	39,063
Denali NP & PRES	DENA	National Park	Alaska	AK	1979	10	1,844
Denali NP & PRES	DENA	National Park	Alaska	AK	1979	11	974
Denali NP & PRES	DENA	National Park	Alaska	AK	1979	12	470
Denali NP & PRES	DENA	National Park	Alaska	AK	1980	1	198
Denali NP & PRES	DENA	National Park	Alaska	AK	1980	2	146
Denali NP & PRES	DENA	National Park	Alaska	AK	1980	3	401
Denali NP & PRES	DENA	National Park	Alaska	AK	1980	4	633
Denali NP & PRES	DENA	National Park	Alaska	AK	1980	5	12,791
Denali NP & PRES	DENA	National Park	Alaska	AK	1980	6	27,623
Denali NP & PRES	DENA	National Park	Alaska	AK	1980	7	61,983
Denali NP & PRES	DENA	National Park	Alaska	AK	1980	8	73,791
Denali NP & PRES	DENA	National Park	Alaska	AK	1980	9	36,250
Denali NP & PRES	DENA	National Park	Alaska	AK	1980	10	1,564
Denali NP & PRES	DENA	National Park	Alaska	AK	1980	11	828
Denali NP & PRES	DENA	National Park	Alaska	AK	1980	12	153
Denali NP & PRES	DENA	National Park	Alaska	AK	1981	1	171
Denali NP & PRES	DENA	National Park	Alaska	AK	1981	2	162
Denali NP & PRES	DENA	National Park	Alaska	AK	1981	3	412
Denali NP & PRES	DENA	National Park	Alaska	AK	1981	4	690
Denali NP & PRES	DENA	National Park	Alaska	AK	1981	5	13,982
Denali NP & PRES	DENA	National Park	Alaska	AK	1981	6	29,667
Denali NP & PRES	DENA	National Park	Alaska	AK	1981	7	87,751
Denali NP & PRES	DENA	National Park	Alaska	AK	1981	8	89,013
Denali NP & PRES	DENA	National Park	Alaska	AK	1981	9	32,099
Denali NP & PRES	DENA	National Park	Alaska	AK	1981	10	1,484
Denali NP & PRES	DENA	National Park	Alaska	AK	1981	11	887
Denali NP & PRES	DENA	National Park	Alaska	AK	1981	12	275
Denali NP & PRES	DENA	National Park	Alaska	AK	1982	1	142
Denali NP & PRES	DENA	National Park	Alaska	AK	1982	2	118
Denali NP & PRES	DENA	National Park	Alaska	AK	1982	3	378
Denali NP & PRES	DENA	National Park	Alaska	AK	1982	4	706
Denali NP & PRES	DENA	National Park	Alaska	AK	1982	5	13,747
Denali NP & PRES	DENA	National Park	Alaska	AK	1982	6	62,926
Denali NP & PRES	DENA	National Park	Alaska	AK	1982	7	92,544
Denali NP & PRES	DENA	National Park	Alaska	AK	1982	8	93,941
Denali NP & PRES	DENA	National Park	Alaska	AK	1982	9	55,433
Denali NP & PRES	DENA	National Park	Alaska	AK	1982	10	1,378
Denali NP & PRES	DENA	National Park	Alaska	AK	1982	11	433
Denali NP & PRES	DENA	National Park	Alaska	AK	1982	12	122
Denali NP & PRES	DENA	National Park	Alaska	AK	1983	1	122
Denali NP & PRES	DENA	National Park	Alaska	AK	1983	2	112
Denali NP & PRES	DENA	National Park	Alaska	AK	1983	3	327
Denali NP & PRES	DENA	National Park	Alaska	AK	1983	4	727
Denali NP & PRES	DENA	National Park	Alaska	AK	1983	5	11,631
Denali NP & PRES	DENA	National Park	Alaska	AK	1983	6	45,905
Denali NP & PRES	DENA	National Park	Alaska	AK	1983	7	115,179
Denali NP & PRES	DENA	National Park	Alaska	AK	1983	8	114,480
