Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Devils Postpile NM	DEPO	National Monument	Pacific West 	CA	1979	1	0
Devils Postpile NM	DEPO	National Monument	Pacific West 	CA	1979	2	0
Devils Postpile NM	DEPO	National Monument	Pacific West 	CA	1979	3	0
Devils Postpile NM	DEPO	National Monument	Pacific West 	CA	1979	4	0
Devils Postpile NM	DEPO	National Monument	Pacific West 	CA	1979	5	0
Devils Postpile NM	DEPO	National Monument	Pacific West 	CA	1979	6	3,248
Devils Postpile NM	DEPO	National Monument	Pacific West 	CA	1979	7	21,920
Devils Postpile NM	DEPO	National Monument	Pacific West 	CA	1979	8	28,788
Devils Postpile NM	DEPO	National Monument	Pacific West 	CA	1979	9	18,967
Devils Postpile NM	DEPO	National Monument	Pacific West 	CA	1979	10	8,275
Devils Postpile NM	DEPO	National Monument	Pacific West 	CA	1979	11	125
Devils Postpile NM	DEPO	National Monument	Pacific West 	CA	1979	12	0
Devils Postpile NM	DEPO	National Monument	Pacific West 	CA	1980	1	0
Devils Postpile NM	DEPO	National Monument	Pacific West 	CA	1980	2	0
Devils Postpile NM	DEPO	National Monument	Pacific West 	CA	1980	3	0
Devils Postpile NM	DEPO	National Monument	Pacific West 	CA	1980	4	0
Devils Postpile NM	DEPO	National Monument	Pacific West 	CA	1980	5	0
Devils Postpile NM	DEPO	National Monument	Pacific West 	CA	1980	6	0
Devils Postpile NM	DEPO	National Monument	Pacific West 	CA	1980	7	24,245
Devils Postpile NM	DEPO	National Monument	Pacific West 	CA	1980	8	32,193
Devils Postpile NM	DEPO	National Monument	Pacific West 	CA	1980	9	15,097
Devils Postpile NM	DEPO	National Monument	Pacific West 	CA	1980	10	6,165
Devils Postpile NM	DEPO	National Monument	Pacific West 	CA	1980	11	1,430
Devils Postpile NM	DEPO	National Monument	Pacific West 	CA	1980	12	0
Devils Postpile NM	DEPO	National Monument	Pacific West 	CA	1981	1	0
Devils Postpile NM	DEPO	National Monument	Pacific West 	CA	1981	2	0
Devils Postpile NM	DEPO	National Monument	Pacific West 	CA	1981	3	0
Devils Postpile NM	DEPO	National Monument	Pacific West 	CA	1981	4	0
Devils Postpile NM	DEPO	National Monument	Pacific West 	CA	1981	5	0
Devils Postpile NM	DEPO	National Monument	Pacific West 	CA	1981	6	13,203
Devils Postpile NM	DEPO	National Monument	Pacific West 	CA	1981	7	21,244
Devils Postpile NM	DEPO	National Monument	Pacific West 	CA	1981	8	28,705
Devils Postpile NM	DEPO	National Monument	Pacific West 	CA	1981	9	20,802
Devils Postpile NM	DEPO	National Monument	Pacific West 	CA	1981	10	2,130
Devils Postpile NM	DEPO	National Monument	Pacific West 	CA	1981	11	0
Devils Postpile NM	DEPO	National Monument	Pacific West 	CA	1981	12	0
Devils Postpile NM	DEPO	National Monument	Pacific West 	CA	1982	1	0
Devils Postpile NM	DEPO	National Monument	Pacific West 	CA	1982	2	0
Devils Postpile NM	DEPO	National Monument	Pacific West 	CA	1982	3	0
Devils Postpile NM	DEPO	National Monument	Pacific West 	CA	1982	4	0
Devils Postpile NM	DEPO	National Monument	Pacific West 	CA	1982	5	0
Devils Postpile NM	DEPO	National Monument	Pacific West 	CA	1982	6	0
Devils Postpile NM	DEPO	National Monument	Pacific West 	CA	1982	7	23,529
Devils Postpile NM	DEPO	National Monument	Pacific West 	CA	1982	8	27,752
Devils Postpile NM	DEPO	National Monument	Pacific West 	CA	1982	9	19,552
Devils Postpile NM	DEPO	National Monument	Pacific West 	CA	1982	10	9,166
Devils Postpile NM	DEPO	National Monument	Pacific West 	CA	1982	11	0
Devils Postpile NM	DEPO	National Monument	Pacific West 	CA	1982	12	0
Devils Postpile NM	DEPO	National Monument	Pacific West 	CA	1983	1	0
Devils Postpile NM	DEPO	National Monument	Pacific West 	CA	1983	2	0
Devils Postpile NM	DEPO	National Monument	Pacific West 	CA	1983	3	0
Devils Postpile NM	DEPO	National Monument	Pacific West 	CA	1983	4	0
Devils Postpile NM	DEPO	National Monument	Pacific West 	CA	1983	5	0
Devils Postpile NM	DEPO	National Monument	Pacific West 	CA	1983	6	0
Devils Postpile NM	DEPO	National Monument	Pacific West 	CA	1983	7	12,571
Devils Postpile NM	DEPO	National Monument	Pacific West 	CA	1983	8	25,303
Devils Postpile NM	DEPO	National Monument	Pacific West 	CA	1983	9	21,166
Devils Postpile NM	DEPO	National Monument	Pacific West 	CA	1983	10	13,096
Devils Postpile NM	DEPO	National Monument	Pacific West 	CA	1983	11	1,476
Devils Postpile NM	DEPO	National Monument	Pacific West 	CA	1983	12	0
Devils Postpile NM	DEPO	National Monument	Pacific West 	CA	1984	1	0
Devils Postpile NM	DEPO	National Monument	Pacific West 	CA	1984	2	0
Devils Postpile NM	DEPO	National Monument	Pacific West 	CA	1984	3	0
Devils Postpile NM	DEPO	National Monument	Pacific West 	CA	1984	4	0
Devils Postpile NM	DEPO	National Monument	Pacific West 	CA	1984	5	0
Devils Postpile NM	DEPO	National Monument	Pacific West 	CA	1984	6	14,777
Devils Postpile NM	DEPO	National Monument	Pacific West 	CA	1984	7	21,450
Devils Postpile NM	DEPO	National Monument	Pacific West 	CA	1984	8	31,382
Devils Postpile NM	DEPO	National Monument	Pacific West 	CA	1984	9	23,583
Devils Postpile NM	DEPO	National Monument	Pacific West 	CA	1984	10	6,617
Devils Postpile NM	DEPO	National Monument	Pacific West 	CA	1984	11	0
Devils Postpile NM	DEPO	National Monument	Pacific West 	CA	1984	12	0
Devils Postpile NM	DEPO	National Monument	Pacific West 	CA	1985	1	0
Devils Postpile NM	DEPO	National Monument	Pacific West 	CA	1985	2	0
Devils Postpile NM	DEPO	National Monument	Pacific West 	CA	1985	3	0
Devils Postpile NM	DEPO	National Monument	Pacific West 	CA	1985	4	0
Devils Postpile NM	DEPO	National Monument	Pacific West 	CA	1985	5	0
Devils Postpile NM	DEPO	National Monument	Pacific West 	CA	1985	6	16,592
Devils Postpile NM	DEPO	National Monument	Pacific West 	CA	1985	7	24,359
Devils Postpile NM	DEPO	National Monument	Pacific West 	CA	1985	8	38,792
Devils Postpile NM	DEPO	National Monument	Pacific West 	CA	1985	9	21,337
Devils Postpile NM	DEPO	National Monument	Pacific West 	CA	1985	10	7,598
Devils Postpile NM	DEPO	National Monument	Pacific West 	CA	1985	11	0
