Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Devils Tower NM	DETO	National Monument	Intermountain 	WY	1979	1	1,366
Devils Tower NM	DETO	National Monument	Intermountain 	WY	1979	2	2,373
Devils Tower NM	DETO	National Monument	Intermountain 	WY	1979	3	4,490
Devils Tower NM	DETO	National Monument	Intermountain 	WY	1979	4	11,710
Devils Tower NM	DETO	National Monument	Intermountain 	WY	1979	5	18,244
Devils Tower NM	DETO	National Monument	Intermountain 	WY	1979	6	35,281
Devils Tower NM	DETO	National Monument	Intermountain 	WY	1979	7	63,185
Devils Tower NM	DETO	National Monument	Intermountain 	WY	1979	8	55,938
Devils Tower NM	DETO	National Monument	Intermountain 	WY	1979	9	21,260
Devils Tower NM	DETO	National Monument	Intermountain 	WY	1979	10	8,130
Devils Tower NM	DETO	National Monument	Intermountain 	WY	1979	11	1,862
Devils Tower NM	DETO	National Monument	Intermountain 	WY	1979	12	2,252
Devils Tower NM	DETO	National Monument	Intermountain 	WY	1980	1	1,558
Devils Tower NM	DETO	National Monument	Intermountain 	WY	1980	2	2,236
Devils Tower NM	DETO	National Monument	Intermountain 	WY	1980	3	3,464
Devils Tower NM	DETO	National Monument	Intermountain 	WY	1980	4	6,232
Devils Tower NM	DETO	National Monument	Intermountain 	WY	1980	5	11,229
Devils Tower NM	DETO	National Monument	Intermountain 	WY	1980	6	34,232
Devils Tower NM	DETO	National Monument	Intermountain 	WY	1980	7	51,479
Devils Tower NM	DETO	National Monument	Intermountain 	WY	1980	8	63,981
Devils Tower NM	DETO	National Monument	Intermountain 	WY	1980	9	27,860
Devils Tower NM	DETO	National Monument	Intermountain 	WY	1980	10	4,863
Devils Tower NM	DETO	National Monument	Intermountain 	WY	1980	11	4,366
Devils Tower NM	DETO	National Monument	Intermountain 	WY	1980	12	2,192
Devils Tower NM	DETO	National Monument	Intermountain 	WY	1981	1	2,646
Devils Tower NM	DETO	National Monument	Intermountain 	WY	1981	2	2,649
Devils Tower NM	DETO	National Monument	Intermountain 	WY	1981	3	5,567
Devils Tower NM	DETO	National Monument	Intermountain 	WY	1981	4	9,048
Devils Tower NM	DETO	National Monument	Intermountain 	WY	1981	5	22,291
Devils Tower NM	DETO	National Monument	Intermountain 	WY	1981	6	26,065
Devils Tower NM	DETO	National Monument	Intermountain 	WY	1981	7	89,816
Devils Tower NM	DETO	National Monument	Intermountain 	WY	1981	8	82,337
Devils Tower NM	DETO	National Monument	Intermountain 	WY	1981	9	28,569
Devils Tower NM	DETO	National Monument	Intermountain 	WY	1981	10	9,464
Devils Tower NM	DETO	National Monument	Intermountain 	WY	1981	11	4,563
Devils Tower NM	DETO	National Monument	Intermountain 	WY	1981	12	2,295
Devils Tower NM	DETO	National Monument	Intermountain 	WY	1982	1	1,363
Devils Tower NM	DETO	National Monument	Intermountain 	WY	1982	2	3,200
Devils Tower NM	DETO	National Monument	Intermountain 	WY	1982	3	4,090
Devils Tower NM	DETO	National Monument	Intermountain 	WY	1982	4	6,291
Devils Tower NM	DETO	National Monument	Intermountain 	WY	1982	5	16,713
Devils Tower NM	DETO	National Monument	Intermountain 	WY	1982	6	61,466
Devils Tower NM	DETO	National Monument	Intermountain 	WY	1982	7	70,196
Devils Tower NM	DETO	National Monument	Intermountain 	WY	1982	8	67,150
Devils Tower NM	DETO	National Monument	Intermountain 	WY	1982	9	22,022
Devils Tower NM	DETO	National Monument	Intermountain 	WY	1982	10	6,815
Devils Tower NM	DETO	National Monument	Intermountain 	WY	1982	11	3,747
Devils Tower NM	DETO	National Monument	Intermountain 	WY	1982	12	1,250
Devils Tower NM	DETO	National Monument	Intermountain 	WY	1983	1	2,143
Devils Tower NM	DETO	National Monument	Intermountain 	WY	1983	2	2,471
Devils Tower NM	DETO	National Monument	Intermountain 	WY	1983	3	3,081
Devils Tower NM	DETO	National Monument	Intermountain 	WY	1983	4	5,805
Devils Tower NM	DETO	National Monument	Intermountain 	WY	1983	5	16,670
Devils Tower NM	DETO	National Monument	Intermountain 	WY	1983	6	63,128
Devils Tower NM	DETO	National Monument	Intermountain 	WY	1983	7	72,167
Devils Tower NM	DETO	National Monument	Intermountain 	WY	1983	8	66,252
Devils Tower NM	DETO	National Monument	Intermountain 	WY	1983	9	19,956
Devils Tower NM	DETO	National Monument	Intermountain 	WY	1983	10	10,381
Devils Tower NM	DETO	National Monument	Intermountain 	WY	1983	11	4,169
Devils Tower NM	DETO	National Monument	Intermountain 	WY	1983	12	1,053
Devils Tower NM	DETO	National Monument	Intermountain 	WY	1984	1	2,206
Devils Tower NM	DETO	National Monument	Intermountain 	WY	1984	2	2,506
Devils Tower NM	DETO	National Monument	Intermountain 	WY	1984	3	2,849
Devils Tower NM	DETO	National Monument	Intermountain 	WY	1984	4	5,319
Devils Tower NM	DETO	National Monument	Intermountain 	WY	1984	5	14,702
Devils Tower NM	DETO	National Monument	Intermountain 	WY	1984	6	50,737
Devils Tower NM	DETO	National Monument	Intermountain 	WY	1984	7	59,382
Devils Tower NM	DETO	National Monument	Intermountain 	WY	1984	8	46,834
Devils Tower NM	DETO	National Monument	Intermountain 	WY	1984	9	21,986
Devils Tower NM	DETO	National Monument	Intermountain 	WY	1984	10	7,978
Devils Tower NM	DETO	National Monument	Intermountain 	WY	1984	11	3,898
Devils Tower NM	DETO	National Monument	Intermountain 	WY	1984	12	1,458
Devils Tower NM	DETO	National Monument	Intermountain 	WY	1985	1	1,657
Devils Tower NM	DETO	National Monument	Intermountain 	WY	1985	2	1,836
Devils Tower NM	DETO	National Monument	Intermountain 	WY	1985	3	3,764
Devils Tower NM	DETO	National Monument	Intermountain 	WY	1985	4	6,907
Devils Tower NM	DETO	National Monument	Intermountain 	WY	1985	5	14,142
Devils Tower NM	DETO	National Monument	Intermountain 	WY	1985	6	46,020
Devils Tower NM	DETO	National Monument	Intermountain 	WY	1985	7	53,163
Devils Tower NM	DETO	National Monument	Intermountain 	WY	1985	8	57,851
Devils Tower NM	DETO	National Monument	Intermountain 	WY	1985	9	20,976
Devils Tower NM	DETO	National Monument	Intermountain 	WY	1985	10	6,971
Devils Tower NM	DETO	National Monument	Intermountain 	WY	1985	11	2,363
Devils Tower NM	DETO	National Monument	Intermountain 	WY	1985	12	1,137
Devils Tower NM	DETO	National Monument	Intermountain 	WY	1986	1	1,458
Devils Tower NM	DETO	National Monument	Intermountain 	WY	1986	2	1,431
Devils Tower NM	DETO	National Monument	Intermountain 	WY	1986	3	5,165
Devils Tower NM	DETO	National Monument	Intermountain 	WY	1986	4	4,690
Devils Tower NM	DETO	National Monument	Intermountain 	WY	1986	5	17,267
Devils Tower NM	DETO	National Monument	Intermountain 	WY	1986	6	59,468
Devils Tower NM	DETO	National Monument	Intermountain 	WY	1986	7	85,458
Devils Tower NM	DETO	National Monument	Intermountain 	WY	1986	8	72,279
Devils Tower NM	DETO	National Monument	Intermountain 	WY	1986	9	27,537
Devils Tower NM	DETO	National Monument	Intermountain 	WY	1986	10	9,326
Devils Tower NM	DETO	National Monument	Intermountain 	WY	1986	11	4,204
Devils Tower NM	DETO	National Monument	Intermountain 	WY	1986	12	2,249
Devils Tower NM	DETO	National Monument	Intermountain 	WY	1987	1	2,332
Devils Tower NM	DETO	National Monument	Intermountain 	WY	1987	2	2,629
Devils Tower NM	DETO	National Monument	Intermountain 	WY	1987	3	2,865
Devils Tower NM	DETO	National Monument	Intermountain 	WY	1987	4	7,050
Devils Tower NM	DETO	National Monument	Intermountain 	WY	1987	5	20,777
Devils Tower NM	DETO	National Monument	Intermountain 	WY	1987	6	62,663
Devils Tower NM	DETO	National Monument	Intermountain 	WY	1987	7	83,868
Devils Tower NM	DETO	National Monument	Intermountain 	WY	1987	8	94,012
Devils Tower NM	DETO	National Monument	Intermountain 	WY	1987	9	34,868
Devils Tower NM	DETO	National Monument	Intermountain 	WY	1987	10	10,814
Devils Tower NM	DETO	National Monument	Intermountain 	WY	1987	11	4,514
Devils Tower NM	DETO	National Monument	Intermountain 	WY	1987	12	1,620
Devils Tower NM	DETO	National Monument	Intermountain 	WY	1988	1	1,320
Devils Tower NM	DETO	National Monument	Intermountain 	WY	1988	2	778
