Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Dinosaur NM	DINO	National Monument	Intermountain 	CO	1979	1	1,704
Dinosaur NM	DINO	National Monument	Intermountain 	CO	1979	2	3,172
Dinosaur NM	DINO	National Monument	Intermountain 	CO	1979	3	6,498
Dinosaur NM	DINO	National Monument	Intermountain 	CO	1979	4	14,214
Dinosaur NM	DINO	National Monument	Intermountain 	CO	1979	5	35,850
Dinosaur NM	DINO	National Monument	Intermountain 	CO	1979	6	52,953
Dinosaur NM	DINO	National Monument	Intermountain 	CO	1979	7	65,606
Dinosaur NM	DINO	National Monument	Intermountain 	CO	1979	8	60,718
Dinosaur NM	DINO	National Monument	Intermountain 	CO	1979	9	27,997
Dinosaur NM	DINO	National Monument	Intermountain 	CO	1979	10	19,733
Dinosaur NM	DINO	National Monument	Intermountain 	CO	1979	11	5,423
Dinosaur NM	DINO	National Monument	Intermountain 	CO	1979	12	1,969
Dinosaur NM	DINO	National Monument	Intermountain 	CO	1980	1	2,213
Dinosaur NM	DINO	National Monument	Intermountain 	CO	1980	2	4,140
Dinosaur NM	DINO	National Monument	Intermountain 	CO	1980	3	6,218
Dinosaur NM	DINO	National Monument	Intermountain 	CO	1980	4	13,684
Dinosaur NM	DINO	National Monument	Intermountain 	CO	1980	5	36,482
Dinosaur NM	DINO	National Monument	Intermountain 	CO	1980	6	53,864
Dinosaur NM	DINO	National Monument	Intermountain 	CO	1980	7	78,387
Dinosaur NM	DINO	National Monument	Intermountain 	CO	1980	8	67,388
Dinosaur NM	DINO	National Monument	Intermountain 	CO	1980	9	36,201
Dinosaur NM	DINO	National Monument	Intermountain 	CO	1980	10	20,595
Dinosaur NM	DINO	National Monument	Intermountain 	CO	1980	11	8,387
Dinosaur NM	DINO	National Monument	Intermountain 	CO	1980	12	5,222
Dinosaur NM	DINO	National Monument	Intermountain 	CO	1981	1	7,206
Dinosaur NM	DINO	National Monument	Intermountain 	CO	1981	2	5,703
Dinosaur NM	DINO	National Monument	Intermountain 	CO	1981	3	9,411
Dinosaur NM	DINO	National Monument	Intermountain 	CO	1981	4	19,584
Dinosaur NM	DINO	National Monument	Intermountain 	CO	1981	5	40,751
Dinosaur NM	DINO	National Monument	Intermountain 	CO	1981	6	56,701
Dinosaur NM	DINO	National Monument	Intermountain 	CO	1981	7	75,525
Dinosaur NM	DINO	National Monument	Intermountain 	CO	1981	8	64,220
Dinosaur NM	DINO	National Monument	Intermountain 	CO	1981	9	33,135
Dinosaur NM	DINO	National Monument	Intermountain 	CO	1981	10	20,027
Dinosaur NM	DINO	National Monument	Intermountain 	CO	1981	11	9,465
Dinosaur NM	DINO	National Monument	Intermountain 	CO	1981	12	4,056
Dinosaur NM	DINO	National Monument	Intermountain 	CO	1982	1	3,901
Dinosaur NM	DINO	National Monument	Intermountain 	CO	1982	2	6,578
Dinosaur NM	DINO	National Monument	Intermountain 	CO	1982	3	10,124
Dinosaur NM	DINO	National Monument	Intermountain 	CO	1982	4	18,276
Dinosaur NM	DINO	National Monument	Intermountain 	CO	1982	5	45,203
Dinosaur NM	DINO	National Monument	Intermountain 	CO	1982	6	76,777
Dinosaur NM	DINO	National Monument	Intermountain 	CO	1982	7	94,014
Dinosaur NM	DINO	National Monument	Intermountain 	CO	1982	8	77,656
Dinosaur NM	DINO	National Monument	Intermountain 	CO	1982	9	33,391
Dinosaur NM	DINO	National Monument	Intermountain 	CO	1982	10	17,358
Dinosaur NM	DINO	National Monument	Intermountain 	CO	1982	11	9,870
Dinosaur NM	DINO	National Monument	Intermountain 	CO	1982	12	3,790
Dinosaur NM	DINO	National Monument	Intermountain 	CO	1983	1	4,367
Dinosaur NM	DINO	National Monument	Intermountain 	CO	1983	2	6,565
Dinosaur NM	DINO	National Monument	Intermountain 	CO	1983	3	10,079
Dinosaur NM	DINO	National Monument	Intermountain 	CO	1983	4	13,122
Dinosaur NM	DINO	National Monument	Intermountain 	CO	1983	5	39,610
Dinosaur NM	DINO	National Monument	Intermountain 	CO	1983	6	90,042
Dinosaur NM	DINO	National Monument	Intermountain 	CO	1983	7	112,175
Dinosaur NM	DINO	National Monument	Intermountain 	CO	1983	8	77,037
Dinosaur NM	DINO	National Monument	Intermountain 	CO	1983	9	41,338
Dinosaur NM	DINO	National Monument	Intermountain 	CO	1983	10	20,658
Dinosaur NM	DINO	National Monument	Intermountain 	CO	1983	11	9,609
Dinosaur NM	DINO	National Monument	Intermountain 	CO	1983	12	2,773
Dinosaur NM	DINO	National Monument	Intermountain 	CO	1984	1	3,730
Dinosaur NM	DINO	National Monument	Intermountain 	CO	1984	2	5,291
Dinosaur NM	DINO	National Monument	Intermountain 	CO	1984	3	6,108
Dinosaur NM	DINO	National Monument	Intermountain 	CO	1984	4	12,309
Dinosaur NM	DINO	National Monument	Intermountain 	CO	1984	5	35,302
Dinosaur NM	DINO	National Monument	Intermountain 	CO	1984	6	78,720
Dinosaur NM	DINO	National Monument	Intermountain 	CO	1984	7	185,758
Dinosaur NM	DINO	National Monument	Intermountain 	CO	1984	8	86,139
Dinosaur NM	DINO	National Monument	Intermountain 	CO	1984	9	46,144
Dinosaur NM	DINO	National Monument	Intermountain 	CO	1984	10	19,254
Dinosaur NM	DINO	National Monument	Intermountain 	CO	1984	11	11,124
Dinosaur NM	DINO	National Monument	Intermountain 	CO	1984	12	3,261
Dinosaur NM	DINO	National Monument	Intermountain 	CO	1985	1	5,059
Dinosaur NM	DINO	National Monument	Intermountain 	CO	1985	2	4,775
Dinosaur NM	DINO	National Monument	Intermountain 	CO	1985	3	6,307
Dinosaur NM	DINO	National Monument	Intermountain 	CO	1985	4	21,698
Dinosaur NM	DINO	National Monument	Intermountain 	CO	1985	5	45,361
Dinosaur NM	DINO	National Monument	Intermountain 	CO	1985	6	73,496
Dinosaur NM	DINO	National Monument	Intermountain 	CO	1985	7	91,765
Dinosaur NM	DINO	National Monument	Intermountain 	CO	1985	8	86,617
Dinosaur NM	DINO	National Monument	Intermountain 	CO	1985	9	43,700
Dinosaur NM	DINO	National Monument	Intermountain 	CO	1985	10	22,757
Dinosaur NM	DINO	National Monument	Intermountain 	CO	1985	11	11,946
Dinosaur NM	DINO	National Monument	Intermountain 	CO	1985	12	4,706
Dinosaur NM	DINO	National Monument	Intermountain 	CO	1986	1	5,039
Dinosaur NM	DINO	National Monument	Intermountain 	CO	1986	2	6,448
Dinosaur NM	DINO	National Monument	Intermountain 	CO	1986	3	15,830
Dinosaur NM	DINO	National Monument	Intermountain 	CO	1986	4	14,226
Dinosaur NM	DINO	National Monument	Intermountain 	CO	1986	5	46,569
Dinosaur NM	DINO	National Monument	Intermountain 	CO	1986	6	71,659
Dinosaur NM	DINO	National Monument	Intermountain 	CO	1986	7	99,541
Dinosaur NM	DINO	National Monument	Intermountain 	CO	1986	8	91,636
Dinosaur NM	DINO	National Monument	Intermountain 	CO	1986	9	40,870
Dinosaur NM	DINO	National Monument	Intermountain 	CO	1986	10	20,300
Dinosaur NM	DINO	National Monument	Intermountain 	CO	1986	11	11,596
Dinosaur NM	DINO	National Monument	Intermountain 	CO	1986	12	7,177
Dinosaur NM	DINO	National Monument	Intermountain 	CO	1987	1	5,241
Dinosaur NM	DINO	National Monument	Intermountain 	CO	1987	2	7,004
Dinosaur NM	DINO	National Monument	Intermountain 	CO	1987	3	8,678
Dinosaur NM	DINO	National Monument	Intermountain 	CO	1987	4	18,407
Dinosaur NM	DINO	National Monument	Intermountain 	CO	1987	5	39,785
Dinosaur NM	DINO	National Monument	Intermountain 	CO	1987	6	72,445
Dinosaur NM	DINO	National Monument	Intermountain 	CO	1987	7	87,034
Dinosaur NM	DINO	National Monument	Intermountain 	CO	1987	8	80,939
Dinosaur NM	DINO	National Monument	Intermountain 	CO	1987	9	46,192
Dinosaur NM	DINO	National Monument	Intermountain 	CO	1987	10	28,558
Dinosaur NM	DINO	National Monument	Intermountain 	CO	1987	11	11,197
Dinosaur NM	DINO	National Monument	Intermountain 	CO	1987	12	6,609
