Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Dry Tortugas NP	DRTO	National Park	Southeast 	FL	1979	1	495
Dry Tortugas NP	DRTO	National Park	Southeast 	FL	1979	2	527
Dry Tortugas NP	DRTO	National Park	Southeast 	FL	1979	3	845
Dry Tortugas NP	DRTO	National Park	Southeast 	FL	1979	4	966
Dry Tortugas NP	DRTO	National Park	Southeast 	FL	1979	5	1,479
Dry Tortugas NP	DRTO	National Park	Southeast 	FL	1979	6	1,267
Dry Tortugas NP	DRTO	National Park	Southeast 	FL	1979	7	891
Dry Tortugas NP	DRTO	National Park	Southeast 	FL	1979	8	802
Dry Tortugas NP	DRTO	National Park	Southeast 	FL	1979	9	216
Dry Tortugas NP	DRTO	National Park	Southeast 	FL	1979	10	477
Dry Tortugas NP	DRTO	National Park	Southeast 	FL	1979	11	532
Dry Tortugas NP	DRTO	National Park	Southeast 	FL	1979	12	579
Dry Tortugas NP	DRTO	National Park	Southeast 	FL	1980	1	708
Dry Tortugas NP	DRTO	National Park	Southeast 	FL	1980	2	692
Dry Tortugas NP	DRTO	National Park	Southeast 	FL	1980	3	832
Dry Tortugas NP	DRTO	National Park	Southeast 	FL	1980	4	1,171
Dry Tortugas NP	DRTO	National Park	Southeast 	FL	1980	5	1,093
Dry Tortugas NP	DRTO	National Park	Southeast 	FL	1980	6	1,078
Dry Tortugas NP	DRTO	National Park	Southeast 	FL	1980	7	1,040
Dry Tortugas NP	DRTO	National Park	Southeast 	FL	1980	8	647
Dry Tortugas NP	DRTO	National Park	Southeast 	FL	1980	9	285
Dry Tortugas NP	DRTO	National Park	Southeast 	FL	1980	10	425
Dry Tortugas NP	DRTO	National Park	Southeast 	FL	1980	11	267
Dry Tortugas NP	DRTO	National Park	Southeast 	FL	1980	12	406
Dry Tortugas NP	DRTO	National Park	Southeast 	FL	1981	1	631
Dry Tortugas NP	DRTO	National Park	Southeast 	FL	1981	2	732
Dry Tortugas NP	DRTO	National Park	Southeast 	FL	1981	3	1,194
Dry Tortugas NP	DRTO	National Park	Southeast 	FL	1981	4	1,298
Dry Tortugas NP	DRTO	National Park	Southeast 	FL	1981	5	1,585
Dry Tortugas NP	DRTO	National Park	Southeast 	FL	1981	6	1,205
Dry Tortugas NP	DRTO	National Park	Southeast 	FL	1981	7	1,025
Dry Tortugas NP	DRTO	National Park	Southeast 	FL	1981	8	668
Dry Tortugas NP	DRTO	National Park	Southeast 	FL	1981	9	419
Dry Tortugas NP	DRTO	National Park	Southeast 	FL	1981	10	465
Dry Tortugas NP	DRTO	National Park	Southeast 	FL	1981	11	405
Dry Tortugas NP	DRTO	National Park	Southeast 	FL	1981	12	523
Dry Tortugas NP	DRTO	National Park	Southeast 	FL	1982	1	797
Dry Tortugas NP	DRTO	National Park	Southeast 	FL	1982	2	1,168
Dry Tortugas NP	DRTO	National Park	Southeast 	FL	1982	3	1,288
Dry Tortugas NP	DRTO	National Park	Southeast 	FL	1982	4	1,371
Dry Tortugas NP	DRTO	National Park	Southeast 	FL	1982	5	1,449
Dry Tortugas NP	DRTO	National Park	Southeast 	FL	1982	6	703
Dry Tortugas NP	DRTO	National Park	Southeast 	FL	1982	7	885
Dry Tortugas NP	DRTO	National Park	Southeast 	FL	1982	8	807
Dry Tortugas NP	DRTO	National Park	Southeast 	FL	1982	9	544
Dry Tortugas NP	DRTO	National Park	Southeast 	FL	1982	10	586
Dry Tortugas NP	DRTO	National Park	Southeast 	FL	1982	11	483
Dry Tortugas NP	DRTO	National Park	Southeast 	FL	1982	12	619
Dry Tortugas NP	DRTO	National Park	Southeast 	FL	1983	1	491
Dry Tortugas NP	DRTO	National Park	Southeast 	FL	1983	2	746
