Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Dwight D. Eisenhower MEM	DDEM	National Memorial	National Capital 		2020	1	0
Dwight D. Eisenhower MEM	DDEM	National Memorial	National Capital 		2020	2	0
Dwight D. Eisenhower MEM	DDEM	National Memorial	National Capital 		2020	3	0
Dwight D. Eisenhower MEM	DDEM	National Memorial	National Capital 		2020	4	0
Dwight D. Eisenhower MEM	DDEM	National Memorial	National Capital 		2020	5	0
Dwight D. Eisenhower MEM	DDEM	National Memorial	National Capital 		2020	6	0
Dwight D. Eisenhower MEM	DDEM	National Memorial	National Capital 		2020	7	0
Dwight D. Eisenhower MEM	DDEM	National Memorial	National Capital 		2020	8	0
Dwight D. Eisenhower MEM	DDEM	National Memorial	National Capital 		2020	9	51,733
Dwight D. Eisenhower MEM	DDEM	National Memorial	National Capital 		2020	10	59,733
Dwight D. Eisenhower MEM	DDEM	National Memorial	National Capital 		2020	11	40,971
Dwight D. Eisenhower MEM	DDEM	National Memorial	National Capital 		2020	12	34,891
Dwight D. Eisenhower MEM	DDEM	National Memorial	National Capital 		2021	1	59,957
Dwight D. Eisenhower MEM	DDEM	National Memorial	National Capital 		2021	2	23,787
Dwight D. Eisenhower MEM	DDEM	National Memorial	National Capital 		2021	3	38,411
Dwight D. Eisenhower MEM	DDEM	National Memorial	National Capital 		2021	4	68,363
Dwight D. Eisenhower MEM	DDEM	National Memorial	National Capital 		2021	5	49,195
Dwight D. Eisenhower MEM	DDEM	National Memorial	National Capital 		2021	6	74,752
Dwight D. Eisenhower MEM	DDEM	National Memorial	National Capital 		2021	7	62,336
Dwight D. Eisenhower MEM	DDEM	National Memorial	National Capital 		2021	8	40,843
Dwight D. Eisenhower MEM	DDEM	National Memorial	National Capital 		2021	9	39,413
Dwight D. Eisenhower MEM	DDEM	National Memorial	National Capital 		2021	10	58,304
Dwight D. Eisenhower MEM	DDEM	National Memorial	National Capital 		2021	11	55,040
Dwight D. Eisenhower MEM	DDEM	National Memorial	National Capital 		2021	12	55,339
Dwight D. Eisenhower MEM	DDEM	National Memorial	National Capital 		2022	1	31,381
Dwight D. Eisenhower MEM	DDEM	National Memorial	National Capital 		2022	2	42,219
Dwight D. Eisenhower MEM	DDEM	National Memorial	National Capital 		2022	3	130,336
Dwight D. Eisenhower MEM	DDEM	National Memorial	National Capital 		2022	4	102,933
Dwight D. Eisenhower MEM	DDEM	National Memorial	National Capital 		2022	5	110,138
Dwight D. Eisenhower MEM	DDEM	National Memorial	National Capital 		2022	6	117,848
Dwight D. Eisenhower MEM	DDEM	National Memorial	National Capital 		2022	7	37,711
Dwight D. Eisenhower MEM	DDEM	National Memorial	National Capital 		2022	8	39,974
Dwight D. Eisenhower MEM	DDEM	National Memorial	National Capital 		2022	9	36,776
Dwight D. Eisenhower MEM	DDEM	National Memorial	National Capital 		2022	10	38,247
Dwight D. Eisenhower MEM	DDEM	National Memorial	National Capital 		2022	11	43,219
Dwight D. Eisenhower MEM	DDEM	National Memorial	National Capital 		2022	12	29,821
Dwight D. Eisenhower MEM	DDEM	National Memorial	National Capital 		2023	1	27,435
Dwight D. Eisenhower MEM	DDEM	National Memorial	National Capital 		2023	2	30,452
Dwight D. Eisenhower MEM	DDEM	National Memorial	National Capital 		2023	3	76,434
Dwight D. Eisenhower MEM	DDEM	National Memorial	National Capital 		2023	4	81,020
Dwight D. Eisenhower MEM	DDEM	National Memorial	National Capital 		2023	5	74,538
Dwight D. Eisenhower MEM	DDEM	National Memorial	National Capital 		2023	6	67,084
Dwight D. Eisenhower MEM	DDEM	National Memorial	National Capital 		2023	7	63,729
Dwight D. Eisenhower MEM	DDEM	National Memorial	National Capital 		2023	8	56,718
Dwight D. Eisenhower MEM	DDEM	National Memorial	National Capital 		2023	9	46,508
Dwight D. Eisenhower MEM	DDEM	National Memorial	National Capital 		2023	10	59,530
Dwight D. Eisenhower MEM	DDEM	National Memorial	National Capital 		2023	11	46,433
Dwight D. Eisenhower MEM	DDEM	National Memorial	National Capital 		2023	12	37,611
Dwight D. Eisenhower MEM	DDEM	National Memorial	National Capital 		2024	1	25,952
Dwight D. Eisenhower MEM	DDEM	National Memorial	National Capital 		2024	2	34,854
Dwight D. Eisenhower MEM	DDEM	National Memorial	National Capital 		2024	3	98,079
Dwight D. Eisenhower MEM	DDEM	National Memorial	National Capital 		2024	4	87,977
Dwight D. Eisenhower MEM	DDEM	National Memorial	National Capital 		2024	5	80,587
Dwight D. Eisenhower MEM	DDEM	National Memorial	National Capital 		2024	6	76,961
Dwight D. Eisenhower MEM	DDEM	National Memorial	National Capital 		2024	7	65,109
Dwight D. Eisenhower MEM	DDEM	National Memorial	National Capital 		2024	8	61,723
Dwight D. Eisenhower MEM	DDEM	National Memorial	National Capital 		2024	9	53,143
Dwight D. Eisenhower MEM	DDEM	National Memorial	National Capital 		2024	10	64,728
Dwight D. Eisenhower MEM	DDEM	National Memorial	National Capital 		2024	11	50,099
Dwight D. Eisenhower MEM	DDEM	National Memorial	National Capital 		2024	12	32,264
