Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Edgar Allan Poe NHS	EDAL	National Historic Site	Northeast 	PA	1980	1	0
Edgar Allan Poe NHS	EDAL	National Historic Site	Northeast 	PA	1980	2	0
Edgar Allan Poe NHS	EDAL	National Historic Site	Northeast 	PA	1980	3	0
Edgar Allan Poe NHS	EDAL	National Historic Site	Northeast 	PA	1980	4	0
Edgar Allan Poe NHS	EDAL	National Historic Site	Northeast 	PA	1980	5	0
Edgar Allan Poe NHS	EDAL	National Historic Site	Northeast 	PA	1980	6	0
Edgar Allan Poe NHS	EDAL	National Historic Site	Northeast 	PA	1980	7	0
Edgar Allan Poe NHS	EDAL	National Historic Site	Northeast 	PA	1980	8	637
Edgar Allan Poe NHS	EDAL	National Historic Site	Northeast 	PA	1980	9	454
Edgar Allan Poe NHS	EDAL	National Historic Site	Northeast 	PA	1980	10	567
Edgar Allan Poe NHS	EDAL	National Historic Site	Northeast 	PA	1980	11	584
Edgar Allan Poe NHS	EDAL	National Historic Site	Northeast 	PA	1980	12	307
Edgar Allan Poe NHS	EDAL	National Historic Site	Northeast 	PA	1981	1	1,111
Edgar Allan Poe NHS	EDAL	National Historic Site	Northeast 	PA	1981	2	846
Edgar Allan Poe NHS	EDAL	National Historic Site	Northeast 	PA	1981	3	988
Edgar Allan Poe NHS	EDAL	National Historic Site	Northeast 	PA	1981	4	2,334
Edgar Allan Poe NHS	EDAL	National Historic Site	Northeast 	PA	1981	5	1,072
Edgar Allan Poe NHS	EDAL	National Historic Site	Northeast 	PA	1981	6	1,400
Edgar Allan Poe NHS	EDAL	National Historic Site	Northeast 	PA	1981	7	1,181
Edgar Allan Poe NHS	EDAL	National Historic Site	Northeast 	PA	1981	8	1,606
Edgar Allan Poe NHS	EDAL	National Historic Site	Northeast 	PA	1981	9	932
Edgar Allan Poe NHS	EDAL	National Historic Site	Northeast 	PA	1981	10	1,156
Edgar Allan Poe NHS	EDAL	National Historic Site	Northeast 	PA	1981	11	874
Edgar Allan Poe NHS	EDAL	National Historic Site	Northeast 	PA	1981	12	555
Edgar Allan Poe NHS	EDAL	National Historic Site	Northeast 	PA	1982	1	550
Edgar Allan Poe NHS	EDAL	National Historic Site	Northeast 	PA	1982	2	857
Edgar Allan Poe NHS	EDAL	National Historic Site	Northeast 	PA	1982	3	1,064
Edgar Allan Poe NHS	EDAL	National Historic Site	Northeast 	PA	1982	4	1,118
Edgar Allan Poe NHS	EDAL	National Historic Site	Northeast 	PA	1982	5	1,115
Edgar Allan Poe NHS	EDAL	National Historic Site	Northeast 	PA	1982	6	1,096
Edgar Allan Poe NHS	EDAL	National Historic Site	Northeast 	PA	1982	7	1,418
Edgar Allan Poe NHS	EDAL	National Historic Site	Northeast 	PA	1982	8	1,519
Edgar Allan Poe NHS	EDAL	National Historic Site	Northeast 	PA	1982	9	799
Edgar Allan Poe NHS	EDAL	National Historic Site	Northeast 	PA	1982	10	1,453
Edgar Allan Poe NHS	EDAL	National Historic Site	Northeast 	PA	1982	11	918
Edgar Allan Poe NHS	EDAL	National Historic Site	Northeast 	PA	1982	12	688
Edgar Allan Poe NHS	EDAL	National Historic Site	Northeast 	PA	1983	1	1,408
Edgar Allan Poe NHS	EDAL	National Historic Site	Northeast 	PA	1983	2	579
Edgar Allan Poe NHS	EDAL	National Historic Site	Northeast 	PA	1983	3	1,121
Edgar Allan Poe NHS	EDAL	National Historic Site	Northeast 	PA	1983	4	1,046
Edgar Allan Poe NHS	EDAL	National Historic Site	Northeast 	PA	1983	5	1,328
Edgar Allan Poe NHS	EDAL	National Historic Site	Northeast 	PA	1983	6	1,139
Edgar Allan Poe NHS	EDAL	National Historic Site	Northeast 	PA	1983	7	1,512
Edgar Allan Poe NHS	EDAL	National Historic Site	Northeast 	PA	1983	8	1,614
Edgar Allan Poe NHS	EDAL	National Historic Site	Northeast 	PA	1983	9	849
Edgar Allan Poe NHS	EDAL	National Historic Site	Northeast 	PA	1983	10	1,381
Edgar Allan Poe NHS	EDAL	National Historic Site	Northeast 	PA	1983	11	946
Edgar Allan Poe NHS	EDAL	National Historic Site	Northeast 	PA	1983	12	935
Edgar Allan Poe NHS	EDAL	National Historic Site	Northeast 	PA	1984	1	937
Edgar Allan Poe NHS	EDAL	National Historic Site	Northeast 	PA	1984	2	854
Edgar Allan Poe NHS	EDAL	National Historic Site	Northeast 	PA	1984	3	1,260
Edgar Allan Poe NHS	EDAL	National Historic Site	Northeast 	PA	1984	4	1,365
Edgar Allan Poe NHS	EDAL	National Historic Site	Northeast 	PA	1984	5	1,754
Edgar Allan Poe NHS	EDAL	National Historic Site	Northeast 	PA	1984	6	1,860
Edgar Allan Poe NHS	EDAL	National Historic Site	Northeast 	PA	1984	7	2,286
Edgar Allan Poe NHS	EDAL	National Historic Site	Northeast 	PA	1984	8	2,341
Edgar Allan Poe NHS	EDAL	National Historic Site	Northeast 	PA	1984	9	1,406
Edgar Allan Poe NHS	EDAL	National Historic Site	Northeast 	PA	1984	10	1,612
Edgar Allan Poe NHS	EDAL	National Historic Site	Northeast 	PA	1984	11	1,415
Edgar Allan Poe NHS	EDAL	National Historic Site	Northeast 	PA	1984	12	1,088
Edgar Allan Poe NHS	EDAL	National Historic Site	Northeast 	PA	1985	1	900
Edgar Allan Poe NHS	EDAL	National Historic Site	Northeast 	PA	1985	2	1,097
Edgar Allan Poe NHS	EDAL	National Historic Site	Northeast 	PA	1985	3	1,409
Edgar Allan Poe NHS	EDAL	National Historic Site	Northeast 	PA	1985	4	1,594
Edgar Allan Poe NHS	EDAL	National Historic Site	Northeast 	PA	1985	5	1,570
Edgar Allan Poe NHS	EDAL	National Historic Site	Northeast 	PA	1985	6	1,356
Edgar Allan Poe NHS	EDAL	National Historic Site	Northeast 	PA	1985	7	1,790
Edgar Allan Poe NHS	EDAL	National Historic Site	Northeast 	PA	1985	8	1,326
Edgar Allan Poe NHS	EDAL	National Historic Site	Northeast 	PA	1985	9	757
Edgar Allan Poe NHS	EDAL	National Historic Site	Northeast 	PA	1985	10	1,362
Edgar Allan Poe NHS	EDAL	National Historic Site	Northeast 	PA	1985	11	1,460
Edgar Allan Poe NHS	EDAL	National Historic Site	Northeast 	PA	1985	12	633
Edgar Allan Poe NHS	EDAL	National Historic Site	Northeast 	PA	1986	1	862
Edgar Allan Poe NHS	EDAL	National Historic Site	Northeast 	PA	1986	2	616
Edgar Allan Poe NHS	EDAL	National Historic Site	Northeast 	PA	1986	3	1,169
Edgar Allan Poe NHS	EDAL	National Historic Site	Northeast 	PA	1986	4	1,011
Edgar Allan Poe NHS	EDAL	National Historic Site	Northeast 	PA	1986	5	1,403
Edgar Allan Poe NHS	EDAL	National Historic Site	Northeast 	PA	1986	6	1,028
Edgar Allan Poe NHS	EDAL	National Historic Site	Northeast 	PA	1986	7	1,208
Edgar Allan Poe NHS	EDAL	National Historic Site	Northeast 	PA	1986	8	1,550
Edgar Allan Poe NHS	EDAL	National Historic Site	Northeast 	PA	1986	9	719
Edgar Allan Poe NHS	EDAL	National Historic Site	Northeast 	PA	1986	10	1,063
Edgar Allan Poe NHS	EDAL	National Historic Site	Northeast 	PA	1986	11	1,013
Edgar Allan Poe NHS	EDAL	National Historic Site	Northeast 	PA	1986	12	723
Edgar Allan Poe NHS	EDAL	National Historic Site	Northeast 	PA	1987	1	608
Edgar Allan Poe NHS	EDAL	National Historic Site	Northeast 	PA	1987	2	521
Edgar Allan Poe NHS	EDAL	National Historic Site	Northeast 	PA	1987	3	928
Edgar Allan Poe NHS	EDAL	National Historic Site	Northeast 	PA	1987	4	1,048
Edgar Allan Poe NHS	EDAL	National Historic Site	Northeast 	PA	1987	5	1,171
Edgar Allan Poe NHS	EDAL	National Historic Site	Northeast 	PA	1987	6	960
Edgar Allan Poe NHS	EDAL	National Historic Site	Northeast 	PA	1987	7	1,209
Edgar Allan Poe NHS	EDAL	National Historic Site	Northeast 	PA	1987	8	1,283
Edgar Allan Poe NHS	EDAL	National Historic Site	Northeast 	PA	1987	9	908
