Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Effigy Mounds NM	EFMO	National Monument	Midwest 	IA	1979	1	1,109
Effigy Mounds NM	EFMO	National Monument	Midwest 	IA	1979	2	1,552
Effigy Mounds NM	EFMO	National Monument	Midwest 	IA	1979	3	1,067
Effigy Mounds NM	EFMO	National Monument	Midwest 	IA	1979	4	1,972
Effigy Mounds NM	EFMO	National Monument	Midwest 	IA	1979	5	5,014
Effigy Mounds NM	EFMO	National Monument	Midwest 	IA	1979	6	6,200
Effigy Mounds NM	EFMO	National Monument	Midwest 	IA	1979	7	10,148
Effigy Mounds NM	EFMO	National Monument	Midwest 	IA	1979	8	8,360
Effigy Mounds NM	EFMO	National Monument	Midwest 	IA	1979	9	8,270
Effigy Mounds NM	EFMO	National Monument	Midwest 	IA	1979	10	13,946
Effigy Mounds NM	EFMO	National Monument	Midwest 	IA	1979	11	993
Effigy Mounds NM	EFMO	National Monument	Midwest 	IA	1979	12	433
Effigy Mounds NM	EFMO	National Monument	Midwest 	IA	1980	1	1,185
Effigy Mounds NM	EFMO	National Monument	Midwest 	IA	1980	2	1,956
Effigy Mounds NM	EFMO	National Monument	Midwest 	IA	1980	3	1,701
Effigy Mounds NM	EFMO	National Monument	Midwest 	IA	1980	4	1,388
Effigy Mounds NM	EFMO	National Monument	Midwest 	IA	1980	5	4,200
Effigy Mounds NM	EFMO	National Monument	Midwest 	IA	1980	6	10,000
Effigy Mounds NM	EFMO	National Monument	Midwest 	IA	1980	7	13,373
Effigy Mounds NM	EFMO	National Monument	Midwest 	IA	1980	8	14,312
Effigy Mounds NM	EFMO	National Monument	Midwest 	IA	1980	9	6,178
Effigy Mounds NM	EFMO	National Monument	Midwest 	IA	1980	10	19,462
Effigy Mounds NM	EFMO	National Monument	Midwest 	IA	1980	11	1,429
Effigy Mounds NM	EFMO	National Monument	Midwest 	IA	1980	12	371
Effigy Mounds NM	EFMO	National Monument	Midwest 	IA	1981	1	2,292
Effigy Mounds NM	EFMO	National Monument	Midwest 	IA	1981	2	1,438
Effigy Mounds NM	EFMO	National Monument	Midwest 	IA	1981	3	2,127
Effigy Mounds NM	EFMO	National Monument	Midwest 	IA	1981	4	2,029
Effigy Mounds NM	EFMO	National Monument	Midwest 	IA	1981	5	6,498
Effigy Mounds NM	EFMO	National Monument	Midwest 	IA	1981	6	8,217
