Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Eisenhower NHS	EISE	National Historic Site	Northeast 	PA	1980	1	0
Eisenhower NHS	EISE	National Historic Site	Northeast 	PA	1980	2	0
Eisenhower NHS	EISE	National Historic Site	Northeast 	PA	1980	3	0
Eisenhower NHS	EISE	National Historic Site	Northeast 	PA	1980	4	0
Eisenhower NHS	EISE	National Historic Site	Northeast 	PA	1980	5	0
Eisenhower NHS	EISE	National Historic Site	Northeast 	PA	1980	6	26,878
Eisenhower NHS	EISE	National Historic Site	Northeast 	PA	1980	7	35,070
Eisenhower NHS	EISE	National Historic Site	Northeast 	PA	1980	8	33,949
Eisenhower NHS	EISE	National Historic Site	Northeast 	PA	1980	9	28,417
Eisenhower NHS	EISE	National Historic Site	Northeast 	PA	1980	10	28,297
Eisenhower NHS	EISE	National Historic Site	Northeast 	PA	1980	11	9,342
Eisenhower NHS	EISE	National Historic Site	Northeast 	PA	1980	12	2,490
Eisenhower NHS	EISE	National Historic Site	Northeast 	PA	1981	1	1,339
Eisenhower NHS	EISE	National Historic Site	Northeast 	PA	1981	2	591
Eisenhower NHS	EISE	National Historic Site	Northeast 	PA	1981	3	4,988
Eisenhower NHS	EISE	National Historic Site	Northeast 	PA	1981	4	11,635
Eisenhower NHS	EISE	National Historic Site	Northeast 	PA	1981	5	19,975
Eisenhower NHS	EISE	National Historic Site	Northeast 	PA	1981	6	25,129
Eisenhower NHS	EISE	National Historic Site	Northeast 	PA	1981	7	33,179
Eisenhower NHS	EISE	National Historic Site	Northeast 	PA	1981	8	31,962
Eisenhower NHS	EISE	National Historic Site	Northeast 	PA	1981	9	21,802
Eisenhower NHS	EISE	National Historic Site	Northeast 	PA	1981	10	23,321
Eisenhower NHS	EISE	National Historic Site	Northeast 	PA	1981	11	5,878
Eisenhower NHS	EISE	National Historic Site	Northeast 	PA	1981	12	2,588
Eisenhower NHS	EISE	National Historic Site	Northeast 	PA	1982	1	725
Eisenhower NHS	EISE	National Historic Site	Northeast 	PA	1982	2	1,139
Eisenhower NHS	EISE	National Historic Site	Northeast 	PA	1982	3	2,770
Eisenhower NHS	EISE	National Historic Site	Northeast 	PA	1982	4	11,099
Eisenhower NHS	EISE	National Historic Site	Northeast 	PA	1982	5	15,635
Eisenhower NHS	EISE	National Historic Site	Northeast 	PA	1982	6	18,414
Eisenhower NHS	EISE	National Historic Site	Northeast 	PA	1982	7	26,212
Eisenhower NHS	EISE	National Historic Site	Northeast 	PA	1982	8	27,031
Eisenhower NHS	EISE	National Historic Site	Northeast 	PA	1982	9	17,839
Eisenhower NHS	EISE	National Historic Site	Northeast 	PA	1982	10	20,728
Eisenhower NHS	EISE	National Historic Site	Northeast 	PA	1982	11	4,529
Eisenhower NHS	EISE	National Historic Site	Northeast 	PA	1982	12	2,679
Eisenhower NHS	EISE	National Historic Site	Northeast 	PA	1983	1	343
Eisenhower NHS	EISE	National Historic Site	Northeast 	PA	1983	2	1,361
Eisenhower NHS	EISE	National Historic Site	Northeast 	PA	1983	3	3,694
