Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
El Malpais NM	ELMA	National Monument	Intermountain 	NM	1988	1	0
El Malpais NM	ELMA	National Monument	Intermountain 	NM	1988	2	0
El Malpais NM	ELMA	National Monument	Intermountain 	NM	1988	3	0
El Malpais NM	ELMA	National Monument	Intermountain 	NM	1988	4	0
El Malpais NM	ELMA	National Monument	Intermountain 	NM	1988	5	0
El Malpais NM	ELMA	National Monument	Intermountain 	NM	1988	6	0
El Malpais NM	ELMA	National Monument	Intermountain 	NM	1988	7	747
El Malpais NM	ELMA	National Monument	Intermountain 	NM	1988	8	9,619
El Malpais NM	ELMA	National Monument	Intermountain 	NM	1988	9	5,487
El Malpais NM	ELMA	National Monument	Intermountain 	NM	1988	10	4,198
El Malpais NM	ELMA	National Monument	Intermountain 	NM	1988	11	2,037
El Malpais NM	ELMA	National Monument	Intermountain 	NM	1988	12	1,458
El Malpais NM	ELMA	National Monument	Intermountain 	NM	1989	1	1,035
El Malpais NM	ELMA	National Monument	Intermountain 	NM	1989	2	1,116
El Malpais NM	ELMA	National Monument	Intermountain 	NM	1989	3	5,355
El Malpais NM	ELMA	National Monument	Intermountain 	NM	1989	4	6,159
El Malpais NM	ELMA	National Monument	Intermountain 	NM	1989	5	6,493
El Malpais NM	ELMA	National Monument	Intermountain 	NM	1989	6	6,230
El Malpais NM	ELMA	National Monument	Intermountain 	NM	1989	7	5,742
El Malpais NM	ELMA	National Monument	Intermountain 	NM	1989	8	6,484
El Malpais NM	ELMA	National Monument	Intermountain 	NM	1989	9	5,486
El Malpais NM	ELMA	National Monument	Intermountain 	NM	1989	10	4,483
El Malpais NM	ELMA	National Monument	Intermountain 	NM	1989	11	2,219
El Malpais NM	ELMA	National Monument	Intermountain 	NM	1989	12	1,752
El Malpais NM	ELMA	National Monument	Intermountain 	NM	1990	1	1,196
El Malpais NM	ELMA	National Monument	Intermountain 	NM	1990	2	1,792
El Malpais NM	ELMA	National Monument	Intermountain 	NM	1990	3	6,283
El Malpais NM	ELMA	National Monument	Intermountain 	NM	1990	4	7,979
El Malpais NM	ELMA	National Monument	Intermountain 	NM	1990	5	8,613
El Malpais NM	ELMA	National Monument	Intermountain 	NM	1990	6	6,503
El Malpais NM	ELMA	National Monument	Intermountain 	NM	1990	7	13,968
El Malpais NM	ELMA	National Monument	Intermountain 	NM	1990	8	12,311
El Malpais NM	ELMA	National Monument	Intermountain 	NM	1990	9	8,719
El Malpais NM	ELMA	National Monument	Intermountain 	NM	1990	10	7,629
El Malpais NM	ELMA	National Monument	Intermountain 	NM	1990	11	2,816
El Malpais NM	ELMA	National Monument	Intermountain 	NM	1990	12	1,184
El Malpais NM	ELMA	National Monument	Intermountain 	NM	1991	1	1,174
El Malpais NM	ELMA	National Monument	Intermountain 	NM	1991	2	2,337
El Malpais NM	ELMA	National Monument	Intermountain 	NM	1991	3	3,040
El Malpais NM	ELMA	National Monument	Intermountain 	NM	1991	4	5,387
El Malpais NM	ELMA	National Monument	Intermountain 	NM	1991	5	8,740
El Malpais NM	ELMA	National Monument	Intermountain 	NM	1991	6	8,622
El Malpais NM	ELMA	National Monument	Intermountain 	NM	1991	7	11,860
El Malpais NM	ELMA	National Monument	Intermountain 	NM	1991	8	11,340
El Malpais NM	ELMA	National Monument	Intermountain 	NM	1991	9	7,176
El Malpais NM	ELMA	National Monument	Intermountain 	NM	1991	10	5,127
El Malpais NM	ELMA	National Monument	Intermountain 	NM	1991	11	3,212
El Malpais NM	ELMA	National Monument	Intermountain 	NM	1991	12	1,104
El Malpais NM	ELMA	National Monument	Intermountain 	NM	1992	1	1,376
El Malpais NM	ELMA	National Monument	Intermountain 	NM	1992	2	3,168
El Malpais NM	ELMA	National Monument	Intermountain 	NM	1992	3	3,445
El Malpais NM	ELMA	National Monument	Intermountain 	NM	1992	4	6,018
El Malpais NM	ELMA	National Monument	Intermountain 	NM	1992	5	10,556
El Malpais NM	ELMA	National Monument	Intermountain 	NM	1992	6	8,709
El Malpais NM	ELMA	National Monument	Intermountain 	NM	1992	7	11,718
El Malpais NM	ELMA	National Monument	Intermountain 	NM	1992	8	11,507
El Malpais NM	ELMA	National Monument	Intermountain 	NM	1992	9	8,983
El Malpais NM	ELMA	National Monument	Intermountain 	NM	1992	10	6,618
El Malpais NM	ELMA	National Monument	Intermountain 	NM	1992	11	2,522
El Malpais NM	ELMA	National Monument	Intermountain 	NM	1992	12	1,296
El Malpais NM	ELMA	National Monument	Intermountain 	NM	1993	1	2,595
El Malpais NM	ELMA	National Monument	Intermountain 	NM	1993	2	3,056
El Malpais NM	ELMA	National Monument	Intermountain 	NM	1993	3	6,000
El Malpais NM	ELMA	National Monument	Intermountain 	NM	1993	4	8,103
El Malpais NM	ELMA	National Monument	Intermountain 	NM	1993	5	12,289
El Malpais NM	ELMA	National Monument	Intermountain 	NM	1993	6	10,482
El Malpais NM	ELMA	National Monument	Intermountain 	NM	1993	7	11,323
El Malpais NM	ELMA	National Monument	Intermountain 	NM	1993	8	14,146
El Malpais NM	ELMA	National Monument	Intermountain 	NM	1993	9	7,963
El Malpais NM	ELMA	National Monument	Intermountain 	NM	1993	10	6,406
El Malpais NM	ELMA	National Monument	Intermountain 	NM	1993	11	4,318
El Malpais NM	ELMA	National Monument	Intermountain 	NM	1993	12	3,635
El Malpais NM	ELMA	National Monument	Intermountain 	NM	1994	1	2,818
El Malpais NM	ELMA	National Monument	Intermountain 	NM	1994	2	3,213
El Malpais NM	ELMA	National Monument	Intermountain 	NM	1994	3	6,521
El Malpais NM	ELMA	National Monument	Intermountain 	NM	1994	4	7,253
El Malpais NM	ELMA	National Monument	Intermountain 	NM	1994	5	8,533
El Malpais NM	ELMA	National Monument	Intermountain 	NM	1994	6	13,645
El Malpais NM	ELMA	National Monument	Intermountain 	NM	1994	7	16,333
El Malpais NM	ELMA	National Monument	Intermountain 	NM	1994	8	12,209
El Malpais NM	ELMA	National Monument	Intermountain 	NM	1994	9	15,842
El Malpais NM	ELMA	National Monument	Intermountain 	NM	1994	10	7,222
El Malpais NM	ELMA	National Monument	Intermountain 	NM	1994	11	5,133
El Malpais NM	ELMA	National Monument	Intermountain 	NM	1994	12	2,770
