Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
El Morro NM	ELMO	National Monument	Intermountain 	NM	1979	1	379
El Morro NM	ELMO	National Monument	Intermountain 	NM	1979	2	586
El Morro NM	ELMO	National Monument	Intermountain 	NM	1979	3	1,529
El Morro NM	ELMO	National Monument	Intermountain 	NM	1979	4	2,521
El Morro NM	ELMO	National Monument	Intermountain 	NM	1979	5	3,627
El Morro NM	ELMO	National Monument	Intermountain 	NM	1979	6	4,483
El Morro NM	ELMO	National Monument	Intermountain 	NM	1979	7	5,238
El Morro NM	ELMO	National Monument	Intermountain 	NM	1979	8	4,601
El Morro NM	ELMO	National Monument	Intermountain 	NM	1979	9	2,673
El Morro NM	ELMO	National Monument	Intermountain 	NM	1979	10	2,273
El Morro NM	ELMO	National Monument	Intermountain 	NM	1979	11	1,176
El Morro NM	ELMO	National Monument	Intermountain 	NM	1979	12	549
El Morro NM	ELMO	National Monument	Intermountain 	NM	1980	1	605
El Morro NM	ELMO	National Monument	Intermountain 	NM	1980	2	749
El Morro NM	ELMO	National Monument	Intermountain 	NM	1980	3	1,548
El Morro NM	ELMO	National Monument	Intermountain 	NM	1980	4	2,040
El Morro NM	ELMO	National Monument	Intermountain 	NM	1980	5	3,295
El Morro NM	ELMO	National Monument	Intermountain 	NM	1980	6	4,251
El Morro NM	ELMO	National Monument	Intermountain 	NM	1980	7	4,168
El Morro NM	ELMO	National Monument	Intermountain 	NM	1980	8	4,471
El Morro NM	ELMO	National Monument	Intermountain 	NM	1980	9	2,919
El Morro NM	ELMO	National Monument	Intermountain 	NM	1980	10	2,597
El Morro NM	ELMO	National Monument	Intermountain 	NM	1980	11	1,734
El Morro NM	ELMO	National Monument	Intermountain 	NM	1980	12	1,146
El Morro NM	ELMO	National Monument	Intermountain 	NM	1981	1	825
El Morro NM	ELMO	National Monument	Intermountain 	NM	1981	2	963
El Morro NM	ELMO	National Monument	Intermountain 	NM	1981	3	1,316
El Morro NM	ELMO	National Monument	Intermountain 	NM	1981	4	2,727
El Morro NM	ELMO	National Monument	Intermountain 	NM	1981	5	3,587
El Morro NM	ELMO	National Monument	Intermountain 	NM	1981	6	3,800
El Morro NM	ELMO	National Monument	Intermountain 	NM	1981	7	3,986
El Morro NM	ELMO	National Monument	Intermountain 	NM	1981	8	3,743
El Morro NM	ELMO	National Monument	Intermountain 	NM	1981	9	2,254
El Morro NM	ELMO	National Monument	Intermountain 	NM	1981	10	1,847
El Morro NM	ELMO	National Monument	Intermountain 	NM	1981	11	1,243
El Morro NM	ELMO	National Monument	Intermountain 	NM	1981	12	1,245
El Morro NM	ELMO	National Monument	Intermountain 	NM	1982	1	485
El Morro NM	ELMO	National Monument	Intermountain 	NM	1982	2	614
El Morro NM	ELMO	National Monument	Intermountain 	NM	1982	3	1,240
El Morro NM	ELMO	National Monument	Intermountain 	NM	1982	4	2,575
El Morro NM	ELMO	National Monument	Intermountain 	NM	1982	5	4,046
El Morro NM	ELMO	National Monument	Intermountain 	NM	1982	6	3,689
El Morro NM	ELMO	National Monument	Intermountain 	NM	1982	7	4,913
El Morro NM	ELMO	National Monument	Intermountain 	NM	1982	8	5,396
El Morro NM	ELMO	National Monument	Intermountain 	NM	1982	9	2,815
El Morro NM	ELMO	National Monument	Intermountain 	NM	1982	10	2,357
El Morro NM	ELMO	National Monument	Intermountain 	NM	1982	11	1,291
El Morro NM	ELMO	National Monument	Intermountain 	NM	1982	12	512
El Morro NM	ELMO	National Monument	Intermountain 	NM	1983	1	538
El Morro NM	ELMO	National Monument	Intermountain 	NM	1983	2	740
El Morro NM	ELMO	National Monument	Intermountain 	NM	1983	3	1,429
El Morro NM	ELMO	National Monument	Intermountain 	NM	1983	4	2,083
El Morro NM	ELMO	National Monument	Intermountain 	NM	1983	5	3,597
El Morro NM	ELMO	National Monument	Intermountain 	NM	1983	6	4,908
El Morro NM	ELMO	National Monument	Intermountain 	NM	1983	7	5,523
El Morro NM	ELMO	National Monument	Intermountain 	NM	1983	8	4,058
El Morro NM	ELMO	National Monument	Intermountain 	NM	1983	9	2,505
El Morro NM	ELMO	National Monument	Intermountain 	NM	1983	10	2,121
El Morro NM	ELMO	National Monument	Intermountain 	NM	1983	11	1,038
El Morro NM	ELMO	National Monument	Intermountain 	NM	1983	12	738
El Morro NM	ELMO	National Monument	Intermountain 	NM	1984	1	596
El Morro NM	ELMO	National Monument	Intermountain 	NM	1984	2	994
El Morro NM	ELMO	National Monument	Intermountain 	NM	1984	3	1,782
El Morro NM	ELMO	National Monument	Intermountain 	NM	1984	4	2,115
El Morro NM	ELMO	National Monument	Intermountain 	NM	1984	5	4,303
El Morro NM	ELMO	National Monument	Intermountain 	NM	1984	6	4,790
El Morro NM	ELMO	National Monument	Intermountain 	NM	1984	7	5,719
El Morro NM	ELMO	National Monument	Intermountain 	NM	1984	8	5,301
El Morro NM	ELMO	National Monument	Intermountain 	NM	1984	9	3,572
El Morro NM	ELMO	National Monument	Intermountain 	NM	1984	10	1,830
El Morro NM	ELMO	National Monument	Intermountain 	NM	1984	11	1,062
El Morro NM	ELMO	National Monument	Intermountain 	NM	1984	12	1,061
El Morro NM	ELMO	National Monument	Intermountain 	NM	1985	1	557
El Morro NM	ELMO	National Monument	Intermountain 	NM	1985	2	700
El Morro NM	ELMO	National Monument	Intermountain 	NM	1985	3	1,769
El Morro NM	ELMO	National Monument	Intermountain 	NM	1985	4	3,418
El Morro NM	ELMO	National Monument	Intermountain 	NM	1985	5	7,584
El Morro NM	ELMO	National Monument	Intermountain 	NM	1985	6	8,074
El Morro NM	ELMO	National Monument	Intermountain 	NM	1985	7	7,961
El Morro NM	ELMO	National Monument	Intermountain 	NM	1985	8	7,044
El Morro NM	ELMO	National Monument	Intermountain 	NM	1985	9	3,750
El Morro NM	ELMO	National Monument	Intermountain 	NM	1985	10	2,935
El Morro NM	ELMO	National Monument	Intermountain 	NM	1985	11	1,222
El Morro NM	ELMO	National Monument	Intermountain 	NM	1985	12	2,285
El Morro NM	ELMO	National Monument	Intermountain 	NM	1986	1	2,709
El Morro NM	ELMO	National Monument	Intermountain 	NM	1986	2	2,252
El Morro NM	ELMO	National Monument	Intermountain 	NM	1986	3	3,780
El Morro NM	ELMO	National Monument	Intermountain 	NM	1986	4	4,212
El Morro NM	ELMO	National Monument	Intermountain 	NM	1986	5	6,577
El Morro NM	ELMO	National Monument	Intermountain 	NM	1986	6	6,107
El Morro NM	ELMO	National Monument	Intermountain 	NM	1986	7	7,006
El Morro NM	ELMO	National Monument	Intermountain 	NM	1986	8	7,134
El Morro NM	ELMO	National Monument	Intermountain 	NM	1986	9	5,149
El Morro NM	ELMO	National Monument	Intermountain 	NM	1986	10	4,488
El Morro NM	ELMO	National Monument	Intermountain 	NM	1986	11	2,987
El Morro NM	ELMO	National Monument	Intermountain 	NM	1986	12	2,540
El Morro NM	ELMO	National Monument	Intermountain 	NM	1987	1	2,088
El Morro NM	ELMO	National Monument	Intermountain 	NM	1987	2	2,122
El Morro NM	ELMO	National Monument	Intermountain 	NM	1987	3	3,013
El Morro NM	ELMO	National Monument	Intermountain 	NM	1987	4	4,647
El Morro NM	ELMO	National Monument	Intermountain 	NM	1987	5	6,458
El Morro NM	ELMO	National Monument	Intermountain 	NM	1987	6	6,890
El Morro NM	ELMO	National Monument	Intermountain 	NM	1987	7	7,801
El Morro NM	ELMO	National Monument	Intermountain 	NM	1987	8	8,001
El Morro NM	ELMO	National Monument	Intermountain 	NM	1987	9	5,652
El Morro NM	ELMO	National Monument	Intermountain 	NM	1987	10	4,651
El Morro NM	ELMO	National Monument	Intermountain 	NM	1987	11	2,779
El Morro NM	ELMO	National Monument	Intermountain 	NM	1987	12	2,324
El Morro NM	ELMO	National Monument	Intermountain 	NM	1988	1	2,057
El Morro NM	ELMO	National Monument	Intermountain 	NM	1988	2	2,694
