Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Eleanor Roosevelt NHS	ELRO	National Historic Site	Northeast 	NY	1985	1	402
Eleanor Roosevelt NHS	ELRO	National Historic Site	Northeast 	NY	1985	2	308
Eleanor Roosevelt NHS	ELRO	National Historic Site	Northeast 	NY	1985	3	1,341
Eleanor Roosevelt NHS	ELRO	National Historic Site	Northeast 	NY	1985	4	2,332
Eleanor Roosevelt NHS	ELRO	National Historic Site	Northeast 	NY	1985	5	2,855
Eleanor Roosevelt NHS	ELRO	National Historic Site	Northeast 	NY	1985	6	3,276
Eleanor Roosevelt NHS	ELRO	National Historic Site	Northeast 	NY	1985	7	4,730
Eleanor Roosevelt NHS	ELRO	National Historic Site	Northeast 	NY	1985	8	4,736
Eleanor Roosevelt NHS	ELRO	National Historic Site	Northeast 	NY	1985	9	3,636
Eleanor Roosevelt NHS	ELRO	National Historic Site	Northeast 	NY	1985	10	4,645
Eleanor Roosevelt NHS	ELRO	National Historic Site	Northeast 	NY	1985	11	991
Eleanor Roosevelt NHS	ELRO	National Historic Site	Northeast 	NY	1985	12	1,460
Eleanor Roosevelt NHS	ELRO	National Historic Site	Northeast 	NY	1986	1	137
Eleanor Roosevelt NHS	ELRO	National Historic Site	Northeast 	NY	1986	2	245
Eleanor Roosevelt NHS	ELRO	National Historic Site	Northeast 	NY	1986	3	1,243
Eleanor Roosevelt NHS	ELRO	National Historic Site	Northeast 	NY	1986	4	1,662
Eleanor Roosevelt NHS	ELRO	National Historic Site	Northeast 	NY	1986	5	2,667
Eleanor Roosevelt NHS	ELRO	National Historic Site	Northeast 	NY	1986	6	2,990
Eleanor Roosevelt NHS	ELRO	National Historic Site	Northeast 	NY	1986	7	4,863
Eleanor Roosevelt NHS	ELRO	National Historic Site	Northeast 	NY	1986	8	5,327
Eleanor Roosevelt NHS	ELRO	National Historic Site	Northeast 	NY	1986	9	3,637
Eleanor Roosevelt NHS	ELRO	National Historic Site	Northeast 	NY	1986	10	4,283
Eleanor Roosevelt NHS	ELRO	National Historic Site	Northeast 	NY	1986	11	688
Eleanor Roosevelt NHS	ELRO	National Historic Site	Northeast 	NY	1986	12	2,571
Eleanor Roosevelt NHS	ELRO	National Historic Site	Northeast 	NY	1987	1	383
Eleanor Roosevelt NHS	ELRO	National Historic Site	Northeast 	NY	1987	2	444
Eleanor Roosevelt NHS	ELRO	National Historic Site	Northeast 	NY	1987	3	2,476
Eleanor Roosevelt NHS	ELRO	National Historic Site	Northeast 	NY	1987	4	2,096
Eleanor Roosevelt NHS	ELRO	National Historic Site	Northeast 	NY	1987	5	2,665
Eleanor Roosevelt NHS	ELRO	National Historic Site	Northeast 	NY	1987	6	3,492
Eleanor Roosevelt NHS	ELRO	National Historic Site	Northeast 	NY	1987	7	3,743
Eleanor Roosevelt NHS	ELRO	National Historic Site	Northeast 	NY	1987	8	4,249
Eleanor Roosevelt NHS	ELRO	National Historic Site	Northeast 	NY	1987	9	3,537
Eleanor Roosevelt NHS	ELRO	National Historic Site	Northeast 	NY	1987	10	2,866
Eleanor Roosevelt NHS	ELRO	National Historic Site	Northeast 	NY	1987	11	797
Eleanor Roosevelt NHS	ELRO	National Historic Site	Northeast 	NY	1987	12	2,066
Eleanor Roosevelt NHS	ELRO	National Historic Site	Northeast 	NY	1988	1	529
Eleanor Roosevelt NHS	ELRO	National Historic Site	Northeast 	NY	1988	2	296
Eleanor Roosevelt NHS	ELRO	National Historic Site	Northeast 	NY	1988	3	1,066
Eleanor Roosevelt NHS	ELRO	National Historic Site	Northeast 	NY	1988	4	1,906
Eleanor Roosevelt NHS	ELRO	National Historic Site	Northeast 	NY	1988	5	2,871
Eleanor Roosevelt NHS	ELRO	National Historic Site	Northeast 	NY	1988	6	3,050
Eleanor Roosevelt NHS	ELRO	National Historic Site	Northeast 	NY	1988	7	3,917
Eleanor Roosevelt NHS	ELRO	National Historic Site	Northeast 	NY	1988	8	4,583
Eleanor Roosevelt NHS	ELRO	National Historic Site	Northeast 	NY	1988	9	3,467
Eleanor Roosevelt NHS	ELRO	National Historic Site	Northeast 	NY	1988	10	4,405
