Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Emmett Till and Mamie Till-Mobley NM	TILL	National Monument	Southeast 		2024	1	61
Emmett Till and Mamie Till-Mobley NM	TILL	National Monument	Southeast 		2024	2	188
Emmett Till and Mamie Till-Mobley NM	TILL	National Monument	Southeast 		2024	3	384
Emmett Till and Mamie Till-Mobley NM	TILL	National Monument	Southeast 		2024	4	252
Emmett Till and Mamie Till-Mobley NM	TILL	National Monument	Southeast 		2024	5	280
Emmett Till and Mamie Till-Mobley NM	TILL	National Monument	Southeast 		2024	6	557
Emmett Till and Mamie Till-Mobley NM	TILL	National Monument	Southeast 		2024	7	602
Emmett Till and Mamie Till-Mobley NM	TILL	National Monument	Southeast 		2024	8	329
Emmett Till and Mamie Till-Mobley NM	TILL	National Monument	Southeast 		2024	9	405
Emmett Till and Mamie Till-Mobley NM	TILL	National Monument	Southeast 		2024	10	266
Emmett Till and Mamie Till-Mobley NM	TILL	National Monument	Southeast 		2024	11	139
Emmett Till and Mamie Till-Mobley NM	TILL	National Monument	Southeast 		2024	12	50
