Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Eugene O'Neill NHS	EUON	National Historic Site	Pacific West 	CA	1985	1	0
Eugene O'Neill NHS	EUON	National Historic Site	Pacific West 	CA	1985	2	452
Eugene O'Neill NHS	EUON	National Historic Site	Pacific West 	CA	1985	3	388
Eugene O'Neill NHS	EUON	National Historic Site	Pacific West 	CA	1985	4	267
Eugene O'Neill NHS	EUON	National Historic Site	Pacific West 	CA	1985	5	292
Eugene O'Neill NHS	EUON	National Historic Site	Pacific West 	CA	1985	6	187
Eugene O'Neill NHS	EUON	National Historic Site	Pacific West 	CA	1985	7	130
Eugene O'Neill NHS	EUON	National Historic Site	Pacific West 	CA	1985	8	194
Eugene O'Neill NHS	EUON	National Historic Site	Pacific West 	CA	1985	9	237
Eugene O'Neill NHS	EUON	National Historic Site	Pacific West 	CA	1985	10	295
Eugene O'Neill NHS	EUON	National Historic Site	Pacific West 	CA	1985	11	288
Eugene O'Neill NHS	EUON	National Historic Site	Pacific West 	CA	1985	12	84
Eugene O'Neill NHS	EUON	National Historic Site	Pacific West 	CA	1986	1	172
Eugene O'Neill NHS	EUON	National Historic Site	Pacific West 	CA	1986	2	125
Eugene O'Neill NHS	EUON	National Historic Site	Pacific West 	CA	1986	3	196
Eugene O'Neill NHS	EUON	National Historic Site	Pacific West 	CA	1986	4	213
Eugene O'Neill NHS	EUON	National Historic Site	Pacific West 	CA	1986	5	194
Eugene O'Neill NHS	EUON	National Historic Site	Pacific West 	CA	1986	6	94
Eugene O'Neill NHS	EUON	National Historic Site	Pacific West 	CA	1986	7	187
Eugene O'Neill NHS	EUON	National Historic Site	Pacific West 	CA	1986	8	309
Eugene O'Neill NHS	EUON	National Historic Site	Pacific West 	CA	1986	9	267
Eugene O'Neill NHS	EUON	National Historic Site	Pacific West 	CA	1986	10	264
Eugene O'Neill NHS	EUON	National Historic Site	Pacific West 	CA	1986	11	339
Eugene O'Neill NHS	EUON	National Historic Site	Pacific West 	CA	1986	12	279
Eugene O'Neill NHS	EUON	National Historic Site	Pacific West 	CA	1987	1	269
Eugene O'Neill NHS	EUON	National Historic Site	Pacific West 	CA	1987	2	287
Eugene O'Neill NHS	EUON	National Historic Site	Pacific West 	CA	1987	3	270
Eugene O'Neill NHS	EUON	National Historic Site	Pacific West 	CA	1987	4	349
Eugene O'Neill NHS	EUON	National Historic Site	Pacific West 	CA	1987	5	332
Eugene O'Neill NHS	EUON	National Historic Site	Pacific West 	CA	1987	6	267
Eugene O'Neill NHS	EUON	National Historic Site	Pacific West 	CA	1987	7	237
Eugene O'Neill NHS	EUON	National Historic Site	Pacific West 	CA	1987	8	291
Eugene O'Neill NHS	EUON	National Historic Site	Pacific West 	CA	1987	9	299
Eugene O'Neill NHS	EUON	National Historic Site	Pacific West 	CA	1987	10	350
Eugene O'Neill NHS	EUON	National Historic Site	Pacific West 	CA	1987	11	345
Eugene O'Neill NHS	EUON	National Historic Site	Pacific West 	CA	1987	12	233
Eugene O'Neill NHS	EUON	National Historic Site	Pacific West 	CA	1988	1	336
Eugene O'Neill NHS	EUON	National Historic Site	Pacific West 	CA	1988	2	339
Eugene O'Neill NHS	EUON	National Historic Site	Pacific West 	CA	1988	3	339
Eugene O'Neill NHS	EUON	National Historic Site	Pacific West 	CA	1988	4	330
Eugene O'Neill NHS	EUON	National Historic Site	Pacific West 	CA	1988	5	296
Eugene O'Neill NHS	EUON	National Historic Site	Pacific West 	CA	1988	6	272
Eugene O'Neill NHS	EUON	National Historic Site	Pacific West 	CA	1988	7	397
