Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Federal Hall NMEM	FEHA	National Memorial	Northeast 	NY	1979	1	4,223
Federal Hall NMEM	FEHA	National Memorial	Northeast 	NY	1979	2	3,151
Federal Hall NMEM	FEHA	National Memorial	Northeast 	NY	1979	3	5,873
Federal Hall NMEM	FEHA	National Memorial	Northeast 	NY	1979	4	6,947
Federal Hall NMEM	FEHA	National Memorial	Northeast 	NY	1979	5	8,054
Federal Hall NMEM	FEHA	National Memorial	Northeast 	NY	1979	6	8,693
Federal Hall NMEM	FEHA	National Memorial	Northeast 	NY	1979	7	16,521
Federal Hall NMEM	FEHA	National Memorial	Northeast 	NY	1979	8	11,866
Federal Hall NMEM	FEHA	National Memorial	Northeast 	NY	1979	9	5,334
Federal Hall NMEM	FEHA	National Memorial	Northeast 	NY	1979	10	5,688
Federal Hall NMEM	FEHA	National Memorial	Northeast 	NY	1979	11	4,210
Federal Hall NMEM	FEHA	National Memorial	Northeast 	NY	1979	12	3,120
Federal Hall NMEM	FEHA	National Memorial	Northeast 	NY	1980	1	3,940
Federal Hall NMEM	FEHA	National Memorial	Northeast 	NY	1980	2	4,300
Federal Hall NMEM	FEHA	National Memorial	Northeast 	NY	1980	3	4,040
Federal Hall NMEM	FEHA	National Memorial	Northeast 	NY	1980	4	3,608
Federal Hall NMEM	FEHA	National Memorial	Northeast 	NY	1980	5	6,922
Federal Hall NMEM	FEHA	National Memorial	Northeast 	NY	1980	6	8,340
Federal Hall NMEM	FEHA	National Memorial	Northeast 	NY	1980	7	15,045
Federal Hall NMEM	FEHA	National Memorial	Northeast 	NY	1980	8	10,790
Federal Hall NMEM	FEHA	National Memorial	Northeast 	NY	1980	9	6,698
Federal Hall NMEM	FEHA	National Memorial	Northeast 	NY	1980	10	12,102
Federal Hall NMEM	FEHA	National Memorial	Northeast 	NY	1980	11	10,258
Federal Hall NMEM	FEHA	National Memorial	Northeast 	NY	1980	12	9,300
Federal Hall NMEM	FEHA	National Memorial	Northeast 	NY	1981	1	8,065
Federal Hall NMEM	FEHA	National Memorial	Northeast 	NY	1981	2	7,300
Federal Hall NMEM	FEHA	National Memorial	Northeast 	NY	1981	3	10,430
Federal Hall NMEM	FEHA	National Memorial	Northeast 	NY	1981	4	7,945
Federal Hall NMEM	FEHA	National Memorial	Northeast 	NY	1981	5	9,330
Federal Hall NMEM	FEHA	National Memorial	Northeast 	NY	1981	6	8,730
Federal Hall NMEM	FEHA	National Memorial	Northeast 	NY	1981	7	10,450
Federal Hall NMEM	FEHA	National Memorial	Northeast 	NY	1981	8	8,629
