Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Fire Island NS	FIIS	National Seashore	Northeast 	NY	1979	1	1,824
Fire Island NS	FIIS	National Seashore	Northeast 	NY	1979	2	1,599
Fire Island NS	FIIS	National Seashore	Northeast 	NY	1979	3	4,036
Fire Island NS	FIIS	National Seashore	Northeast 	NY	1979	4	5,274
Fire Island NS	FIIS	National Seashore	Northeast 	NY	1979	5	37,582
Fire Island NS	FIIS	National Seashore	Northeast 	NY	1979	6	62,503
Fire Island NS	FIIS	National Seashore	Northeast 	NY	1979	7	151,835
Fire Island NS	FIIS	National Seashore	Northeast 	NY	1979	8	132,621
Fire Island NS	FIIS	National Seashore	Northeast 	NY	1979	9	51,500
Fire Island NS	FIIS	National Seashore	Northeast 	NY	1979	10	9,318
Fire Island NS	FIIS	National Seashore	Northeast 	NY	1979	11	4,962
Fire Island NS	FIIS	National Seashore	Northeast 	NY	1979	12	2,214
Fire Island NS	FIIS	National Seashore	Northeast 	NY	1980	1	2,174
Fire Island NS	FIIS	National Seashore	Northeast 	NY	1980	2	1,973
Fire Island NS	FIIS	National Seashore	Northeast 	NY	1980	3	3,123
Fire Island NS	FIIS	National Seashore	Northeast 	NY	1980	4	3,764
Fire Island NS	FIIS	National Seashore	Northeast 	NY	1980	5	39,841
Fire Island NS	FIIS	National Seashore	Northeast 	NY	1980	6	101,602
Fire Island NS	FIIS	National Seashore	Northeast 	NY	1980	7	152,864
Fire Island NS	FIIS	National Seashore	Northeast 	NY	1980	8	161,181
Fire Island NS	FIIS	National Seashore	Northeast 	NY	1980	9	60,184
Fire Island NS	FIIS	National Seashore	Northeast 	NY	1980	10	33,957
Fire Island NS	FIIS	National Seashore	Northeast 	NY	1980	11	23,123
Fire Island NS	FIIS	National Seashore	Northeast 	NY	1980	12	20,615
Fire Island NS	FIIS	National Seashore	Northeast 	NY	1981	1	2,892
Fire Island NS	FIIS	National Seashore	Northeast 	NY	1981	2	2,496
Fire Island NS	FIIS	National Seashore	Northeast 	NY	1981	3	3,470
Fire Island NS	FIIS	National Seashore	Northeast 	NY	1981	4	5,243
Fire Island NS	FIIS	National Seashore	Northeast 	NY	1981	5	48,592
Fire Island NS	FIIS	National Seashore	Northeast 	NY	1981	6	72,479
Fire Island NS	FIIS	National Seashore	Northeast 	NY	1981	7	147,875
Fire Island NS	FIIS	National Seashore	Northeast 	NY	1981	8	146,648
Fire Island NS	FIIS	National Seashore	Northeast 	NY	1981	9	56,608
Fire Island NS	FIIS	National Seashore	Northeast 	NY	1981	10	17,477
Fire Island NS	FIIS	National Seashore	Northeast 	NY	1981	11	6,388
Fire Island NS	FIIS	National Seashore	Northeast 	NY	1981	12	3,253
Fire Island NS	FIIS	National Seashore	Northeast 	NY	1982	1	675
Fire Island NS	FIIS	National Seashore	Northeast 	NY	1982	2	2,815
Fire Island NS	FIIS	National Seashore	Northeast 	NY	1982	3	3,622
Fire Island NS	FIIS	National Seashore	Northeast 	NY	1982	4	6,288
Fire Island NS	FIIS	National Seashore	Northeast 	NY	1982	5	36,550
