Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
First State NHP	FRST	National Historical Park	Northeast 		2023	1	0
First State NHP	FRST	National Historical Park	Northeast 		2023	2	0
First State NHP	FRST	National Historical Park	Northeast 		2023	3	10,567
First State NHP	FRST	National Historical Park	Northeast 		2023	4	11,411
First State NHP	FRST	National Historical Park	Northeast 		2023	5	16,137
First State NHP	FRST	National Historical Park	Northeast 		2023	6	13,007
First State NHP	FRST	National Historical Park	Northeast 		2023	7	16,725
First State NHP	FRST	National Historical Park	Northeast 		2023	8	18,145
First State NHP	FRST	National Historical Park	Northeast 		2023	9	11,638
First State NHP	FRST	National Historical Park	Northeast 		2023	10	26,836
First State NHP	FRST	National Historical Park	Northeast 		2023	11	10,546
First State NHP	FRST	National Historical Park	Northeast 		2023	12	8,033
First State NHP	FRST	National Historical Park	Northeast 		2024	1	7,785
First State NHP	FRST	National Historical Park	Northeast 		2024	2	7,000
First State NHP	FRST	National Historical Park	Northeast 		2024	3	8,562
First State NHP	FRST	National Historical Park	Northeast 		2024	4	9,689
First State NHP	FRST	National Historical Park	Northeast 		2024	5	19,870
First State NHP	FRST	National Historical Park	Northeast 		2024	6	28,962
First State NHP	FRST	National Historical Park	Northeast 		2024	7	32,382
First State NHP	FRST	National Historical Park	Northeast 		2024	8	17,257
First State NHP	FRST	National Historical Park	Northeast 		2024	9	16,868
First State NHP	FRST	National Historical Park	Northeast 		2024	10	41,351
First State NHP	FRST	National Historical Park	Northeast 		2024	11	12,487
First State NHP	FRST	National Historical Park	Northeast 		2024	12	6,657
