Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Flight 93 NMEM	FLNI	National Memorial	Northeast 	PA	2007	1	2,737
Flight 93 NMEM	FLNI	National Memorial	Northeast 	PA	2007	2	1,480
Flight 93 NMEM	FLNI	National Memorial	Northeast 	PA	2007	3	5,389
Flight 93 NMEM	FLNI	National Memorial	Northeast 	PA	2007	4	7,927
Flight 93 NMEM	FLNI	National Memorial	Northeast 	PA	2007	5	15,104
Flight 93 NMEM	FLNI	National Memorial	Northeast 	PA	2007	6	18,933
Flight 93 NMEM	FLNI	National Memorial	Northeast 	PA	2007	7	21,003
Flight 93 NMEM	FLNI	National Memorial	Northeast 	PA	2007	8	23,021
Flight 93 NMEM	FLNI	National Memorial	Northeast 	PA	2007	9	22,773
Flight 93 NMEM	FLNI	National Memorial	Northeast 	PA	2007	10	17,438
Flight 93 NMEM	FLNI	National Memorial	Northeast 	PA	2007	11	5,812
Flight 93 NMEM	FLNI	National Memorial	Northeast 	PA	2007	12	2,108
Flight 93 NMEM	FLNI	National Memorial	Northeast 	PA	2008	1	1,671
Flight 93 NMEM	FLNI	National Memorial	Northeast 	PA	2008	2	1,703
Flight 93 NMEM	FLNI	National Memorial	Northeast 	PA	2008	3	4,644
Flight 93 NMEM	FLNI	National Memorial	Northeast 	PA	2008	4	8,083
Flight 93 NMEM	FLNI	National Memorial	Northeast 	PA	2008	5	12,631
Flight 93 NMEM	FLNI	National Memorial	Northeast 	PA	2008	6	15,547
Flight 93 NMEM	FLNI	National Memorial	Northeast 	PA	2008	7	19,244
Flight 93 NMEM	FLNI	National Memorial	Northeast 	PA	2008	8	23,190
Flight 93 NMEM	FLNI	National Memorial	Northeast 	PA	2008	9	22,543
Flight 93 NMEM	FLNI	National Memorial	Northeast 	PA	2008	10	18,893
Flight 93 NMEM	FLNI	National Memorial	Northeast 	PA	2008	11	5,347
Flight 93 NMEM	FLNI	National Memorial	Northeast 	PA	2008	12	2,595
Flight 93 NMEM	FLNI	National Memorial	Northeast 	PA	2009	1	1,336
Flight 93 NMEM	FLNI	National Memorial	Northeast 	PA	2009	2	2,457
Flight 93 NMEM	FLNI	National Memorial	Northeast 	PA	2009	3	5,594
Flight 93 NMEM	FLNI	National Memorial	Northeast 	PA	2009	4	9,365
Flight 93 NMEM	FLNI	National Memorial	Northeast 	PA	2009	5	15,409
Flight 93 NMEM	FLNI	National Memorial	Northeast 	PA	2009	6	19,859
Flight 93 NMEM	FLNI	National Memorial	Northeast 	PA	2009	7	21,998
Flight 93 NMEM	FLNI	National Memorial	Northeast 	PA	2009	8	23,016
Flight 93 NMEM	FLNI	National Memorial	Northeast 	PA	2009	9	25,752
Flight 93 NMEM	FLNI	National Memorial	Northeast 	PA	2009	10	16,078
Flight 93 NMEM	FLNI	National Memorial	Northeast 	PA	2009	11	7,069
Flight 93 NMEM	FLNI	National Memorial	Northeast 	PA	2009	12	1,735
Flight 93 NMEM	FLNI	National Memorial	Northeast 	PA	2010	1	1,490
Flight 93 NMEM	FLNI	National Memorial	Northeast 	PA	2010	2	375
Flight 93 NMEM	FLNI	National Memorial	Northeast 	PA	2010	3	4,049
Flight 93 NMEM	FLNI	National Memorial	Northeast 	PA	2010	4	8,917
Flight 93 NMEM	FLNI	National Memorial	Northeast 	PA	2010	5	14,016
Flight 93 NMEM	FLNI	National Memorial	Northeast 	PA	2010	6	17,935
Flight 93 NMEM	FLNI	National Memorial	Northeast 	PA	2010	7	21,844
Flight 93 NMEM	FLNI	National Memorial	Northeast 	PA	2010	8	21,228
Flight 93 NMEM	FLNI	National Memorial	Northeast 	PA	2010	9	23,326
Flight 93 NMEM	FLNI	National Memorial	Northeast 	PA	2010	10	17,214
Flight 93 NMEM	FLNI	National Memorial	Northeast 	PA	2010	11	5,815
Flight 93 NMEM	FLNI	National Memorial	Northeast 	PA	2010	12	1,628
Flight 93 NMEM	FLNI	National Memorial	Northeast 	PA	2011	1	1,143
Flight 93 NMEM	FLNI	National Memorial	Northeast 	PA	2011	2	1,919
Flight 93 NMEM	FLNI	National Memorial	Northeast 	PA	2011	3	3,797
Flight 93 NMEM	FLNI	National Memorial	Northeast 	PA	2011	4	8,242
Flight 93 NMEM	FLNI	National Memorial	Northeast 	PA	2011	5	19,136
Flight 93 NMEM	FLNI	National Memorial	Northeast 	PA	2011	6	22,353
Flight 93 NMEM	FLNI	National Memorial	Northeast 	PA	2011	7	29,784
Flight 93 NMEM	FLNI	National Memorial	Northeast 	PA	2011	8	31,716
Flight 93 NMEM	FLNI	National Memorial	Northeast 	PA	2011	9	70,337
Flight 93 NMEM	FLNI	National Memorial	Northeast 	PA	2011	10	49,302
Flight 93 NMEM	FLNI	National Memorial	Northeast 	PA	2011	11	18,757
Flight 93 NMEM	FLNI	National Memorial	Northeast 	PA	2011	12	8,760
Flight 93 NMEM	FLNI	National Memorial	Northeast 	PA	2012	1	5,677
