Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Florissant Fossil Beds NM	FLFO	National Monument	Intermountain 	CO	1979	1	430
Florissant Fossil Beds NM	FLFO	National Monument	Intermountain 	CO	1979	2	710
Florissant Fossil Beds NM	FLFO	National Monument	Intermountain 	CO	1979	3	958
Florissant Fossil Beds NM	FLFO	National Monument	Intermountain 	CO	1979	4	2,171
Florissant Fossil Beds NM	FLFO	National Monument	Intermountain 	CO	1979	5	3,574
Florissant Fossil Beds NM	FLFO	National Monument	Intermountain 	CO	1979	6	7,532
Florissant Fossil Beds NM	FLFO	National Monument	Intermountain 	CO	1979	7	10,849
Florissant Fossil Beds NM	FLFO	National Monument	Intermountain 	CO	1979	8	10,686
Florissant Fossil Beds NM	FLFO	National Monument	Intermountain 	CO	1979	9	6,126
Florissant Fossil Beds NM	FLFO	National Monument	Intermountain 	CO	1979	10	2,965
Florissant Fossil Beds NM	FLFO	National Monument	Intermountain 	CO	1979	11	632
Florissant Fossil Beds NM	FLFO	National Monument	Intermountain 	CO	1979	12	286
Florissant Fossil Beds NM	FLFO	National Monument	Intermountain 	CO	1980	1	399
Florissant Fossil Beds NM	FLFO	National Monument	Intermountain 	CO	1980	2	809
Florissant Fossil Beds NM	FLFO	National Monument	Intermountain 	CO	1980	3	1,229
Florissant Fossil Beds NM	FLFO	National Monument	Intermountain 	CO	1980	4	1,881
Florissant Fossil Beds NM	FLFO	National Monument	Intermountain 	CO	1980	5	4,672
Florissant Fossil Beds NM	FLFO	National Monument	Intermountain 	CO	1980	6	10,782
Florissant Fossil Beds NM	FLFO	National Monument	Intermountain 	CO	1980	7	17,844
Florissant Fossil Beds NM	FLFO	National Monument	Intermountain 	CO	1980	8	16,148
Florissant Fossil Beds NM	FLFO	National Monument	Intermountain 	CO	1980	9	7,521
Florissant Fossil Beds NM	FLFO	National Monument	Intermountain 	CO	1980	10	3,359
Florissant Fossil Beds NM	FLFO	National Monument	Intermountain 	CO	1980	11	1,093
Florissant Fossil Beds NM	FLFO	National Monument	Intermountain 	CO	1980	12	915
Florissant Fossil Beds NM	FLFO	National Monument	Intermountain 	CO	1981	1	1,012
Florissant Fossil Beds NM	FLFO	National Monument	Intermountain 	CO	1981	2	948
Florissant Fossil Beds NM	FLFO	National Monument	Intermountain 	CO	1981	3	1,120
Florissant Fossil Beds NM	FLFO	National Monument	Intermountain 	CO	1981	4	2,238
Florissant Fossil Beds NM	FLFO	National Monument	Intermountain 	CO	1981	5	3,658
Florissant Fossil Beds NM	FLFO	National Monument	Intermountain 	CO	1981	6	8,106
Florissant Fossil Beds NM	FLFO	National Monument	Intermountain 	CO	1981	7	12,150
Florissant Fossil Beds NM	FLFO	National Monument	Intermountain 	CO	1981	8	10,691
Florissant Fossil Beds NM	FLFO	National Monument	Intermountain 	CO	1981	9	6,450
Florissant Fossil Beds NM	FLFO	National Monument	Intermountain 	CO	1981	10	2,654
Florissant Fossil Beds NM	FLFO	National Monument	Intermountain 	CO	1981	11	1,197
Florissant Fossil Beds NM	FLFO	National Monument	Intermountain 	CO	1981	12	523
Florissant Fossil Beds NM	FLFO	National Monument	Intermountain 	CO	1982	1	475
Florissant Fossil Beds NM	FLFO	National Monument	Intermountain 	CO	1982	2	904
Florissant Fossil Beds NM	FLFO	National Monument	Intermountain 	CO	1982	3	1,534
Florissant Fossil Beds NM	FLFO	National Monument	Intermountain 	CO	1982	4	2,294
Florissant Fossil Beds NM	FLFO	National Monument	Intermountain 	CO	1982	5	4,846
Florissant Fossil Beds NM	FLFO	National Monument	Intermountain 	CO	1982	6	7,527
Florissant Fossil Beds NM	FLFO	National Monument	Intermountain 	CO	1982	7	10,650
Florissant Fossil Beds NM	FLFO	National Monument	Intermountain 	CO	1982	8	11,469
Florissant Fossil Beds NM	FLFO	National Monument	Intermountain 	CO	1982	9	5,086
Florissant Fossil Beds NM	FLFO	National Monument	Intermountain 	CO	1982	10	3,309
Florissant Fossil Beds NM	FLFO	National Monument	Intermountain 	CO	1982	11	987
Florissant Fossil Beds NM	FLFO	National Monument	Intermountain 	CO	1982	12	496
Florissant Fossil Beds NM	FLFO	National Monument	Intermountain 	CO	1983	1	667
Florissant Fossil Beds NM	FLFO	National Monument	Intermountain 	CO	1983	2	1,120
Florissant Fossil Beds NM	FLFO	National Monument	Intermountain 	CO	1983	3	598
Florissant Fossil Beds NM	FLFO	National Monument	Intermountain 	CO	1983	4	1,251
