																					
Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1979	1	11,461																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1979	2	22,631																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1979	3	50,105																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1979	4	99,737																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1979	5	76,407																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1979	6	50,429																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1979	7	36,866																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1979	8	42,315																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1979	9	27,831																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1979	10	33,137																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1979	11	37,155																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1979	12	30,271																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1980	1	19,522																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1980	2	31,898																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1980	3	57,778																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1980	4	96,391																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1980	5	75,484																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1980	6	81,020																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1980	7	70,685																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1980	8	74,559																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1980	9	34,082																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1980	10	37,601																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1980	11	37,556																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1980	12	31,046																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1981	1	18,581																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1981	2	31,062																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1981	3	47,090																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1981	4	114,173																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1981	5	104,174																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1981	6	77,357																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1981	7	63,246																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1981	8	57,816																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1981	9	32,838																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1981	10	42,606																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1981	11	26,962																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1981	12	34,998																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1982	1	15,956																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1982	2	24,697																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1982	3	63,693																		
