Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1979	1	245
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1979	2	508
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1979	3	673
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1979	4	870
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1979	5	581
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1979	6	349
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1979	7	444
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1979	8	436
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1979	9	255
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1979	10	516
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1979	11	517
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1979	12	433
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1980	1	311
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1980	2	373
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1980	3	741
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1980	4	596
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1980	5	609
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1980	6	262
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1980	7	365
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1980	8	340
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1980	9	526
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1980	10	265
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1980	11	337
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1980	12	378
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1981	1	316
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1981	2	343
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1981	3	469
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1981	4	688
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1981	5	509
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1981	6	231
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1981	7	339
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1981	8	367
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1981	9	328
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1981	10	886
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1981	11	356
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1981	12	321
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1982	1	289
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1982	2	400
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1982	3	527
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1982	4	572
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1982	5	581
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1982	6	312
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1982	7	397
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1982	8	320
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1982	9	197
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1982	10	807
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1982	11	420
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1982	12	233
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1983	1	323
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1983	2	280
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1983	3	528
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1983	4	617
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1983	5	696
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1983	6	413
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1983	7	343
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1983	8	292
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1983	9	237
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1983	10	626
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1983	11	345
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1983	12	212
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1984	1	269
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1984	2	393
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1984	3	701
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1984	4	567
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1984	5	384
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1984	6	381
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1984	7	386
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1984	8	333
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1984	9	307
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1984	10	846
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1984	11	258
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1984	12	219
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1985	1	273
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1985	2	376
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1985	3	660
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1985	4	507
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1985	5	675
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1985	6	416
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1985	7	380
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1985	8	384
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1985	9	285
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1985	10	864
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1985	11	396
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1985	12	419
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1986	1	379
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1986	2	424
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1986	3	896
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1986	4	640
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1986	5	508
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1986	6	384
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1986	7	409
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1986	8	424
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1986	9	1,998
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1986	10	427
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1986	11	495
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1986	12	380
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1987	1	472
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1987	2	806
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1987	3	860
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1987	4	693
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1987	5	693
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1987	6	433
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1987	7	452
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1987	8	461
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1987	9	418
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1987	10	499
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1987	11	576
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1987	12	409
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1988	1	563
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1988	2	763
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1988	3	944
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1988	4	870
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1988	5	542
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1988	6	439
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1988	7	565
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1988	8	497
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1988	9	491
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1988	10	454
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1988	11	650
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1988	12	431
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1989	1	566
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1989	2	924
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1989	3	1,249
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1989	4	731
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1989	5	532
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1989	6	376
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1989	7	498
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1989	8	450
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1989	9	569
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1989	10	591
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1989	11	577
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1989	12	501
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1990	1	636
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1990	2	757
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1990	3	1,227
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1990	4	1,067
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1990	5	602
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1990	6	411
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1990	7	374
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1990	8	588
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1990	9	441
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1990	10	406
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1990	11	762
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1990	12	321
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1991	1	598
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1991	2	583
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1991	3	971
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1991	4	926
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1991	5	652
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1991	6	578
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1991	7	521
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1991	8	521
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1991	9	955
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1991	10	587
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1991	11	775
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1991	12	492
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1992	1	492
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1992	2	887
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1992	3	1,054
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1992	4	1,454
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1992	5	995
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1992	6	602
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1992	7	610
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1992	8	588
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1992	9	491
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1992	10	758
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1992	11	888
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1992	12	418
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1993	1	355
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1993	2	820
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1993	3	1,231
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1993	4	1,056
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1993	5	1,070
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1993	6	460
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1993	7	504
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1993	8	726
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1993	9	511
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1993	10	948
Fort Bowie NHS	FOBO	National Historic Site	Intermountain 	AZ	1993	11	819
