Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Fort Caroline NMEM	FOCA	National Memorial	Southeast 	FL	1979	1	13,141
Fort Caroline NMEM	FOCA	National Memorial	Southeast 	FL	1979	2	12,673
Fort Caroline NMEM	FOCA	National Memorial	Southeast 	FL	1979	3	20,356
Fort Caroline NMEM	FOCA	National Memorial	Southeast 	FL	1979	4	14,648
Fort Caroline NMEM	FOCA	National Memorial	Southeast 	FL	1979	5	15,309
Fort Caroline NMEM	FOCA	National Memorial	Southeast 	FL	1979	6	13,460
Fort Caroline NMEM	FOCA	National Memorial	Southeast 	FL	1979	7	19,799
Fort Caroline NMEM	FOCA	National Memorial	Southeast 	FL	1979	8	9,250
Fort Caroline NMEM	FOCA	National Memorial	Southeast 	FL	1979	9	8,125
Fort Caroline NMEM	FOCA	National Memorial	Southeast 	FL	1979	10	14,913
Fort Caroline NMEM	FOCA	National Memorial	Southeast 	FL	1979	11	15,745
Fort Caroline NMEM	FOCA	National Memorial	Southeast 	FL	1979	12	11,790
Fort Caroline NMEM	FOCA	National Memorial	Southeast 	FL	1980	1	13,316
Fort Caroline NMEM	FOCA	National Memorial	Southeast 	FL	1980	2	10,290
Fort Caroline NMEM	FOCA	National Memorial	Southeast 	FL	1980	3	11,341
Fort Caroline NMEM	FOCA	National Memorial	Southeast 	FL	1980	4	10,918
Fort Caroline NMEM	FOCA	National Memorial	Southeast 	FL	1980	5	9,102
Fort Caroline NMEM	FOCA	National Memorial	Southeast 	FL	1980	6	16,152
Fort Caroline NMEM	FOCA	National Memorial	Southeast 	FL	1980	7	11,860
Fort Caroline NMEM	FOCA	National Memorial	Southeast 	FL	1980	8	9,107
Fort Caroline NMEM	FOCA	National Memorial	Southeast 	FL	1980	9	7,903
Fort Caroline NMEM	FOCA	National Memorial	Southeast 	FL	1980	10	11,322
Fort Caroline NMEM	FOCA	National Memorial	Southeast 	FL	1980	11	11,905
Fort Caroline NMEM	FOCA	National Memorial	Southeast 	FL	1980	12	5,403
Fort Caroline NMEM	FOCA	National Memorial	Southeast 	FL	1981	1	9,502
Fort Caroline NMEM	FOCA	National Memorial	Southeast 	FL	1981	2	5,868
Fort Caroline NMEM	FOCA	National Memorial	Southeast 	FL	1981	3	9,923
Fort Caroline NMEM	FOCA	National Memorial	Southeast 	FL	1981	4	9,033
Fort Caroline NMEM	FOCA	National Memorial	Southeast 	FL	1981	5	7,345
Fort Caroline NMEM	FOCA	National Memorial	Southeast 	FL	1981	6	10,646
Fort Caroline NMEM	FOCA	National Memorial	Southeast 	FL	1981	7	9,182
Fort Caroline NMEM	FOCA	National Memorial	Southeast 	FL	1981	8	8,946
Fort Caroline NMEM	FOCA	National Memorial	Southeast 	FL	1981	9	9,102
Fort Caroline NMEM	FOCA	National Memorial	Southeast 	FL	1981	10	11,221
Fort Caroline NMEM	FOCA	National Memorial	Southeast 	FL	1981	11	12,083
Fort Caroline NMEM	FOCA	National Memorial	Southeast 	FL	1981	12	7,993
Fort Caroline NMEM	FOCA	National Memorial	Southeast 	FL	1982	1	11,809
Fort Caroline NMEM	FOCA	National Memorial	Southeast 	FL	1982	2	14,134
Fort Caroline NMEM	FOCA	National Memorial	Southeast 	FL	1982	3	17,180
Fort Caroline NMEM	FOCA	National Memorial	Southeast 	FL	1982	4	10,600
Fort Caroline NMEM	FOCA	National Memorial	Southeast 	FL	1982	5	12,538
Fort Caroline NMEM	FOCA	National Memorial	Southeast 	FL	1982	6	11,150
Fort Caroline NMEM	FOCA	National Memorial	Southeast 	FL	1982	7	11,499
Fort Caroline NMEM	FOCA	National Memorial	Southeast 	FL	1982	8	12,975
Fort Caroline NMEM	FOCA	National Memorial	Southeast 	FL	1982	9	11,603
Fort Caroline NMEM	FOCA	National Memorial	Southeast 	FL	1982	10	14,432
Fort Caroline NMEM	FOCA	National Memorial	Southeast 	FL	1982	11	12,404
Fort Caroline NMEM	FOCA	National Memorial	Southeast 	FL	1982	12	11,283
Fort Caroline NMEM	FOCA	National Memorial	Southeast 	FL	1983	1	10,180
Fort Caroline NMEM	FOCA	National Memorial	Southeast 	FL	1983	2	11,107
Fort Caroline NMEM	FOCA	National Memorial	Southeast 	FL	1983	3	17,249
Fort Caroline NMEM	FOCA	National Memorial	Southeast 	FL	1983	4	14,909
Fort Caroline NMEM	FOCA	National Memorial	Southeast 	FL	1983	5	11,427
Fort Caroline NMEM	FOCA	National Memorial	Southeast 	FL	1983	6	9,555
Fort Caroline NMEM	FOCA	National Memorial	Southeast 	FL	1983	7	11,417
Fort Caroline NMEM	FOCA	National Memorial	Southeast 	FL	1983	8	10,204
Fort Caroline NMEM	FOCA	National Memorial	Southeast 	FL	1983	9	10,172
Fort Caroline NMEM	FOCA	National Memorial	Southeast 	FL	1983	10	12,708
Fort Caroline NMEM	FOCA	National Memorial	Southeast 	FL	1983	11	13,397
Fort Caroline NMEM	FOCA	National Memorial	Southeast 	FL	1983	12	8,136
Fort Caroline NMEM	FOCA	National Memorial	Southeast 	FL	1984	1	11,049
Fort Caroline NMEM	FOCA	National Memorial	Southeast 	FL	1984	2	13,891
Fort Caroline NMEM	FOCA	National Memorial	Southeast 	FL	1984	3	15,422
Fort Caroline NMEM	FOCA	National Memorial	Southeast 	FL	1984	4	12,150
Fort Caroline NMEM	FOCA	National Memorial	Southeast 	FL	1984	5	9,815
Fort Caroline NMEM	FOCA	National Memorial	Southeast 	FL	1984	6	9,982
Fort Caroline NMEM	FOCA	National Memorial	Southeast 	FL	1984	7	11,641
Fort Caroline NMEM	FOCA	National Memorial	Southeast 	FL	1984	8	9,369
Fort Caroline NMEM	FOCA	National Memorial	Southeast 	FL	1984	9	11,318
Fort Caroline NMEM	FOCA	National Memorial	Southeast 	FL	1984	10	13,819
Fort Caroline NMEM	FOCA	National Memorial	Southeast 	FL	1984	11	14,092
Fort Caroline NMEM	FOCA	National Memorial	Southeast 	FL	1984	12	12,589
Fort Caroline NMEM	FOCA	National Memorial	Southeast 	FL	1985	1	16,133
Fort Caroline NMEM	FOCA	National Memorial	Southeast 	FL	1985	2	14,717
Fort Caroline NMEM	FOCA	National Memorial	Southeast 	FL	1985	3	15,986
Fort Caroline NMEM	FOCA	National Memorial	Southeast 	FL	1985	4	14,778
Fort Caroline NMEM	FOCA	National Memorial	Southeast 	FL	1985	5	13,701
Fort Caroline NMEM	FOCA	National Memorial	Southeast 	FL	1985	6	12,010
Fort Caroline NMEM	FOCA	National Memorial	Southeast 	FL	1985	7	13,081
Fort Caroline NMEM	FOCA	National Memorial	Southeast 	FL	1985	8	10,656
Fort Caroline NMEM	FOCA	National Memorial	Southeast 	FL	1985	9	12,116
Fort Caroline NMEM	FOCA	National Memorial	Southeast 	FL	1985	10	14,085
Fort Caroline NMEM	FOCA	National Memorial	Southeast 	FL	1985	11	16,205
Fort Caroline NMEM	FOCA	National Memorial	Southeast 	FL	1985	12	10,677
Fort Caroline NMEM	FOCA	National Memorial	Southeast 	FL	1986	1	12,365
Fort Caroline NMEM	FOCA	National Memorial	Southeast 	FL	1986	2	12,878
Fort Caroline NMEM	FOCA	National Memorial	Southeast 	FL	1986	3	15,169
Fort Caroline NMEM	FOCA	National Memorial	Southeast 	FL	1986	4	12,053
Fort Caroline NMEM	FOCA	National Memorial	Southeast 	FL	1986	5	11,932
Fort Caroline NMEM	FOCA	National Memorial	Southeast 	FL	1986	6	12,456
Fort Caroline NMEM	FOCA	National Memorial	Southeast 	FL	1986	7	11,619
Fort Caroline NMEM	FOCA	National Memorial	Southeast 	FL	1986	8	9,577
Fort Caroline NMEM	FOCA	National Memorial	Southeast 	FL	1986	9	7,895
Fort Caroline NMEM	FOCA	National Memorial	Southeast 	FL	1986	10	8,372
Fort Caroline NMEM	FOCA	National Memorial	Southeast 	FL	1986	11	11,445
Fort Caroline NMEM	FOCA	National Memorial	Southeast 	FL	1986	12	10,122
Fort Caroline NMEM	FOCA	National Memorial	Southeast 	FL	1987	1	6,778
Fort Caroline NMEM	FOCA	National Memorial	Southeast 	FL	1987	2	7,620
Fort Caroline NMEM	FOCA	National Memorial	Southeast 	FL	1987	3	7,468
Fort Caroline NMEM	FOCA	National Memorial	Southeast 	FL	1987	4	7,435
Fort Caroline NMEM	FOCA	National Memorial	Southeast 	FL	1987	5	6,175
Fort Caroline NMEM	FOCA	National Memorial	Southeast 	FL	1987	6	5,176
Fort Caroline NMEM	FOCA	National Memorial	Southeast 	FL	1987	7	8,076
