Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Fort Davis NHS	FODA	National Historic Site	Intermountain 	TX	1979	1	1,686
Fort Davis NHS	FODA	National Historic Site	Intermountain 	TX	1979	2	2,572
Fort Davis NHS	FODA	National Historic Site	Intermountain 	TX	1979	3	6,318
Fort Davis NHS	FODA	National Historic Site	Intermountain 	TX	1979	4	8,414
Fort Davis NHS	FODA	National Historic Site	Intermountain 	TX	1979	5	6,907
Fort Davis NHS	FODA	National Historic Site	Intermountain 	TX	1979	6	8,307
Fort Davis NHS	FODA	National Historic Site	Intermountain 	TX	1979	7	10,637
Fort Davis NHS	FODA	National Historic Site	Intermountain 	TX	1979	8	9,517
Fort Davis NHS	FODA	National Historic Site	Intermountain 	TX	1979	9	5,430
Fort Davis NHS	FODA	National Historic Site	Intermountain 	TX	1979	10	6,304
Fort Davis NHS	FODA	National Historic Site	Intermountain 	TX	1979	11	4,075
Fort Davis NHS	FODA	National Historic Site	Intermountain 	TX	1979	12	2,298
Fort Davis NHS	FODA	National Historic Site	Intermountain 	TX	1980	1	1,877
Fort Davis NHS	FODA	National Historic Site	Intermountain 	TX	1980	2	2,279
Fort Davis NHS	FODA	National Historic Site	Intermountain 	TX	1980	3	5,800
Fort Davis NHS	FODA	National Historic Site	Intermountain 	TX	1980	4	7,270
Fort Davis NHS	FODA	National Historic Site	Intermountain 	TX	1980	5	6,596
Fort Davis NHS	FODA	National Historic Site	Intermountain 	TX	1980	6	8,390
Fort Davis NHS	FODA	National Historic Site	Intermountain 	TX	1980	7	9,984
Fort Davis NHS	FODA	National Historic Site	Intermountain 	TX	1980	8	7,473
Fort Davis NHS	FODA	National Historic Site	Intermountain 	TX	1980	9	3,295
Fort Davis NHS	FODA	National Historic Site	Intermountain 	TX	1980	10	4,700
Fort Davis NHS	FODA	National Historic Site	Intermountain 	TX	1980	11	3,335
Fort Davis NHS	FODA	National Historic Site	Intermountain 	TX	1980	12	2,466
Fort Davis NHS	FODA	National Historic Site	Intermountain 	TX	1981	1	2,305
Fort Davis NHS	FODA	National Historic Site	Intermountain 	TX	1981	2	2,981
Fort Davis NHS	FODA	National Historic Site	Intermountain 	TX	1981	3	5,830
Fort Davis NHS	FODA	National Historic Site	Intermountain 	TX	1981	4	6,795
Fort Davis NHS	FODA	National Historic Site	Intermountain 	TX	1981	5	7,502
Fort Davis NHS	FODA	National Historic Site	Intermountain 	TX	1981	6	8,407
Fort Davis NHS	FODA	National Historic Site	Intermountain 	TX	1981	7	10,444
Fort Davis NHS	FODA	National Historic Site	Intermountain 	TX	1981	8	8,519
Fort Davis NHS	FODA	National Historic Site	Intermountain 	TX	1981	9	5,566
Fort Davis NHS	FODA	National Historic Site	Intermountain 	TX	1981	10	5,575
Fort Davis NHS	FODA	National Historic Site	Intermountain 	TX	1981	11	4,520
Fort Davis NHS	FODA	National Historic Site	Intermountain 	TX	1981	12	2,735
Fort Davis NHS	FODA	National Historic Site	Intermountain 	TX	1982	1	2,234
Fort Davis NHS	FODA	National Historic Site	Intermountain 	TX	1982	2	3,069
Fort Davis NHS	FODA	National Historic Site	Intermountain 	TX	1982	3	7,460
Fort Davis NHS	FODA	National Historic Site	Intermountain 	TX	1982	4	8,196
Fort Davis NHS	FODA	National Historic Site	Intermountain 	TX	1982	5	8,371
Fort Davis NHS	FODA	National Historic Site	Intermountain 	TX	1982	6	8,914
Fort Davis NHS	FODA	National Historic Site	Intermountain 	TX	1982	7	10,813
Fort Davis NHS	FODA	National Historic Site	Intermountain 	TX	1982	8	7,910
Fort Davis NHS	FODA	National Historic Site	Intermountain 	TX	1982	9	5,774
Fort Davis NHS	FODA	National Historic Site	Intermountain 	TX	1982	10	5,361
Fort Davis NHS	FODA	National Historic Site	Intermountain 	TX	1982	11	4,678
Fort Davis NHS	FODA	National Historic Site	Intermountain 	TX	1982	12	2,208
Fort Davis NHS	FODA	National Historic Site	Intermountain 	TX	1983	1	2,059
Fort Davis NHS	FODA	National Historic Site	Intermountain 	TX	1983	2	3,048
Fort Davis NHS	FODA	National Historic Site	Intermountain 	TX	1983	3	7,855
Fort Davis NHS	FODA	National Historic Site	Intermountain 	TX	1983	4	7,590
Fort Davis NHS	FODA	National Historic Site	Intermountain 	TX	1983	5	8,530
Fort Davis NHS	FODA	National Historic Site	Intermountain 	TX	1983	6	8,730
Fort Davis NHS	FODA	National Historic Site	Intermountain 	TX	1983	7	10,830
Fort Davis NHS	FODA	National Historic Site	Intermountain 	TX	1983	8	6,877
Fort Davis NHS	FODA	National Historic Site	Intermountain 	TX	1983	9	4,748
Fort Davis NHS	FODA	National Historic Site	Intermountain 	TX	1983	10	5,080
Fort Davis NHS	FODA	National Historic Site	Intermountain 	TX	1983	11	4,088
Fort Davis NHS	FODA	National Historic Site	Intermountain 	TX	1983	12	1,899
Fort Davis NHS	FODA	National Historic Site	Intermountain 	TX	1984	1	1,743
Fort Davis NHS	FODA	National Historic Site	Intermountain 	TX	1984	2	2,919
Fort Davis NHS	FODA	National Historic Site	Intermountain 	TX	1984	3	8,188
Fort Davis NHS	FODA	National Historic Site	Intermountain 	TX	1984	4	7,541
Fort Davis NHS	FODA	National Historic Site	Intermountain 	TX	1984	5	7,450
Fort Davis NHS	FODA	National Historic Site	Intermountain 	TX	1984	6	8,225
Fort Davis NHS	FODA	National Historic Site	Intermountain 	TX	1984	7	8,853
Fort Davis NHS	FODA	National Historic Site	Intermountain 	TX	1984	8	6,652
Fort Davis NHS	FODA	National Historic Site	Intermountain 	TX	1984	9	6,560
Fort Davis NHS	FODA	National Historic Site	Intermountain 	TX	1984	10	4,620
Fort Davis NHS	FODA	National Historic Site	Intermountain 	TX	1984	11	3,778
Fort Davis NHS	FODA	National Historic Site	Intermountain 	TX	1984	12	2,475
Fort Davis NHS	FODA	National Historic Site	Intermountain 	TX	1985	1	1,599
Fort Davis NHS	FODA	National Historic Site	Intermountain 	TX	1985	2	2,483
Fort Davis NHS	FODA	National Historic Site	Intermountain 	TX	1985	3	8,271
Fort Davis NHS	FODA	National Historic Site	Intermountain 	TX	1985	4	6,931
Fort Davis NHS	FODA	National Historic Site	Intermountain 	TX	1985	5	6,703
Fort Davis NHS	FODA	National Historic Site	Intermountain 	TX	1985	6	8,060
Fort Davis NHS	FODA	National Historic Site	Intermountain 	TX	1985	7	8,026
Fort Davis NHS	FODA	National Historic Site	Intermountain 	TX	1985	8	11,570
Fort Davis NHS	FODA	National Historic Site	Intermountain 	TX	1985	9	3,230
Fort Davis NHS	FODA	National Historic Site	Intermountain 	TX	1985	10	5,281
Fort Davis NHS	FODA	National Historic Site	Intermountain 	TX	1985	11	3,909
Fort Davis NHS	FODA	National Historic Site	Intermountain 	TX	1985	12	2,347
Fort Davis NHS	FODA	National Historic Site	Intermountain 	TX	1986	1	2,419
Fort Davis NHS	FODA	National Historic Site	Intermountain 	TX	1986	2	2,252
Fort Davis NHS	FODA	National Historic Site	Intermountain 	TX	1986	3	9,980
Fort Davis NHS	FODA	National Historic Site	Intermountain 	TX	1986	4	8,675
Fort Davis NHS	FODA	National Historic Site	Intermountain 	TX	1986	5	5,660
Fort Davis NHS	FODA	National Historic Site	Intermountain 	TX	1986	6	6,661
Fort Davis NHS	FODA	National Historic Site	Intermountain 	TX	1986	7	7,565
Fort Davis NHS	FODA	National Historic Site	Intermountain 	TX	1986	8	8,625
Fort Davis NHS	FODA	National Historic Site	Intermountain 	TX	1986	9	2,922
Fort Davis NHS	FODA	National Historic Site	Intermountain 	TX	1986	10	3,971
Fort Davis NHS	FODA	National Historic Site	Intermountain 	TX	1986	11	3,229
Fort Davis NHS	FODA	National Historic Site	Intermountain 	TX	1986	12	1,959
Fort Davis NHS	FODA	National Historic Site	Intermountain 	TX	1987	1	1,596
Fort Davis NHS	FODA	National Historic Site	Intermountain 	TX	1987	2	2,246
Fort Davis NHS	FODA	National Historic Site	Intermountain 	TX	1987	3	7,271
Fort Davis NHS	FODA	National Historic Site	Intermountain 	TX	1987	4	6,347
Fort Davis NHS	FODA	National Historic Site	Intermountain 	TX	1987	5	5,119
Fort Davis NHS	FODA	National Historic Site	Intermountain 	TX	1987	6	5,770
Fort Davis NHS	FODA	National Historic Site	Intermountain 	TX	1987	7	6,142
Fort Davis NHS	FODA	National Historic Site	Intermountain 	TX	1987	8	5,249
Fort Davis NHS	FODA	National Historic Site	Intermountain 	TX	1987	9	4,280
Fort Davis NHS	FODA	National Historic Site	Intermountain 	TX	1987	10	3,701
Fort Davis NHS	FODA	National Historic Site	Intermountain 	TX	1987	11	2,944
Fort Davis NHS	FODA	National Historic Site	Intermountain 	TX	1987	12	1,572
Fort Davis NHS	FODA	National Historic Site	Intermountain 	TX	1988	1	1,487
Fort Davis NHS	FODA	National Historic Site	Intermountain 	TX	1988	2	3,325
Fort Davis NHS	FODA	National Historic Site	Intermountain 	TX	1988	3	8,247
Fort Davis NHS	FODA	National Historic Site	Intermountain 	TX	1988	4	6,861
Fort Davis NHS	FODA	National Historic Site	Intermountain 	TX	1988	5	5,659
Fort Davis NHS	FODA	National Historic Site	Intermountain 	TX	1988	6	5,148
Fort Davis NHS	FODA	National Historic Site	Intermountain 	TX	1988	7	6,053
Fort Davis NHS	FODA	National Historic Site	Intermountain 	TX	1988	8	4,835
Fort Davis NHS	FODA	National Historic Site	Intermountain 	TX	1988	9	3,646
Fort Davis NHS	FODA	National Historic Site	Intermountain 	TX	1988	10	4,112
Fort Davis NHS	FODA	National Historic Site	Intermountain 	TX	1988	11	3,322
Fort Davis NHS	FODA	National Historic Site	Intermountain 	TX	1988	12	2,008
Fort Davis NHS	FODA	National Historic Site	Intermountain 	TX	1989	1	1,727
Fort Davis NHS	FODA	National Historic Site	Intermountain 	TX	1989	2	2,369
Fort Davis NHS	FODA	National Historic Site	Intermountain 	TX	1989	3	7,699
Fort Davis NHS	FODA	National Historic Site	Intermountain 	TX	1989	4	5,289
Fort Davis NHS	FODA	National Historic Site	Intermountain 	TX	1989	5	5,279
Fort Davis NHS	FODA	National Historic Site	Intermountain 	TX	1989	6	5,494
Fort Davis NHS	FODA	National Historic Site	Intermountain 	TX	1989	7	6,709
Fort Davis NHS	FODA	National Historic Site	Intermountain 	TX	1989	8	5,195
Fort Davis NHS	FODA	National Historic Site	Intermountain 	TX	1989	9	6,114
Fort Davis NHS	FODA	National Historic Site	Intermountain 	TX	1989	10	3,926
Fort Davis NHS	FODA	National Historic Site	Intermountain 	TX	1989	11	3,461
Fort Davis NHS	FODA	National Historic Site	Intermountain 	TX	1989	12	1,764
Fort Davis NHS	FODA	National Historic Site	Intermountain 	TX	1990	1	1,517
Fort Davis NHS	FODA	National Historic Site	Intermountain 	TX	1990	2	2,778
Fort Davis NHS	FODA	National Historic Site	Intermountain 	TX	1990	3	8,253
Fort Davis NHS	FODA	National Historic Site	Intermountain 	TX	1990	4	6,344
