Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Fort Donelson NB	FODO	National Battlefield	Southeast 	TN	1979	1	9,822
Fort Donelson NB	FODO	National Battlefield	Southeast 	TN	1979	2	13,114
Fort Donelson NB	FODO	National Battlefield	Southeast 	TN	1979	3	24,271
Fort Donelson NB	FODO	National Battlefield	Southeast 	TN	1979	4	50,435
Fort Donelson NB	FODO	National Battlefield	Southeast 	TN	1979	5	30,686
Fort Donelson NB	FODO	National Battlefield	Southeast 	TN	1979	6	22,881
Fort Donelson NB	FODO	National Battlefield	Southeast 	TN	1979	7	39,819
Fort Donelson NB	FODO	National Battlefield	Southeast 	TN	1979	8	43,448
Fort Donelson NB	FODO	National Battlefield	Southeast 	TN	1979	9	25,858
Fort Donelson NB	FODO	National Battlefield	Southeast 	TN	1979	10	23,486
Fort Donelson NB	FODO	National Battlefield	Southeast 	TN	1979	11	16,916
Fort Donelson NB	FODO	National Battlefield	Southeast 	TN	1979	12	16,679
Fort Donelson NB	FODO	National Battlefield	Southeast 	TN	1980	1	16,123
Fort Donelson NB	FODO	National Battlefield	Southeast 	TN	1980	2	13,912
Fort Donelson NB	FODO	National Battlefield	Southeast 	TN	1980	3	17,941
Fort Donelson NB	FODO	National Battlefield	Southeast 	TN	1980	4	24,479
Fort Donelson NB	FODO	National Battlefield	Southeast 	TN	1980	5	31,026
Fort Donelson NB	FODO	National Battlefield	Southeast 	TN	1980	6	39,093
Fort Donelson NB	FODO	National Battlefield	Southeast 	TN	1980	7	45,735
Fort Donelson NB	FODO	National Battlefield	Southeast 	TN	1980	8	41,967
Fort Donelson NB	FODO	National Battlefield	Southeast 	TN	1980	9	31,526
Fort Donelson NB	FODO	National Battlefield	Southeast 	TN	1980	10	31,878
Fort Donelson NB	FODO	National Battlefield	Southeast 	TN	1980	11	19,988
Fort Donelson NB	FODO	National Battlefield	Southeast 	TN	1980	12	30,296
Fort Donelson NB	FODO	National Battlefield	Southeast 	TN	1981	1	24,273
Fort Donelson NB	FODO	National Battlefield	Southeast 	TN	1981	2	25,340
Fort Donelson NB	FODO	National Battlefield	Southeast 	TN	1981	3	28,672
Fort Donelson NB	FODO	National Battlefield	Southeast 	TN	1981	4	34,053
Fort Donelson NB	FODO	National Battlefield	Southeast 	TN	1981	5	35,988
Fort Donelson NB	FODO	National Battlefield	Southeast 	TN	1981	6	36,004
Fort Donelson NB	FODO	National Battlefield	Southeast 	TN	1981	7	19,629
Fort Donelson NB	FODO	National Battlefield	Southeast 	TN	1981	8	32,682
Fort Donelson NB	FODO	National Battlefield	Southeast 	TN	1981	9	49,089
Fort Donelson NB	FODO	National Battlefield	Southeast 	TN	1981	10	19,766
Fort Donelson NB	FODO	National Battlefield	Southeast 	TN	1981	11	17,402
Fort Donelson NB	FODO	National Battlefield	Southeast 	TN	1981	12	13,640
Fort Donelson NB	FODO	National Battlefield	Southeast 	TN	1982	1	10,590
Fort Donelson NB	FODO	National Battlefield	Southeast 	TN	1982	2	11,820
Fort Donelson NB	FODO	National Battlefield	Southeast 	TN	1982	3	17,295
Fort Donelson NB	FODO	National Battlefield	Southeast 	TN	1982	4	18,312
Fort Donelson NB	FODO	National Battlefield	Southeast 	TN	1982	5	27,423
Fort Donelson NB	FODO	National Battlefield	Southeast 	TN	1982	6	27,350
Fort Donelson NB	FODO	National Battlefield	Southeast 	TN	1982	7	28,461
Fort Donelson NB	FODO	National Battlefield	Southeast 	TN	1982	8	25,576
Fort Donelson NB	FODO	National Battlefield	Southeast 	TN	1982	9	19,446
Fort Donelson NB	FODO	National Battlefield	Southeast 	TN	1982	10	19,244
Fort Donelson NB	FODO	National Battlefield	Southeast 	TN	1982	11	13,566
Fort Donelson NB	FODO	National Battlefield	Southeast 	TN	1982	12	14,548
Fort Donelson NB	FODO	National Battlefield	Southeast 	TN	1983	1	16,098
Fort Donelson NB	FODO	National Battlefield	Southeast 	TN	1983	2	18,103
Fort Donelson NB	FODO	National Battlefield	Southeast 	TN	1983	3	21,536
Fort Donelson NB	FODO	National Battlefield	Southeast 	TN	1983	4	23,323
Fort Donelson NB	FODO	National Battlefield	Southeast 	TN	1983	5	32,970
Fort Donelson NB	FODO	National Battlefield	Southeast 	TN	1983	6	31,005
Fort Donelson NB	FODO	National Battlefield	Southeast 	TN	1983	7	38,636
Fort Donelson NB	FODO	National Battlefield	Southeast 	TN	1983	8	28,590
Fort Donelson NB	FODO	National Battlefield	Southeast 	TN	1983	9	24,594
Fort Donelson NB	FODO	National Battlefield	Southeast 	TN	1983	10	18,576
Fort Donelson NB	FODO	National Battlefield	Southeast 	TN	1983	11	15,480
Fort Donelson NB	FODO	National Battlefield	Southeast 	TN	1983	12	11,733
Fort Donelson NB	FODO	National Battlefield	Southeast 	TN	1984	1	10,948
Fort Donelson NB	FODO	National Battlefield	Southeast 	TN	1984	2	15,303
Fort Donelson NB	FODO	National Battlefield	Southeast 	TN	1984	3	18,964
Fort Donelson NB	FODO	National Battlefield	Southeast 	TN	1984	4	20,872
Fort Donelson NB	FODO	National Battlefield	Southeast 	TN	1984	5	27,192
Fort Donelson NB	FODO	National Battlefield	Southeast 	TN	1984	6	30,018
Fort Donelson NB	FODO	National Battlefield	Southeast 	TN	1984	7	36,712
Fort Donelson NB	FODO	National Battlefield	Southeast 	TN	1984	8	28,358
Fort Donelson NB	FODO	National Battlefield	Southeast 	TN	1984	9	27,021
Fort Donelson NB	FODO	National Battlefield	Southeast 	TN	1984	10	18,909
Fort Donelson NB	FODO	National Battlefield	Southeast 	TN	1984	11	14,523
Fort Donelson NB	FODO	National Battlefield	Southeast 	TN	1984	12	13,140
Fort Donelson NB	FODO	National Battlefield	Southeast 	TN	1985	1	12,543
Fort Donelson NB	FODO	National Battlefield	Southeast 	TN	1985	2	16,703
Fort Donelson NB	FODO	National Battlefield	Southeast 	TN	1985	3	24,139
Fort Donelson NB	FODO	National Battlefield	Southeast 	TN	1985	4	25,972
Fort Donelson NB	FODO	National Battlefield	Southeast 	TN	1985	5	34,911
Fort Donelson NB	FODO	National Battlefield	Southeast 	TN	1985	6	30,747
Fort Donelson NB	FODO	National Battlefield	Southeast 	TN	1985	7	36,245
Fort Donelson NB	FODO	National Battlefield	Southeast 	TN	1985	8	35,421
Fort Donelson NB	FODO	National Battlefield	Southeast 	TN	1985	9	24,266
Fort Donelson NB	FODO	National Battlefield	Southeast 	TN	1985	10	24,942
Fort Donelson NB	FODO	National Battlefield	Southeast 	TN	1985	11	21,112
Fort Donelson NB	FODO	National Battlefield	Southeast 	TN	1985	12	13,403
Fort Donelson NB	FODO	National Battlefield	Southeast 	TN	1986	1	19,414
Fort Donelson NB	FODO	National Battlefield	Southeast 	TN	1986	2	13,240
Fort Donelson NB	FODO	National Battlefield	Southeast 	TN	1986	3	26,798
Fort Donelson NB	FODO	National Battlefield	Southeast 	TN	1986	4	25,468
Fort Donelson NB	FODO	National Battlefield	Southeast 	TN	1986	5	28,263
Fort Donelson NB	FODO	National Battlefield	Southeast 	TN	1986	6	33,215
Fort Donelson NB	FODO	National Battlefield	Southeast 	TN	1986	7	34,076
Fort Donelson NB	FODO	National Battlefield	Southeast 	TN	1986	8	40,823
Fort Donelson NB	FODO	National Battlefield	Southeast 	TN	1986	9	30,284
Fort Donelson NB	FODO	National Battlefield	Southeast 	TN	1986	10	31,413
Fort Donelson NB	FODO	National Battlefield	Southeast 	TN	1986	11	25,585
Fort Donelson NB	FODO	National Battlefield	Southeast 	TN	1986	12	19,363
Fort Donelson NB	FODO	National Battlefield	Southeast 	TN	1987	1	24,728
Fort Donelson NB	FODO	National Battlefield	Southeast 	TN	1987	2	37,820
