Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Fort Frederica NM	FOFR	National Monument	Southeast 	GA	1979	1	20,324
Fort Frederica NM	FOFR	National Monument	Southeast 	GA	1979	2	21,109
Fort Frederica NM	FOFR	National Monument	Southeast 	GA	1979	3	40,252
Fort Frederica NM	FOFR	National Monument	Southeast 	GA	1979	4	40,359
Fort Frederica NM	FOFR	National Monument	Southeast 	GA	1979	5	32,196
Fort Frederica NM	FOFR	National Monument	Southeast 	GA	1979	6	33,158
Fort Frederica NM	FOFR	National Monument	Southeast 	GA	1979	7	45,036
Fort Frederica NM	FOFR	National Monument	Southeast 	GA	1979	8	50,048
Fort Frederica NM	FOFR	National Monument	Southeast 	GA	1979	9	27,691
Fort Frederica NM	FOFR	National Monument	Southeast 	GA	1979	10	34,276
Fort Frederica NM	FOFR	National Monument	Southeast 	GA	1979	11	31,342
Fort Frederica NM	FOFR	National Monument	Southeast 	GA	1979	12	16,614
Fort Frederica NM	FOFR	National Monument	Southeast 	GA	1980	1	15,257
Fort Frederica NM	FOFR	National Monument	Southeast 	GA	1980	2	19,654
Fort Frederica NM	FOFR	National Monument	Southeast 	GA	1980	3	31,738
Fort Frederica NM	FOFR	National Monument	Southeast 	GA	1980	4	35,151
Fort Frederica NM	FOFR	National Monument	Southeast 	GA	1980	5	32,196
Fort Frederica NM	FOFR	National Monument	Southeast 	GA	1980	6	31,182
Fort Frederica NM	FOFR	National Monument	Southeast 	GA	1980	7	38,426
Fort Frederica NM	FOFR	National Monument	Southeast 	GA	1980	8	29,733
Fort Frederica NM	FOFR	National Monument	Southeast 	GA	1980	9	19,160
Fort Frederica NM	FOFR	National Monument	Southeast 	GA	1980	10	20,022
Fort Frederica NM	FOFR	National Monument	Southeast 	GA	1980	11	15,615
Fort Frederica NM	FOFR	National Monument	Southeast 	GA	1980	12	10,584
Fort Frederica NM	FOFR	National Monument	Southeast 	GA	1981	1	11,773
Fort Frederica NM	FOFR	National Monument	Southeast 	GA	1981	2	14,026
Fort Frederica NM	FOFR	National Monument	Southeast 	GA	1981	3	24,865
Fort Frederica NM	FOFR	National Monument	Southeast 	GA	1981	4	27,248
Fort Frederica NM	FOFR	National Monument	Southeast 	GA	1981	5	24,234
Fort Frederica NM	FOFR	National Monument	Southeast 	GA	1981	6	24,170
Fort Frederica NM	FOFR	National Monument	Southeast 	GA	1981	7	23,811
Fort Frederica NM	FOFR	National Monument	Southeast 	GA	1981	8	27,159
Fort Frederica NM	FOFR	National Monument	Southeast 	GA	1981	9	17,817
Fort Frederica NM	FOFR	National Monument	Southeast 	GA	1981	10	22,558
Fort Frederica NM	FOFR	National Monument	Southeast 	GA	1981	11	16,339
Fort Frederica NM	FOFR	National Monument	Southeast 	GA	1981	12	13,469
Fort Frederica NM	FOFR	National Monument	Southeast 	GA	1982	1	10,278
Fort Frederica NM	FOFR	National Monument	Southeast 	GA	1982	2	13,913
Fort Frederica NM	FOFR	National Monument	Southeast 	GA	1982	3	24,000
Fort Frederica NM	FOFR	National Monument	Southeast 	GA	1982	4	24,190
Fort Frederica NM	FOFR	National Monument	Southeast 	GA	1982	5	22,344
Fort Frederica NM	FOFR	National Monument	Southeast 	GA	1982	6	23,823
Fort Frederica NM	FOFR	National Monument	Southeast 	GA	1982	7	26,788
Fort Frederica NM	FOFR	National Monument	Southeast 	GA	1982	8	24,820
Fort Frederica NM	FOFR	National Monument	Southeast 	GA	1982	9	18,040
Fort Frederica NM	FOFR	National Monument	Southeast 	GA	1982	10	19,924
Fort Frederica NM	FOFR	National Monument	Southeast 	GA	1982	11	15,730
Fort Frederica NM	FOFR	National Monument	Southeast 	GA	1982	12	9,860
Fort Frederica NM	FOFR	National Monument	Southeast 	GA	1983	1	10,861
Fort Frederica NM	FOFR	National Monument	Southeast 	GA	1983	2	14,713
Fort Frederica NM	FOFR	National Monument	Southeast 	GA	1983	3	26,311
Fort Frederica NM	FOFR	National Monument	Southeast 	GA	1983	4	26,692
Fort Frederica NM	FOFR	National Monument	Southeast 	GA	1983	5	23,848
Fort Frederica NM	FOFR	National Monument	Southeast 	GA	1983	6	26,635
Fort Frederica NM	FOFR	National Monument	Southeast 	GA	1983	7	27,642
Fort Frederica NM	FOFR	National Monument	Southeast 	GA	1983	8	26,580
Fort Frederica NM	FOFR	National Monument	Southeast 	GA	1983	9	19,321
Fort Frederica NM	FOFR	National Monument	Southeast 	GA	1983	10	21,798
Fort Frederica NM	FOFR	National Monument	Southeast 	GA	1983	11	18,309
Fort Frederica NM	FOFR	National Monument	Southeast 	GA	1983	12	12,029
Fort Frederica NM	FOFR	National Monument	Southeast 	GA	1984	1	11,689
Fort Frederica NM	FOFR	National Monument	Southeast 	GA	1984	2	16,891
Fort Frederica NM	FOFR	National Monument	Southeast 	GA	1984	3	26,384
Fort Frederica NM	FOFR	National Monument	Southeast 	GA	1984	4	28,525
Fort Frederica NM	FOFR	National Monument	Southeast 	GA	1984	5	25,282
Fort Frederica NM	FOFR	National Monument	Southeast 	GA	1984	6	24,875
Fort Frederica NM	FOFR	National Monument	Southeast 	GA	1984	7	28,767
Fort Frederica NM	FOFR	National Monument	Southeast 	GA	1984	8	24,968
Fort Frederica NM	FOFR	National Monument	Southeast 	GA	1984	9	17,839
Fort Frederica NM	FOFR	National Monument	Southeast 	GA	1984	10	18,132
Fort Frederica NM	FOFR	National Monument	Southeast 	GA	1984	11	16,094
Fort Frederica NM	FOFR	National Monument	Southeast 	GA	1984	12	12,713
Fort Frederica NM	FOFR	National Monument	Southeast 	GA	1985	1	10,271
Fort Frederica NM	FOFR	National Monument	Southeast 	GA	1985	2	13,696
Fort Frederica NM	FOFR	National Monument	Southeast 	GA	1985	3	17,097
Fort Frederica NM	FOFR	National Monument	Southeast 	GA	1985	4	24,170
Fort Frederica NM	FOFR	National Monument	Southeast 	GA	1985	5	18,955
Fort Frederica NM	FOFR	National Monument	Southeast 	GA	1985	6	25,718
Fort Frederica NM	FOFR	National Monument	Southeast 	GA	1985	7	26,519
Fort Frederica NM	FOFR	National Monument	Southeast 	GA	1985	8	23,442
Fort Frederica NM	FOFR	National Monument	Southeast 	GA	1985	9	17,130
Fort Frederica NM	FOFR	National Monument	Southeast 	GA	1985	10	20,983
Fort Frederica NM	FOFR	National Monument	Southeast 	GA	1985	11	21,122
Fort Frederica NM	FOFR	National Monument	Southeast 	GA	1985	12	11,907
Fort Frederica NM	FOFR	National Monument	Southeast 	GA	1986	1	12,213
Fort Frederica NM	FOFR	National Monument	Southeast 	GA	1986	2	16,661
Fort Frederica NM	FOFR	National Monument	Southeast 	GA	1986	3	25,787
Fort Frederica NM	FOFR	National Monument	Southeast 	GA	1986	4	24,230
Fort Frederica NM	FOFR	National Monument	Southeast 	GA	1986	5	26,073
Fort Frederica NM	FOFR	National Monument	Southeast 	GA	1986	6	25,386
Fort Frederica NM	FOFR	National Monument	Southeast 	GA	1986	7	29,520
Fort Frederica NM	FOFR	National Monument	Southeast 	GA	1986	8	27,275
Fort Frederica NM	FOFR	National Monument	Southeast 	GA	1986	9	18,988
Fort Frederica NM	FOFR	National Monument	Southeast 	GA	1986	10	22,011
Fort Frederica NM	FOFR	National Monument	Southeast 	GA	1986	11	20,072
Fort Frederica NM	FOFR	National Monument	Southeast 	GA	1986	12	14,437
Fort Frederica NM	FOFR	National Monument	Southeast 	GA	1987	1	15,531
Fort Frederica NM	FOFR	National Monument	Southeast 	GA	1987	2	18,397
Fort Frederica NM	FOFR	National Monument	Southeast 	GA	1987	3	29,630
Fort Frederica NM	FOFR	National Monument	Southeast 	GA	1987	4	26,673
Fort Frederica NM	FOFR	National Monument	Southeast 	GA	1987	5	23,107
Fort Frederica NM	FOFR	National Monument	Southeast 	GA	1987	6	22,276
Fort Frederica NM	FOFR	National Monument	Southeast 	GA	1987	7	26,119
Fort Frederica NM	FOFR	National Monument	Southeast 	GA	1987	8	29,463
Fort Frederica NM	FOFR	National Monument	Southeast 	GA	1987	9	24,866
Fort Frederica NM	FOFR	National Monument	Southeast 	GA	1987	10	23,192
Fort Frederica NM	FOFR	National Monument	Southeast 	GA	1987	11	21,859
Fort Frederica NM	FOFR	National Monument	Southeast 	GA	1987	12	15,023
Fort Frederica NM	FOFR	National Monument	Southeast 	GA	1988	1	18,316
Fort Frederica NM	FOFR	National Monument	Southeast 	GA	1988	2	19,579
Fort Frederica NM	FOFR	National Monument	Southeast 	GA	1988	3	30,374
Fort Frederica NM	FOFR	National Monument	Southeast 	GA	1988	4	38,664
Fort Frederica NM	FOFR	National Monument	Southeast 	GA	1988	5	31,586
Fort Frederica NM	FOFR	National Monument	Southeast 	GA	1988	6	15,508
Fort Frederica NM	FOFR	National Monument	Southeast 	GA	1988	7	22,002
Fort Frederica NM	FOFR	National Monument	Southeast 	GA	1988	8	25,367
Fort Frederica NM	FOFR	National Monument	Southeast 	GA	1988	9	13,306
Fort Frederica NM	FOFR	National Monument	Southeast 	GA	1988	10	18,080
Fort Frederica NM	FOFR	National Monument	Southeast 	GA	1988	11	14,050
Fort Frederica NM	FOFR	National Monument	Southeast 	GA	1988	12	10,277
Fort Frederica NM	FOFR	National Monument	Southeast 	GA	1989	1	18,375
Fort Frederica NM	FOFR	National Monument	Southeast 	GA	1989	2	20,745
