Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Fort Laramie NHS	FOLA	National Historic Site	Intermountain 	WY	1979	1	882
Fort Laramie NHS	FOLA	National Historic Site	Intermountain 	WY	1979	2	1,540
Fort Laramie NHS	FOLA	National Historic Site	Intermountain 	WY	1979	3	2,782
Fort Laramie NHS	FOLA	National Historic Site	Intermountain 	WY	1979	4	4,189
Fort Laramie NHS	FOLA	National Historic Site	Intermountain 	WY	1979	5	9,719
Fort Laramie NHS	FOLA	National Historic Site	Intermountain 	WY	1979	6	15,733
Fort Laramie NHS	FOLA	National Historic Site	Intermountain 	WY	1979	7	33,807
Fort Laramie NHS	FOLA	National Historic Site	Intermountain 	WY	1979	8	20,214
Fort Laramie NHS	FOLA	National Historic Site	Intermountain 	WY	1979	9	10,572
Fort Laramie NHS	FOLA	National Historic Site	Intermountain 	WY	1979	10	5,123
Fort Laramie NHS	FOLA	National Historic Site	Intermountain 	WY	1979	11	1,206
Fort Laramie NHS	FOLA	National Historic Site	Intermountain 	WY	1979	12	816
Fort Laramie NHS	FOLA	National Historic Site	Intermountain 	WY	1980	1	162
Fort Laramie NHS	FOLA	National Historic Site	Intermountain 	WY	1980	2	1,358
Fort Laramie NHS	FOLA	National Historic Site	Intermountain 	WY	1980	3	2,019
Fort Laramie NHS	FOLA	National Historic Site	Intermountain 	WY	1980	4	3,647
Fort Laramie NHS	FOLA	National Historic Site	Intermountain 	WY	1980	5	7,348
Fort Laramie NHS	FOLA	National Historic Site	Intermountain 	WY	1980	6	16,535
Fort Laramie NHS	FOLA	National Historic Site	Intermountain 	WY	1980	7	23,951
Fort Laramie NHS	FOLA	National Historic Site	Intermountain 	WY	1980	8	19,867
Fort Laramie NHS	FOLA	National Historic Site	Intermountain 	WY	1980	9	8,698
Fort Laramie NHS	FOLA	National Historic Site	Intermountain 	WY	1980	10	2,766
Fort Laramie NHS	FOLA	National Historic Site	Intermountain 	WY	1980	11	1,025
Fort Laramie NHS	FOLA	National Historic Site	Intermountain 	WY	1980	12	2,485
Fort Laramie NHS	FOLA	National Historic Site	Intermountain 	WY	1981	1	2,177
Fort Laramie NHS	FOLA	National Historic Site	Intermountain 	WY	1981	2	1,393
Fort Laramie NHS	FOLA	National Historic Site	Intermountain 	WY	1981	3	2,649
Fort Laramie NHS	FOLA	National Historic Site	Intermountain 	WY	1981	4	4,816
Fort Laramie NHS	FOLA	National Historic Site	Intermountain 	WY	1981	5	12,189
Fort Laramie NHS	FOLA	National Historic Site	Intermountain 	WY	1981	6	23,096
