Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Fort Larned NHS	FOLS	National Historic Site	Midwest 	KS	1979	1	283
Fort Larned NHS	FOLS	National Historic Site	Midwest 	KS	1979	2	469
Fort Larned NHS	FOLS	National Historic Site	Midwest 	KS	1979	3	1,098
Fort Larned NHS	FOLS	National Historic Site	Midwest 	KS	1979	4	1,382
Fort Larned NHS	FOLS	National Historic Site	Midwest 	KS	1979	5	2,511
Fort Larned NHS	FOLS	National Historic Site	Midwest 	KS	1979	6	2,274
Fort Larned NHS	FOLS	National Historic Site	Midwest 	KS	1979	7	2,587
Fort Larned NHS	FOLS	National Historic Site	Midwest 	KS	1979	8	7,032
Fort Larned NHS	FOLS	National Historic Site	Midwest 	KS	1979	9	2,116
Fort Larned NHS	FOLS	National Historic Site	Midwest 	KS	1979	10	1,722
Fort Larned NHS	FOLS	National Historic Site	Midwest 	KS	1979	11	873
Fort Larned NHS	FOLS	National Historic Site	Midwest 	KS	1979	12	561
Fort Larned NHS	FOLS	National Historic Site	Midwest 	KS	1980	1	586
Fort Larned NHS	FOLS	National Historic Site	Midwest 	KS	1980	2	495
Fort Larned NHS	FOLS	National Historic Site	Midwest 	KS	1980	3	1,041
Fort Larned NHS	FOLS	National Historic Site	Midwest 	KS	1980	4	1,853
Fort Larned NHS	FOLS	National Historic Site	Midwest 	KS	1980	5	3,526
Fort Larned NHS	FOLS	National Historic Site	Midwest 	KS	1980	6	3,077
Fort Larned NHS	FOLS	National Historic Site	Midwest 	KS	1980	7	4,877
Fort Larned NHS	FOLS	National Historic Site	Midwest 	KS	1980	8	3,545
Fort Larned NHS	FOLS	National Historic Site	Midwest 	KS	1980	9	1,536
Fort Larned NHS	FOLS	National Historic Site	Midwest 	KS	1980	10	1,761
Fort Larned NHS	FOLS	National Historic Site	Midwest 	KS	1980	11	1,164
Fort Larned NHS	FOLS	National Historic Site	Midwest 	KS	1980	12	575
Fort Larned NHS	FOLS	National Historic Site	Midwest 	KS	1981	1	948
Fort Larned NHS	FOLS	National Historic Site	Midwest 	KS	1981	2	620
Fort Larned NHS	FOLS	National Historic Site	Midwest 	KS	1981	3	1,066
Fort Larned NHS	FOLS	National Historic Site	Midwest 	KS	1981	4	1,467
Fort Larned NHS	FOLS	National Historic Site	Midwest 	KS	1981	5	3,162
Fort Larned NHS	FOLS	National Historic Site	Midwest 	KS	1981	6	2,666
Fort Larned NHS	FOLS	National Historic Site	Midwest 	KS	1981	7	4,228
Fort Larned NHS	FOLS	National Historic Site	Midwest 	KS	1981	8	3,480
Fort Larned NHS	FOLS	National Historic Site	Midwest 	KS	1981	9	1,994
Fort Larned NHS	FOLS	National Historic Site	Midwest 	KS	1981	10	1,488
