Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Fort Matanzas NM	FOMA	National Monument	Southeast 	FL	1979	1	12,997
Fort Matanzas NM	FOMA	National Monument	Southeast 	FL	1979	2	12,286
Fort Matanzas NM	FOMA	National Monument	Southeast 	FL	1979	3	25,016
Fort Matanzas NM	FOMA	National Monument	Southeast 	FL	1979	4	31,739
Fort Matanzas NM	FOMA	National Monument	Southeast 	FL	1979	5	25,016
Fort Matanzas NM	FOMA	National Monument	Southeast 	FL	1979	6	27,930
Fort Matanzas NM	FOMA	National Monument	Southeast 	FL	1979	7	30,371
Fort Matanzas NM	FOMA	National Monument	Southeast 	FL	1979	8	26,177
Fort Matanzas NM	FOMA	National Monument	Southeast 	FL	1979	9	17,695
Fort Matanzas NM	FOMA	National Monument	Southeast 	FL	1979	10	15,178
Fort Matanzas NM	FOMA	National Monument	Southeast 	FL	1979	11	14,386
Fort Matanzas NM	FOMA	National Monument	Southeast 	FL	1979	12	12,716
Fort Matanzas NM	FOMA	National Monument	Southeast 	FL	1980	1	13,419
Fort Matanzas NM	FOMA	National Monument	Southeast 	FL	1980	2	16,334
Fort Matanzas NM	FOMA	National Monument	Southeast 	FL	1980	3	29,538
Fort Matanzas NM	FOMA	National Monument	Southeast 	FL	1980	4	29,037
Fort Matanzas NM	FOMA	National Monument	Southeast 	FL	1980	5	29,985
Fort Matanzas NM	FOMA	National Monument	Southeast 	FL	1980	6	28,537
Fort Matanzas NM	FOMA	National Monument	Southeast 	FL	1980	7	28,413
Fort Matanzas NM	FOMA	National Monument	Southeast 	FL	1980	8	24,941
Fort Matanzas NM	FOMA	National Monument	Southeast 	FL	1980	9	18,464
Fort Matanzas NM	FOMA	National Monument	Southeast 	FL	1980	10	15,186
Fort Matanzas NM	FOMA	National Monument	Southeast 	FL	1980	11	9,891
Fort Matanzas NM	FOMA	National Monument	Southeast 	FL	1980	12	10,498
Fort Matanzas NM	FOMA	National Monument	Southeast 	FL	1981	1	10,580
Fort Matanzas NM	FOMA	National Monument	Southeast 	FL	1981	2	17,369
Fort Matanzas NM	FOMA	National Monument	Southeast 	FL	1981	3	29,180
Fort Matanzas NM	FOMA	National Monument	Southeast 	FL	1981	4	30,705
Fort Matanzas NM	FOMA	National Monument	Southeast 	FL	1981	5	29,651
Fort Matanzas NM	FOMA	National Monument	Southeast 	FL	1981	6	30,947
Fort Matanzas NM	FOMA	National Monument	Southeast 	FL	1981	7	32,852
Fort Matanzas NM	FOMA	National Monument	Southeast 	FL	1981	8	26,946
Fort Matanzas NM	FOMA	National Monument	Southeast 	FL	1981	9	20,948
Fort Matanzas NM	FOMA	National Monument	Southeast 	FL	1981	10	16,160
Fort Matanzas NM	FOMA	National Monument	Southeast 	FL	1981	11	15,002
Fort Matanzas NM	FOMA	National Monument	Southeast 	FL	1981	12	9,867
Fort Matanzas NM	FOMA	National Monument	Southeast 	FL	1982	1	12,400
Fort Matanzas NM	FOMA	National Monument	Southeast 	FL	1982	2	15,675
Fort Matanzas NM	FOMA	National Monument	Southeast 	FL	1982	3	26,832
Fort Matanzas NM	FOMA	National Monument	Southeast 	FL	1982	4	24,676
