Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1979	1	19,829
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1979	2	12,728
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1979	3	39,650
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1979	4	51,779
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1979	5	67,644
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1979	6	63,065
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1979	7	70,823
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1979	8	64,387
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1979	9	49,957
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1979	10	41,558
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1979	11	32,939
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1979	12	29,184
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1980	1	20,177
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1980	2	19,162
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1980	3	45,092
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1980	4	57,428
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1980	5	73,302
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1980	6	74,319
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1980	7	81,359
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1980	8	72,174
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1980	9	53,699
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1980	10	53,326
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1980	11	39,141
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1980	12	25,486
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1981	1	27,009
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1981	2	31,858
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1981	3	51,879
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1981	4	58,409
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1981	5	81,400
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1981	6	83,848
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1981	7	74,182
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1981	8	81,127
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1981	9	60,476
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1981	10	50,812
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1981	11	44,167
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1981	12	27,374
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1982	1	22,917
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1982	2	38,350
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1982	3	42,800
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1982	4	64,938
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1982	5	81,789
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1982	6	83,342
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1982	7	82,601
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1982	8	83,700
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1982	9	60,267
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1982	10	56,367
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1982	11	42,236
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1982	12	26,136
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1983	1	30,294
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1983	2	30,144
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1983	3	48,742
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1983	4	62,565
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1983	5	80,446
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1983	6	97,983
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1983	7	95,108
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1983	8	91,859
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1983	9	59,928
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1983	10	52,902
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1983	11	45,898
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1983	12	27,428
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1984	1	27,454
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1984	2	38,044
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1984	3	47,243
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1984	4	67,644
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1984	5	83,435
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1984	6	102,394
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1984	7	98,250
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1984	8	94,178
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1984	9	61,778
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1984	10	70,126
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1984	11	45,563
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1984	12	36,422
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1985	1	25,504
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1985	2	39,889
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1985	3	49,940
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1985	4	69,940
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1985	5	86,940
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1985	6	107,940
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1985	7	104,940
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1985	8	98,206
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1985	9	74,249
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1985	10	62,914
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1985	11	44,707
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1985	12	30,583
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1986	1	32,753
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1986	2	34,940
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1986	3	61,706
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1986	4	71,689
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1986	5	84,980
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1986	6	114,863
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1986	7	101,705
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1986	8	98,548
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1986	9	71,738
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1986	10	62,197
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1986	11	44,186
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1986	12	30,809
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1987	1	16,393
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1987	2	23,024
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1987	3	43,514
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1987	4	45,655
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1987	5	64,320
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1987	6	82,876
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1987	7	66,281
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1987	8	72,250
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1987	9	44,464
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1987	10	44,008
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1987	11	25,014
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1987	12	18,561
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1988	1	19,074
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1988	2	23,761
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1988	3	43,063
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1988	4	51,375
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1988	5	66,028
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1988	6	85,315
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1988	7	68,441
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1988	8	74,646
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1988	9	46,823
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1988	10	47,139
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1988	11	28,729
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1988	12	21,598
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1989	1	23,155
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1989	2	20,085
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1989	3	46,876
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1989	4	53,810
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1989	5	68,492
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1989	6	78,778
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1989	7	70,248
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1989	8	73,029
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1989	9	59,115
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1989	10	47,404
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1989	11	30,015
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1989	12	20,369
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1990	1	21,563
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1990	2	26,543
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1990	3	44,898
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1990	4	52,697
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1990	5	66,538
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1990	6	76,985
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1990	7	66,788
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1990	8	71,922
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1990	9	44,061
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1990	10	36,919
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1990	11	31,744
Fort McHenry NM & HS	FOMC	National Monument	Northeast 	MD	1990	12	21,142
