Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Fort Necessity NB	FONE	National Battlefield	Northeast 	PA	1979	1	285
Fort Necessity NB	FONE	National Battlefield	Northeast 	PA	1979	2	947
Fort Necessity NB	FONE	National Battlefield	Northeast 	PA	1979	3	4,313
Fort Necessity NB	FONE	National Battlefield	Northeast 	PA	1979	4	5,976
Fort Necessity NB	FONE	National Battlefield	Northeast 	PA	1979	5	13,987
Fort Necessity NB	FONE	National Battlefield	Northeast 	PA	1979	6	13,620
Fort Necessity NB	FONE	National Battlefield	Northeast 	PA	1979	7	18,292
Fort Necessity NB	FONE	National Battlefield	Northeast 	PA	1979	8	18,920
Fort Necessity NB	FONE	National Battlefield	Northeast 	PA	1979	9	11,680
Fort Necessity NB	FONE	National Battlefield	Northeast 	PA	1979	10	13,556
Fort Necessity NB	FONE	National Battlefield	Northeast 	PA	1979	11	4,869
Fort Necessity NB	FONE	National Battlefield	Northeast 	PA	1979	12	1,613
Fort Necessity NB	FONE	National Battlefield	Northeast 	PA	1980	1	780
Fort Necessity NB	FONE	National Battlefield	Northeast 	PA	1980	2	1,683
Fort Necessity NB	FONE	National Battlefield	Northeast 	PA	1980	3	4,399
Fort Necessity NB	FONE	National Battlefield	Northeast 	PA	1980	4	8,263
Fort Necessity NB	FONE	National Battlefield	Northeast 	PA	1980	5	15,486
Fort Necessity NB	FONE	National Battlefield	Northeast 	PA	1980	6	20,471
Fort Necessity NB	FONE	National Battlefield	Northeast 	PA	1980	7	23,072
Fort Necessity NB	FONE	National Battlefield	Northeast 	PA	1980	8	25,996
Fort Necessity NB	FONE	National Battlefield	Northeast 	PA	1980	9	11,629
Fort Necessity NB	FONE	National Battlefield	Northeast 	PA	1980	10	14,522
Fort Necessity NB	FONE	National Battlefield	Northeast 	PA	1980	11	4,192
Fort Necessity NB	FONE	National Battlefield	Northeast 	PA	1980	12	1,994
Fort Necessity NB	FONE	National Battlefield	Northeast 	PA	1981	1	2,885
Fort Necessity NB	FONE	National Battlefield	Northeast 	PA	1981	2	2,325
Fort Necessity NB	FONE	National Battlefield	Northeast 	PA	1981	3	3,872
Fort Necessity NB	FONE	National Battlefield	Northeast 	PA	1981	4	7,484
Fort Necessity NB	FONE	National Battlefield	Northeast 	PA	1981	5	16,353
Fort Necessity NB	FONE	National Battlefield	Northeast 	PA	1981	6	25,996
Fort Necessity NB	FONE	National Battlefield	Northeast 	PA	1981	7	26,367
Fort Necessity NB	FONE	National Battlefield	Northeast 	PA	1981	8	32,730
Fort Necessity NB	FONE	National Battlefield	Northeast 	PA	1981	9	14,275
Fort Necessity NB	FONE	National Battlefield	Northeast 	PA	1981	10	14,792
Fort Necessity NB	FONE	National Battlefield	Northeast 	PA	1981	11	5,654
Fort Necessity NB	FONE	National Battlefield	Northeast 	PA	1981	12	1,165
Fort Necessity NB	FONE	National Battlefield	Northeast 	PA	1982	1	2,547
Fort Necessity NB	FONE	National Battlefield	Northeast 	PA	1982	2	1,694
Fort Necessity NB	FONE	National Battlefield	Northeast 	PA	1982	3	3,411
Fort Necessity NB	FONE	National Battlefield	Northeast 	PA	1982	4	8,262
Fort Necessity NB	FONE	National Battlefield	Northeast 	PA	1982	5	15,888
Fort Necessity NB	FONE	National Battlefield	Northeast 	PA	1982	6	20,495
Fort Necessity NB	FONE	National Battlefield	Northeast 	PA	1982	7	26,293
Fort Necessity NB	FONE	National Battlefield	Northeast 	PA	1982	8	25,197
Fort Necessity NB	FONE	National Battlefield	Northeast 	PA	1982	9	15,968
Fort Necessity NB	FONE	National Battlefield	Northeast 	PA	1982	10	15,493
Fort Necessity NB	FONE	National Battlefield	Northeast 	PA	1982	11	3,560
Fort Necessity NB	FONE	National Battlefield	Northeast 	PA	1982	12	703
Fort Necessity NB	FONE	National Battlefield	Northeast 	PA	1983	1	1,452
Fort Necessity NB	FONE	National Battlefield	Northeast 	PA	1983	2	4,393
Fort Necessity NB	FONE	National Battlefield	Northeast 	PA	1983	3	6,602
Fort Necessity NB	FONE	National Battlefield	Northeast 	PA	1983	4	5,651
Fort Necessity NB	FONE	National Battlefield	Northeast 	PA	1983	5	13,036
Fort Necessity NB	FONE	National Battlefield	Northeast 	PA	1983	6	17,492
Fort Necessity NB	FONE	National Battlefield	Northeast 	PA	1983	7	23,069
Fort Necessity NB	FONE	National Battlefield	Northeast 	PA	1983	8	27,113
Fort Necessity NB	FONE	National Battlefield	Northeast 	PA	1983	9	13,472
Fort Necessity NB	FONE	National Battlefield	Northeast 	PA	1983	10	16,295
Fort Necessity NB	FONE	National Battlefield	Northeast 	PA	1983	11	4,848
Fort Necessity NB	FONE	National Battlefield	Northeast 	PA	1983	12	764
Fort Necessity NB	FONE	National Battlefield	Northeast 	PA	1984	1	1,861
Fort Necessity NB	FONE	National Battlefield	Northeast 	PA	1984	2	3,354
Fort Necessity NB	FONE	National Battlefield	Northeast 	PA	1984	3	5,679
Fort Necessity NB	FONE	National Battlefield	Northeast 	PA	1984	4	9,070
Fort Necessity NB	FONE	National Battlefield	Northeast 	PA	1984	5	21,779
Fort Necessity NB	FONE	National Battlefield	Northeast 	PA	1984	6	34,958
Fort Necessity NB	FONE	National Battlefield	Northeast 	PA	1984	7	26,871
Fort Necessity NB	FONE	National Battlefield	Northeast 	PA	1984	8	21,817
Fort Necessity NB	FONE	National Battlefield	Northeast 	PA	1984	9	16,147
Fort Necessity NB	FONE	National Battlefield	Northeast 	PA	1984	10	16,458
Fort Necessity NB	FONE	National Battlefield	Northeast 	PA	1984	11	5,542
Fort Necessity NB	FONE	National Battlefield	Northeast 	PA	1984	12	3,003
Fort Necessity NB	FONE	National Battlefield	Northeast 	PA	1985	1	1,412
Fort Necessity NB	FONE	National Battlefield	Northeast 	PA	1985	2	2,614
Fort Necessity NB	FONE	National Battlefield	Northeast 	PA	1985	3	4,269
Fort Necessity NB	FONE	National Battlefield	Northeast 	PA	1985	4	5,109
Fort Necessity NB	FONE	National Battlefield	Northeast 	PA	1985	5	16,833
Fort Necessity NB	FONE	National Battlefield	Northeast 	PA	1985	6	23,635
Fort Necessity NB	FONE	National Battlefield	Northeast 	PA	1985	7	24,836
Fort Necessity NB	FONE	National Battlefield	Northeast 	PA	1985	8	26,742
Fort Necessity NB	FONE	National Battlefield	Northeast 	PA	1985	9	14,182
Fort Necessity NB	FONE	National Battlefield	Northeast 	PA	1985	10	15,117
Fort Necessity NB	FONE	National Battlefield	Northeast 	PA	1985	11	3,359
Fort Necessity NB	FONE	National Battlefield	Northeast 	PA	1985	12	2,091
Fort Necessity NB	FONE	National Battlefield	Northeast 	PA	1986	1	2,196
Fort Necessity NB	FONE	National Battlefield	Northeast 	PA	1986	2	3,006
Fort Necessity NB	FONE	National Battlefield	Northeast 	PA	1986	3	4,789
Fort Necessity NB	FONE	National Battlefield	Northeast 	PA	1986	4	7,969
Fort Necessity NB	FONE	National Battlefield	Northeast 	PA	1986	5	17,049
Fort Necessity NB	FONE	National Battlefield	Northeast 	PA	1986	6	21,526
Fort Necessity NB	FONE	National Battlefield	Northeast 	PA	1986	7	27,182
Fort Necessity NB	FONE	National Battlefield	Northeast 	PA	1986	8	30,925
Fort Necessity NB	FONE	National Battlefield	Northeast 	PA	1986	9	15,000
Fort Necessity NB	FONE	National Battlefield	Northeast 	PA	1986	10	18,217
Fort Necessity NB	FONE	National Battlefield	Northeast 	PA	1986	11	4,774
Fort Necessity NB	FONE	National Battlefield	Northeast 	PA	1986	12	2,600
Fort Necessity NB	FONE	National Battlefield	Northeast 	PA	1987	1	2,523
Fort Necessity NB	FONE	National Battlefield	Northeast 	PA	1987	2	3,821
Fort Necessity NB	FONE	National Battlefield	Northeast 	PA	1987	3	6,236
Fort Necessity NB	FONE	National Battlefield	Northeast 	PA	1987	4	9,276
Fort Necessity NB	FONE	National Battlefield	Northeast 	PA	1987	5	15,258
