Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Fort Point NHS	FOPO	National Historic Site	Pacific West 	CA	1979	1	54,174
Fort Point NHS	FOPO	National Historic Site	Pacific West 	CA	1979	2	60,039
Fort Point NHS	FOPO	National Historic Site	Pacific West 	CA	1979	3	74,315
Fort Point NHS	FOPO	National Historic Site	Pacific West 	CA	1979	4	69,557
Fort Point NHS	FOPO	National Historic Site	Pacific West 	CA	1979	5	70,871
Fort Point NHS	FOPO	National Historic Site	Pacific West 	CA	1979	6	71,581
Fort Point NHS	FOPO	National Historic Site	Pacific West 	CA	1979	7	90,557
Fort Point NHS	FOPO	National Historic Site	Pacific West 	CA	1979	8	94,854
Fort Point NHS	FOPO	National Historic Site	Pacific West 	CA	1979	9	85,223
Fort Point NHS	FOPO	National Historic Site	Pacific West 	CA	1979	10	71,750
Fort Point NHS	FOPO	National Historic Site	Pacific West 	CA	1979	11	63,214
Fort Point NHS	FOPO	National Historic Site	Pacific West 	CA	1979	12	66,042
Fort Point NHS	FOPO	National Historic Site	Pacific West 	CA	1980	1	52,684
Fort Point NHS	FOPO	National Historic Site	Pacific West 	CA	1980	2	63,071
Fort Point NHS	FOPO	National Historic Site	Pacific West 	CA	1980	3	84,813
Fort Point NHS	FOPO	National Historic Site	Pacific West 	CA	1980	4	83,918
Fort Point NHS	FOPO	National Historic Site	Pacific West 	CA	1980	5	85,875
Fort Point NHS	FOPO	National Historic Site	Pacific West 	CA	1980	6	78,069
Fort Point NHS	FOPO	National Historic Site	Pacific West 	CA	1980	7	76,642
Fort Point NHS	FOPO	National Historic Site	Pacific West 	CA	1980	8	74,567
Fort Point NHS	FOPO	National Historic Site	Pacific West 	CA	1980	9	64,820
Fort Point NHS	FOPO	National Historic Site	Pacific West 	CA	1980	10	54,948
Fort Point NHS	FOPO	National Historic Site	Pacific West 	CA	1980	11	43,983
Fort Point NHS	FOPO	National Historic Site	Pacific West 	CA	1980	12	29,304
Fort Point NHS	FOPO	National Historic Site	Pacific West 	CA	1981	1	63,575
Fort Point NHS	FOPO	National Historic Site	Pacific West 	CA	1981	2	69,391
Fort Point NHS	FOPO	National Historic Site	Pacific West 	CA	1981	3	59,978
Fort Point NHS	FOPO	National Historic Site	Pacific West 	CA	1981	4	72,648
Fort Point NHS	FOPO	National Historic Site	Pacific West 	CA	1981	5	81,764
Fort Point NHS	FOPO	National Historic Site	Pacific West 	CA	1981	6	88,212
Fort Point NHS	FOPO	National Historic Site	Pacific West 	CA	1981	7	132,721
Fort Point NHS	FOPO	National Historic Site	Pacific West 	CA	1981	8	139,242
Fort Point NHS	FOPO	National Historic Site	Pacific West 	CA	1981	9	83,261
Fort Point NHS	FOPO	National Historic Site	Pacific West 	CA	1981	10	86,958
Fort Point NHS	FOPO	National Historic Site	Pacific West 	CA	1981	11	103,441
Fort Point NHS	FOPO	National Historic Site	Pacific West 	CA	1981	12	92,074
Fort Point NHS	FOPO	National Historic Site	Pacific West 	CA	1982	1	84,149
Fort Point NHS	FOPO	National Historic Site	Pacific West 	CA	1982	2	78,956
Fort Point NHS	FOPO	National Historic Site	Pacific West 	CA	1982	3	109,839
Fort Point NHS	FOPO	National Historic Site	Pacific West 	CA	1982	4	125,131
Fort Point NHS	FOPO	National Historic Site	Pacific West 	CA	1982	5	127,012
Fort Point NHS	FOPO	National Historic Site	Pacific West 	CA	1982	6	109,160
Fort Point NHS	FOPO	National Historic Site	Pacific West 	CA	1982	7	141,178
Fort Point NHS	FOPO	National Historic Site	Pacific West 	CA	1982	8	143,602
Fort Point NHS	FOPO	National Historic Site	Pacific West 	CA	1982	9	105,165
Fort Point NHS	FOPO	National Historic Site	Pacific West 	CA	1982	10	91,215
Fort Point NHS	FOPO	National Historic Site	Pacific West 	CA	1982	11	57,364
Fort Point NHS	FOPO	National Historic Site	Pacific West 	CA	1982	12	50,102
Fort Point NHS	FOPO	National Historic Site	Pacific West 	CA	1983	1	61,015
Fort Point NHS	FOPO	National Historic Site	Pacific West 	CA	1983	2	47,919
Fort Point NHS	FOPO	National Historic Site	Pacific West 	CA	1983	3	55,632
Fort Point NHS	FOPO	National Historic Site	Pacific West 	CA	1983	4	69,857
Fort Point NHS	FOPO	National Historic Site	Pacific West 	CA	1983	5	95,958
Fort Point NHS	FOPO	National Historic Site	Pacific West 	CA	1983	6	84,341
Fort Point NHS	FOPO	National Historic Site	Pacific West 	CA	1983	7	127,672
Fort Point NHS	FOPO	National Historic Site	Pacific West 	CA	1983	8	111,512
Fort Point NHS	FOPO	National Historic Site	Pacific West 	CA	1983	9	92,150
Fort Point NHS	FOPO	National Historic Site	Pacific West 	CA	1983	10	92,581
Fort Point NHS	FOPO	National Historic Site	Pacific West 	CA	1983	11	68,596
Fort Point NHS	FOPO	National Historic Site	Pacific West 	CA	1983	12	54,161
Fort Point NHS	FOPO	National Historic Site	Pacific West 	CA	1984	1	78,706
Fort Point NHS	FOPO	National Historic Site	Pacific West 	CA	1984	2	83,988
Fort Point NHS	FOPO	National Historic Site	Pacific West 	CA	1984	3	110,604
Fort Point NHS	FOPO	National Historic Site	Pacific West 	CA	1984	4	112,602
Fort Point NHS	FOPO	National Historic Site	Pacific West 	CA	1984	5	120,647
Fort Point NHS	FOPO	National Historic Site	Pacific West 	CA	1984	6	93,445
Fort Point NHS	FOPO	National Historic Site	Pacific West 	CA	1984	7	131,477
Fort Point NHS	FOPO	National Historic Site	Pacific West 	CA	1984	8	131,377
