Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Fort Pulaski NM	FOPU	National Monument	Southeast 	GA	1979	1	11,728
Fort Pulaski NM	FOPU	National Monument	Southeast 	GA	1979	2	14,615
Fort Pulaski NM	FOPU	National Monument	Southeast 	GA	1979	3	32,147
Fort Pulaski NM	FOPU	National Monument	Southeast 	GA	1979	4	35,379
Fort Pulaski NM	FOPU	National Monument	Southeast 	GA	1979	5	28,971
Fort Pulaski NM	FOPU	National Monument	Southeast 	GA	1979	6	30,513
Fort Pulaski NM	FOPU	National Monument	Southeast 	GA	1979	7	29,748
Fort Pulaski NM	FOPU	National Monument	Southeast 	GA	1979	8	28,870
Fort Pulaski NM	FOPU	National Monument	Southeast 	GA	1979	9	13,981
Fort Pulaski NM	FOPU	National Monument	Southeast 	GA	1979	10	18,300
Fort Pulaski NM	FOPU	National Monument	Southeast 	GA	1979	11	19,418
Fort Pulaski NM	FOPU	National Monument	Southeast 	GA	1979	12	12,938
Fort Pulaski NM	FOPU	National Monument	Southeast 	GA	1980	1	13,758
Fort Pulaski NM	FOPU	National Monument	Southeast 	GA	1980	2	16,342
Fort Pulaski NM	FOPU	National Monument	Southeast 	GA	1980	3	22,368
Fort Pulaski NM	FOPU	National Monument	Southeast 	GA	1980	4	30,431
Fort Pulaski NM	FOPU	National Monument	Southeast 	GA	1980	5	31,778
Fort Pulaski NM	FOPU	National Monument	Southeast 	GA	1980	6	36,226
Fort Pulaski NM	FOPU	National Monument	Southeast 	GA	1980	7	35,868
Fort Pulaski NM	FOPU	National Monument	Southeast 	GA	1980	8	27,092
Fort Pulaski NM	FOPU	National Monument	Southeast 	GA	1980	9	19,512
Fort Pulaski NM	FOPU	National Monument	Southeast 	GA	1980	10	21,085
Fort Pulaski NM	FOPU	National Monument	Southeast 	GA	1980	11	17,001
Fort Pulaski NM	FOPU	National Monument	Southeast 	GA	1980	12	12,022
Fort Pulaski NM	FOPU	National Monument	Southeast 	GA	1981	1	11,400
Fort Pulaski NM	FOPU	National Monument	Southeast 	GA	1981	2	14,508
Fort Pulaski NM	FOPU	National Monument	Southeast 	GA	1981	3	21,764
Fort Pulaski NM	FOPU	National Monument	Southeast 	GA	1981	4	24,726
Fort Pulaski NM	FOPU	National Monument	Southeast 	GA	1981	5	29,766
Fort Pulaski NM	FOPU	National Monument	Southeast 	GA	1981	6	26,812
Fort Pulaski NM	FOPU	National Monument	Southeast 	GA	1981	7	28,606
Fort Pulaski NM	FOPU	National Monument	Southeast 	GA	1981	8	24,070
Fort Pulaski NM	FOPU	National Monument	Southeast 	GA	1981	9	19,753
Fort Pulaski NM	FOPU	National Monument	Southeast 	GA	1981	10	13,411
Fort Pulaski NM	FOPU	National Monument	Southeast 	GA	1981	11	13,750
Fort Pulaski NM	FOPU	National Monument	Southeast 	GA	1981	12	11,006
Fort Pulaski NM	FOPU	National Monument	Southeast 	GA	1982	1	12,306
Fort Pulaski NM	FOPU	National Monument	Southeast 	GA	1982	2	15,483
Fort Pulaski NM	FOPU	National Monument	Southeast 	GA	1982	3	25,674
Fort Pulaski NM	FOPU	National Monument	Southeast 	GA	1982	4	30,664
Fort Pulaski NM	FOPU	National Monument	Southeast 	GA	1982	5	33,061
Fort Pulaski NM	FOPU	National Monument	Southeast 	GA	1982	6	32,862
Fort Pulaski NM	FOPU	National Monument	Southeast 	GA	1982	7	39,831
Fort Pulaski NM	FOPU	National Monument	Southeast 	GA	1982	8	33,636
