Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Fort Raleigh NHS	FORA	National Historic Site	Southeast 	NC	1979	1	2,386
Fort Raleigh NHS	FORA	National Historic Site	Southeast 	NC	1979	2	2,727
Fort Raleigh NHS	FORA	National Historic Site	Southeast 	NC	1979	3	7,273
Fort Raleigh NHS	FORA	National Historic Site	Southeast 	NC	1979	4	16,068
Fort Raleigh NHS	FORA	National Historic Site	Southeast 	NC	1979	5	24,189
Fort Raleigh NHS	FORA	National Historic Site	Southeast 	NC	1979	6	55,194
Fort Raleigh NHS	FORA	National Historic Site	Southeast 	NC	1979	7	79,651
Fort Raleigh NHS	FORA	National Historic Site	Southeast 	NC	1979	8	80,778
Fort Raleigh NHS	FORA	National Historic Site	Southeast 	NC	1979	9	15,915
Fort Raleigh NHS	FORA	National Historic Site	Southeast 	NC	1979	10	10,554
Fort Raleigh NHS	FORA	National Historic Site	Southeast 	NC	1979	11	7,106
Fort Raleigh NHS	FORA	National Historic Site	Southeast 	NC	1979	12	3,312
Fort Raleigh NHS	FORA	National Historic Site	Southeast 	NC	1980	1	2,489
Fort Raleigh NHS	FORA	National Historic Site	Southeast 	NC	1980	2	2,165
Fort Raleigh NHS	FORA	National Historic Site	Southeast 	NC	1980	3	5,942
Fort Raleigh NHS	FORA	National Historic Site	Southeast 	NC	1980	4	15,777
Fort Raleigh NHS	FORA	National Historic Site	Southeast 	NC	1980	5	27,265
Fort Raleigh NHS	FORA	National Historic Site	Southeast 	NC	1980	6	58,815
Fort Raleigh NHS	FORA	National Historic Site	Southeast 	NC	1980	7	104,057
Fort Raleigh NHS	FORA	National Historic Site	Southeast 	NC	1980	8	95,324
Fort Raleigh NHS	FORA	National Historic Site	Southeast 	NC	1980	9	14,760
Fort Raleigh NHS	FORA	National Historic Site	Southeast 	NC	1980	10	13,874
Fort Raleigh NHS	FORA	National Historic Site	Southeast 	NC	1980	11	7,305
Fort Raleigh NHS	FORA	National Historic Site	Southeast 	NC	1980	12	2,691
Fort Raleigh NHS	FORA	National Historic Site	Southeast 	NC	1981	1	1,962
