Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Fort Scott NHS	FOSC	National Historic Site	Midwest 	KS	1979	1	0
Fort Scott NHS	FOSC	National Historic Site	Midwest 	KS	1979	2	0
Fort Scott NHS	FOSC	National Historic Site	Midwest 	KS	1979	3	0
Fort Scott NHS	FOSC	National Historic Site	Midwest 	KS	1979	4	0
Fort Scott NHS	FOSC	National Historic Site	Midwest 	KS	1979	5	0
Fort Scott NHS	FOSC	National Historic Site	Midwest 	KS	1979	6	2,049
Fort Scott NHS	FOSC	National Historic Site	Midwest 	KS	1979	7	2,243
Fort Scott NHS	FOSC	National Historic Site	Midwest 	KS	1979	8	2,063
Fort Scott NHS	FOSC	National Historic Site	Midwest 	KS	1979	9	1,551
Fort Scott NHS	FOSC	National Historic Site	Midwest 	KS	1979	10	2,031
Fort Scott NHS	FOSC	National Historic Site	Midwest 	KS	1979	11	1,591
Fort Scott NHS	FOSC	National Historic Site	Midwest 	KS	1979	12	480
Fort Scott NHS	FOSC	National Historic Site	Midwest 	KS	1980	1	340
Fort Scott NHS	FOSC	National Historic Site	Midwest 	KS	1980	2	397
Fort Scott NHS	FOSC	National Historic Site	Midwest 	KS	1980	3	1,489
Fort Scott NHS	FOSC	National Historic Site	Midwest 	KS	1980	4	2,781
Fort Scott NHS	FOSC	National Historic Site	Midwest 	KS	1980	5	6,399
Fort Scott NHS	FOSC	National Historic Site	Midwest 	KS	1980	6	4,401
Fort Scott NHS	FOSC	National Historic Site	Midwest 	KS	1980	7	4,074
Fort Scott NHS	FOSC	National Historic Site	Midwest 	KS	1980	8	4,962
Fort Scott NHS	FOSC	National Historic Site	Midwest 	KS	1980	9	3,256
Fort Scott NHS	FOSC	National Historic Site	Midwest 	KS	1980	10	3,040
Fort Scott NHS	FOSC	National Historic Site	Midwest 	KS	1980	11	2,401
Fort Scott NHS	FOSC	National Historic Site	Midwest 	KS	1980	12	2,382
Fort Scott NHS	FOSC	National Historic Site	Midwest 	KS	1981	1	1,110
Fort Scott NHS	FOSC	National Historic Site	Midwest 	KS	1981	2	1,289
