Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Fort Smith NHS	FOSM	National Historic Site	Midwest 	AR	1979	1	1,570
Fort Smith NHS	FOSM	National Historic Site	Midwest 	AR	1979	2	2,063
Fort Smith NHS	FOSM	National Historic Site	Midwest 	AR	1979	3	5,515
Fort Smith NHS	FOSM	National Historic Site	Midwest 	AR	1979	4	7,134
Fort Smith NHS	FOSM	National Historic Site	Midwest 	AR	1979	5	8,576
Fort Smith NHS	FOSM	National Historic Site	Midwest 	AR	1979	6	12,803
Fort Smith NHS	FOSM	National Historic Site	Midwest 	AR	1979	7	14,233
Fort Smith NHS	FOSM	National Historic Site	Midwest 	AR	1979	8	12,261
Fort Smith NHS	FOSM	National Historic Site	Midwest 	AR	1979	9	11,502
Fort Smith NHS	FOSM	National Historic Site	Midwest 	AR	1979	10	5,784
Fort Smith NHS	FOSM	National Historic Site	Midwest 	AR	1979	11	5,241
Fort Smith NHS	FOSM	National Historic Site	Midwest 	AR	1979	12	3,902
Fort Smith NHS	FOSM	National Historic Site	Midwest 	AR	1980	1	2,945
Fort Smith NHS	FOSM	National Historic Site	Midwest 	AR	1980	2	2,949
Fort Smith NHS	FOSM	National Historic Site	Midwest 	AR	1980	3	5,702
Fort Smith NHS	FOSM	National Historic Site	Midwest 	AR	1980	4	7,264
Fort Smith NHS	FOSM	National Historic Site	Midwest 	AR	1980	5	10,386
Fort Smith NHS	FOSM	National Historic Site	Midwest 	AR	1980	6	14,369
Fort Smith NHS	FOSM	National Historic Site	Midwest 	AR	1980	7	13,168
Fort Smith NHS	FOSM	National Historic Site	Midwest 	AR	1980	8	17,326
Fort Smith NHS	FOSM	National Historic Site	Midwest 	AR	1980	9	7,269
Fort Smith NHS	FOSM	National Historic Site	Midwest 	AR	1980	10	9,418
Fort Smith NHS	FOSM	National Historic Site	Midwest 	AR	1980	11	6,570
Fort Smith NHS	FOSM	National Historic Site	Midwest 	AR	1980	12	4,995
Fort Smith NHS	FOSM	National Historic Site	Midwest 	AR	1981	1	4,222
Fort Smith NHS	FOSM	National Historic Site	Midwest 	AR	1981	2	4,320
Fort Smith NHS	FOSM	National Historic Site	Midwest 	AR	1981	3	8,677
Fort Smith NHS	FOSM	National Historic Site	Midwest 	AR	1981	4	11,973
Fort Smith NHS	FOSM	National Historic Site	Midwest 	AR	1981	5	14,733
Fort Smith NHS	FOSM	National Historic Site	Midwest 	AR	1981	6	17,141
Fort Smith NHS	FOSM	National Historic Site	Midwest 	AR	1981	7	18,947
Fort Smith NHS	FOSM	National Historic Site	Midwest 	AR	1981	8	15,521
Fort Smith NHS	FOSM	National Historic Site	Midwest 	AR	1981	9	15,212
Fort Smith NHS	FOSM	National Historic Site	Midwest 	AR	1981	10	12,134
Fort Smith NHS	FOSM	National Historic Site	Midwest 	AR	1981	11	8,286
Fort Smith NHS	FOSM	National Historic Site	Midwest 	AR	1981	12	5,620
Fort Smith NHS	FOSM	National Historic Site	Midwest 	AR	1982	1	3,467
Fort Smith NHS	FOSM	National Historic Site	Midwest 	AR	1982	2	4,563
Fort Smith NHS	FOSM	National Historic Site	Midwest 	AR	1982	3	9,586
Fort Smith NHS	FOSM	National Historic Site	Midwest 	AR	1982	4	11,333
Fort Smith NHS	FOSM	National Historic Site	Midwest 	AR	1982	5	16,238
Fort Smith NHS	FOSM	National Historic Site	Midwest 	AR	1982	6	16,835
Fort Smith NHS	FOSM	National Historic Site	Midwest 	AR	1982	7	19,145
Fort Smith NHS	FOSM	National Historic Site	Midwest 	AR	1982	8	15,944
Fort Smith NHS	FOSM	National Historic Site	Midwest 	AR	1982	9	9,907
Fort Smith NHS	FOSM	National Historic Site	Midwest 	AR	1982	10	12,186
Fort Smith NHS	FOSM	National Historic Site	Midwest 	AR	1982	11	6,130
Fort Smith NHS	FOSM	National Historic Site	Midwest 	AR	1982	12	3,678
Fort Smith NHS	FOSM	National Historic Site	Midwest 	AR	1983	1	3,165
Fort Smith NHS	FOSM	National Historic Site	Midwest 	AR	1983	2	3,917
Fort Smith NHS	FOSM	National Historic Site	Midwest 	AR	1983	3	8,237
Fort Smith NHS	FOSM	National Historic Site	Midwest 	AR	1983	4	9,646
Fort Smith NHS	FOSM	National Historic Site	Midwest 	AR	1983	5	16,970
Fort Smith NHS	FOSM	National Historic Site	Midwest 	AR	1983	6	15,248
Fort Smith NHS	FOSM	National Historic Site	Midwest 	AR	1983	7	19,427
Fort Smith NHS	FOSM	National Historic Site	Midwest 	AR	1983	8	13,685
Fort Smith NHS	FOSM	National Historic Site	Midwest 	AR	1983	9	9,072
Fort Smith NHS	FOSM	National Historic Site	Midwest 	AR	1983	10	10,236
Fort Smith NHS	FOSM	National Historic Site	Midwest 	AR	1983	11	6,589
Fort Smith NHS	FOSM	National Historic Site	Midwest 	AR	1983	12	2,500
Fort Smith NHS	FOSM	National Historic Site	Midwest 	AR	1984	1	2,621
Fort Smith NHS	FOSM	National Historic Site	Midwest 	AR	1984	2	4,164
Fort Smith NHS	FOSM	National Historic Site	Midwest 	AR	1984	3	7,592
Fort Smith NHS	FOSM	National Historic Site	Midwest 	AR	1984	4	9,138
Fort Smith NHS	FOSM	National Historic Site	Midwest 	AR	1984	5	18,482
Fort Smith NHS	FOSM	National Historic Site	Midwest 	AR	1984	6	17,252
Fort Smith NHS	FOSM	National Historic Site	Midwest 	AR	1984	7	18,182
Fort Smith NHS	FOSM	National Historic Site	Midwest 	AR	1984	8	12,973
Fort Smith NHS	FOSM	National Historic Site	Midwest 	AR	1984	9	9,893
Fort Smith NHS	FOSM	National Historic Site	Midwest 	AR	1984	10	9,564
Fort Smith NHS	FOSM	National Historic Site	Midwest 	AR	1984	11	6,543
Fort Smith NHS	FOSM	National Historic Site	Midwest 	AR	1984	12	5,157
Fort Smith NHS	FOSM	National Historic Site	Midwest 	AR	1985	1	3,673
Fort Smith NHS	FOSM	National Historic Site	Midwest 	AR	1985	2	2,920
