Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Fort Stanwix NM	FOST	National Monument	Northeast 	NY	1979	1	0
Fort Stanwix NM	FOST	National Monument	Northeast 	NY	1979	2	0
Fort Stanwix NM	FOST	National Monument	Northeast 	NY	1979	3	0
Fort Stanwix NM	FOST	National Monument	Northeast 	NY	1979	4	2,893
Fort Stanwix NM	FOST	National Monument	Northeast 	NY	1979	5	6,005
Fort Stanwix NM	FOST	National Monument	Northeast 	NY	1979	6	10,142
Fort Stanwix NM	FOST	National Monument	Northeast 	NY	1979	7	16,831
Fort Stanwix NM	FOST	National Monument	Northeast 	NY	1979	8	17,006
Fort Stanwix NM	FOST	National Monument	Northeast 	NY	1979	9	7,578
Fort Stanwix NM	FOST	National Monument	Northeast 	NY	1979	10	5,066
Fort Stanwix NM	FOST	National Monument	Northeast 	NY	1979	11	2,030
Fort Stanwix NM	FOST	National Monument	Northeast 	NY	1979	12	737
Fort Stanwix NM	FOST	National Monument	Northeast 	NY	1980	1	0
Fort Stanwix NM	FOST	National Monument	Northeast 	NY	1980	2	0
Fort Stanwix NM	FOST	National Monument	Northeast 	NY	1980	3	0
Fort Stanwix NM	FOST	National Monument	Northeast 	NY	1980	4	4,504
Fort Stanwix NM	FOST	National Monument	Northeast 	NY	1980	5	6,827
Fort Stanwix NM	FOST	National Monument	Northeast 	NY	1980	6	9,735
Fort Stanwix NM	FOST	National Monument	Northeast 	NY	1980	7	16,924
Fort Stanwix NM	FOST	National Monument	Northeast 	NY	1980	8	17,251
Fort Stanwix NM	FOST	National Monument	Northeast 	NY	1980	9	4,743
Fort Stanwix NM	FOST	National Monument	Northeast 	NY	1980	10	3,646
Fort Stanwix NM	FOST	National Monument	Northeast 	NY	1980	11	918
Fort Stanwix NM	FOST	National Monument	Northeast 	NY	1980	12	427
Fort Stanwix NM	FOST	National Monument	Northeast 	NY	1981	1	0
Fort Stanwix NM	FOST	National Monument	Northeast 	NY	1981	2	0
Fort Stanwix NM	FOST	National Monument	Northeast 	NY	1981	3	35
Fort Stanwix NM	FOST	National Monument	Northeast 	NY	1981	4	2,989
Fort Stanwix NM	FOST	National Monument	Northeast 	NY	1981	5	6,738
Fort Stanwix NM	FOST	National Monument	Northeast 	NY	1981	6	9,656
Fort Stanwix NM	FOST	National Monument	Northeast 	NY	1981	7	13,958
Fort Stanwix NM	FOST	National Monument	Northeast 	NY	1981	8	13,463
Fort Stanwix NM	FOST	National Monument	Northeast 	NY	1981	9	4,418
Fort Stanwix NM	FOST	National Monument	Northeast 	NY	1981	10	6,948
Fort Stanwix NM	FOST	National Monument	Northeast 	NY	1981	11	1,877
Fort Stanwix NM	FOST	National Monument	Northeast 	NY	1981	12	614
Fort Stanwix NM	FOST	National Monument	Northeast 	NY	1982	1	0
Fort Stanwix NM	FOST	National Monument	Northeast 	NY	1982	2	0
Fort Stanwix NM	FOST	National Monument	Northeast 	NY	1982	3	0
Fort Stanwix NM	FOST	National Monument	Northeast 	NY	1982	4	2,991
Fort Stanwix NM	FOST	National Monument	Northeast 	NY	1982	5	6,128
Fort Stanwix NM	FOST	National Monument	Northeast 	NY	1982	6	9,909
Fort Stanwix NM	FOST	National Monument	Northeast 	NY	1982	7	13,904
Fort Stanwix NM	FOST	National Monument	Northeast 	NY	1982	8	17,344
Fort Stanwix NM	FOST	National Monument	Northeast 	NY	1982	9	7,263
Fort Stanwix NM	FOST	National Monument	Northeast 	NY	1982	10	6,481
Fort Stanwix NM	FOST	National Monument	Northeast 	NY	1982	11	1,687
Fort Stanwix NM	FOST	National Monument	Northeast 	NY	1982	12	888
Fort Stanwix NM	FOST	National Monument	Northeast 	NY	1983	1	0
Fort Stanwix NM	FOST	National Monument	Northeast 	NY	1983	2	0
Fort Stanwix NM	FOST	National Monument	Northeast 	NY	1983	3	0
Fort Stanwix NM	FOST	National Monument	Northeast 	NY	1983	4	2,994
Fort Stanwix NM	FOST	National Monument	Northeast 	NY	1983	5	6,602
Fort Stanwix NM	FOST	National Monument	Northeast 	NY	1983	6	10,497
Fort Stanwix NM	FOST	National Monument	Northeast 	NY	1983	7	13,587
Fort Stanwix NM	FOST	National Monument	Northeast 	NY	1983	8	14,088
Fort Stanwix NM	FOST	National Monument	Northeast 	NY	1983	9	6,507
Fort Stanwix NM	FOST	National Monument	Northeast 	NY	1983	10	6,113
Fort Stanwix NM	FOST	National Monument	Northeast 	NY	1983	11	2,046
Fort Stanwix NM	FOST	National Monument	Northeast 	NY	1983	12	720
Fort Stanwix NM	FOST	National Monument	Northeast 	NY	1984	1	0
