Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Fort Sumter and Fort Moultrie NHP	FOSU	National Historical Park	Southeast 	SC	1979	1	3,854
Fort Sumter and Fort Moultrie NHP	FOSU	National Historical Park	Southeast 	SC	1979	2	3,860
Fort Sumter and Fort Moultrie NHP	FOSU	National Historical Park	Southeast 	SC	1979	3	14,419
Fort Sumter and Fort Moultrie NHP	FOSU	National Historical Park	Southeast 	SC	1979	4	28,923
Fort Sumter and Fort Moultrie NHP	FOSU	National Historical Park	Southeast 	SC	1979	5	20,704
Fort Sumter and Fort Moultrie NHP	FOSU	National Historical Park	Southeast 	SC	1979	6	21,638
Fort Sumter and Fort Moultrie NHP	FOSU	National Historical Park	Southeast 	SC	1979	7	29,485
Fort Sumter and Fort Moultrie NHP	FOSU	National Historical Park	Southeast 	SC	1979	8	27,473
Fort Sumter and Fort Moultrie NHP	FOSU	National Historical Park	Southeast 	SC	1979	9	11,021
Fort Sumter and Fort Moultrie NHP	FOSU	National Historical Park	Southeast 	SC	1979	10	11,090
Fort Sumter and Fort Moultrie NHP	FOSU	National Historical Park	Southeast 	SC	1979	11	7,468
Fort Sumter and Fort Moultrie NHP	FOSU	National Historical Park	Southeast 	SC	1979	12	5,647
Fort Sumter and Fort Moultrie NHP	FOSU	National Historical Park	Southeast 	SC	1980	1	4,113
Fort Sumter and Fort Moultrie NHP	FOSU	National Historical Park	Southeast 	SC	1980	2	5,073
Fort Sumter and Fort Moultrie NHP	FOSU	National Historical Park	Southeast 	SC	1980	3	12,202
Fort Sumter and Fort Moultrie NHP	FOSU	National Historical Park	Southeast 	SC	1980	4	25,545
Fort Sumter and Fort Moultrie NHP	FOSU	National Historical Park	Southeast 	SC	1980	5	23,252
Fort Sumter and Fort Moultrie NHP	FOSU	National Historical Park	Southeast 	SC	1980	6	23,152
Fort Sumter and Fort Moultrie NHP	FOSU	National Historical Park	Southeast 	SC	1980	7	28,664
Fort Sumter and Fort Moultrie NHP	FOSU	National Historical Park	Southeast 	SC	1980	8	27,897
Fort Sumter and Fort Moultrie NHP	FOSU	National Historical Park	Southeast 	SC	1980	9	10,312
Fort Sumter and Fort Moultrie NHP	FOSU	National Historical Park	Southeast 	SC	1980	10	10,634
Fort Sumter and Fort Moultrie NHP	FOSU	National Historical Park	Southeast 	SC	1980	11	7,462
Fort Sumter and Fort Moultrie NHP	FOSU	National Historical Park	Southeast 	SC	1980	12	5,110
Fort Sumter and Fort Moultrie NHP	FOSU	National Historical Park	Southeast 	SC	1981	1	4,960
Fort Sumter and Fort Moultrie NHP	FOSU	National Historical Park	Southeast 	SC	1981	2	5,762
Fort Sumter and Fort Moultrie NHP	FOSU	National Historical Park	Southeast 	SC	1981	3	14,390
Fort Sumter and Fort Moultrie NHP	FOSU	National Historical Park	Southeast 	SC	1981	4	29,740
Fort Sumter and Fort Moultrie NHP	FOSU	National Historical Park	Southeast 	SC	1981	5	26,172
Fort Sumter and Fort Moultrie NHP	FOSU	National Historical Park	Southeast 	SC	1981	6	24,137
Fort Sumter and Fort Moultrie NHP	FOSU	National Historical Park	Southeast 	SC	1981	7	30,391
Fort Sumter and Fort Moultrie NHP	FOSU	National Historical Park	Southeast 	SC	1981	8	28,993
Fort Sumter and Fort Moultrie NHP	FOSU	National Historical Park	Southeast 	SC	1981	9	14,170
Fort Sumter and Fort Moultrie NHP	FOSU	National Historical Park	Southeast 	SC	1981	10	13,456
Fort Sumter and Fort Moultrie NHP	FOSU	National Historical Park	Southeast 	SC	1981	11	9,482
Fort Sumter and Fort Moultrie NHP	FOSU	National Historical Park	Southeast 	SC	1981	12	4,894
Fort Sumter and Fort Moultrie NHP	FOSU	National Historical Park	Southeast 	SC	1982	1	4,644
Fort Sumter and Fort Moultrie NHP	FOSU	National Historical Park	Southeast 	SC	1982	2	6,949
Fort Sumter and Fort Moultrie NHP	FOSU	National Historical Park	Southeast 	SC	1982	3	16,167
Fort Sumter and Fort Moultrie NHP	FOSU	National Historical Park	Southeast 	SC	1982	4	32,910
Fort Sumter and Fort Moultrie NHP	FOSU	National Historical Park	Southeast 	SC	1982	5	26,500
Fort Sumter and Fort Moultrie NHP	FOSU	National Historical Park	Southeast 	SC	1982	6	27,748
Fort Sumter and Fort Moultrie NHP	FOSU	National Historical Park	Southeast 	SC	1982	7	34,285
Fort Sumter and Fort Moultrie NHP	FOSU	National Historical Park	Southeast 	SC	1982	8	29,380
Fort Sumter and Fort Moultrie NHP	FOSU	National Historical Park	Southeast 	SC	1982	9	13,846
Fort Sumter and Fort Moultrie NHP	FOSU	National Historical Park	Southeast 	SC	1982	10	13,625
Fort Sumter and Fort Moultrie NHP	FOSU	National Historical Park	Southeast 	SC	1982	11	7,730
Fort Sumter and Fort Moultrie NHP	FOSU	National Historical Park	Southeast 	SC	1982	12	6,360
Fort Sumter and Fort Moultrie NHP	FOSU	National Historical Park	Southeast 	SC	1983	1	4,269
Fort Sumter and Fort Moultrie NHP	FOSU	National Historical Park	Southeast 	SC	1983	2	6,591
Fort Sumter and Fort Moultrie NHP	FOSU	National Historical Park	Southeast 	SC	1983	3	17,007
Fort Sumter and Fort Moultrie NHP	FOSU	National Historical Park	Southeast 	SC	1983	4	32,014
Fort Sumter and Fort Moultrie NHP	FOSU	National Historical Park	Southeast 	SC	1983	5	29,703
Fort Sumter and Fort Moultrie NHP	FOSU	National Historical Park	Southeast 	SC	1983	6	33,366
Fort Sumter and Fort Moultrie NHP	FOSU	National Historical Park	Southeast 	SC	1983	7	40,116
Fort Sumter and Fort Moultrie NHP	FOSU	National Historical Park	Southeast 	SC	1983	8	32,876
Fort Sumter and Fort Moultrie NHP	FOSU	National Historical Park	Southeast 	SC	1983	9	15,660
Fort Sumter and Fort Moultrie NHP	FOSU	National Historical Park	Southeast 	SC	1983	10	17,622
Fort Sumter and Fort Moultrie NHP	FOSU	National Historical Park	Southeast 	SC	1983	11	9,899
Fort Sumter and Fort Moultrie NHP	FOSU	National Historical Park	Southeast 	SC	1983	12	5,251
