Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Fort Union NM	FOUN	National Monument	Intermountain 	NM	1979	1	142
Fort Union NM	FOUN	National Monument	Intermountain 	NM	1979	2	252
Fort Union NM	FOUN	National Monument	Intermountain 	NM	1979	3	709
Fort Union NM	FOUN	National Monument	Intermountain 	NM	1979	4	908
Fort Union NM	FOUN	National Monument	Intermountain 	NM	1979	5	1,210
Fort Union NM	FOUN	National Monument	Intermountain 	NM	1979	6	1,408
Fort Union NM	FOUN	National Monument	Intermountain 	NM	1979	7	1,831
Fort Union NM	FOUN	National Monument	Intermountain 	NM	1979	8	1,879
Fort Union NM	FOUN	National Monument	Intermountain 	NM	1979	9	817
Fort Union NM	FOUN	National Monument	Intermountain 	NM	1979	10	585
Fort Union NM	FOUN	National Monument	Intermountain 	NM	1979	11	399
Fort Union NM	FOUN	National Monument	Intermountain 	NM	1979	12	295
Fort Union NM	FOUN	National Monument	Intermountain 	NM	1980	1	240
Fort Union NM	FOUN	National Monument	Intermountain 	NM	1980	2	249
Fort Union NM	FOUN	National Monument	Intermountain 	NM	1980	3	653
Fort Union NM	FOUN	National Monument	Intermountain 	NM	1980	4	915
Fort Union NM	FOUN	National Monument	Intermountain 	NM	1980	5	1,178
Fort Union NM	FOUN	National Monument	Intermountain 	NM	1980	6	1,449
Fort Union NM	FOUN	National Monument	Intermountain 	NM	1980	7	1,700
Fort Union NM	FOUN	National Monument	Intermountain 	NM	1980	8	1,516
Fort Union NM	FOUN	National Monument	Intermountain 	NM	1980	9	932
Fort Union NM	FOUN	National Monument	Intermountain 	NM	1980	10	887
Fort Union NM	FOUN	National Monument	Intermountain 	NM	1980	11	366
Fort Union NM	FOUN	National Monument	Intermountain 	NM	1980	12	702
Fort Union NM	FOUN	National Monument	Intermountain 	NM	1981	1	433
Fort Union NM	FOUN	National Monument	Intermountain 	NM	1981	2	414
Fort Union NM	FOUN	National Monument	Intermountain 	NM	1981	3	631
Fort Union NM	FOUN	National Monument	Intermountain 	NM	1981	4	707
Fort Union NM	FOUN	National Monument	Intermountain 	NM	1981	5	1,155
Fort Union NM	FOUN	National Monument	Intermountain 	NM	1981	6	1,433
Fort Union NM	FOUN	National Monument	Intermountain 	NM	1981	7	2,356
Fort Union NM	FOUN	National Monument	Intermountain 	NM	1981	8	1,648
Fort Union NM	FOUN	National Monument	Intermountain 	NM	1981	9	965
Fort Union NM	FOUN	National Monument	Intermountain 	NM	1981	10	820
Fort Union NM	FOUN	National Monument	Intermountain 	NM	1981	11	517
Fort Union NM	FOUN	National Monument	Intermountain 	NM	1981	12	641
Fort Union NM	FOUN	National Monument	Intermountain 	NM	1982	1	204
Fort Union NM	FOUN	National Monument	Intermountain 	NM	1982	2	312
Fort Union NM	FOUN	National Monument	Intermountain 	NM	1982	3	815
Fort Union NM	FOUN	National Monument	Intermountain 	NM	1982	4	801
Fort Union NM	FOUN	National Monument	Intermountain 	NM	1982	5	1,373
Fort Union NM	FOUN	National Monument	Intermountain 	NM	1982	6	1,635
Fort Union NM	FOUN	National Monument	Intermountain 	NM	1982	7	2,379
Fort Union NM	FOUN	National Monument	Intermountain 	NM	1982	8	1,815
Fort Union NM	FOUN	National Monument	Intermountain 	NM	1982	9	1,032
Fort Union NM	FOUN	National Monument	Intermountain 	NM	1982	10	992
Fort Union NM	FOUN	National Monument	Intermountain 	NM	1982	11	574
Fort Union NM	FOUN	National Monument	Intermountain 	NM	1982	12	244
Fort Union NM	FOUN	National Monument	Intermountain 	NM	1983	1	276
Fort Union NM	FOUN	National Monument	Intermountain 	NM	1983	2	260
Fort Union NM	FOUN	National Monument	Intermountain 	NM	1983	3	745
Fort Union NM	FOUN	National Monument	Intermountain 	NM	1983	4	664
Fort Union NM	FOUN	National Monument	Intermountain 	NM	1983	5	1,572
Fort Union NM	FOUN	National Monument	Intermountain 	NM	1983	6	1,759
Fort Union NM	FOUN	National Monument	Intermountain 	NM	1983	7	2,271
Fort Union NM	FOUN	National Monument	Intermountain 	NM	1983	8	2,121
Fort Union NM	FOUN	National Monument	Intermountain 	NM	1983	9	1,178
Fort Union NM	FOUN	National Monument	Intermountain 	NM	1983	10	860
Fort Union NM	FOUN	National Monument	Intermountain 	NM	1983	11	523
Fort Union NM	FOUN	National Monument	Intermountain 	NM	1983	12	184
Fort Union NM	FOUN	National Monument	Intermountain 	NM	1984	1	211
Fort Union NM	FOUN	National Monument	Intermountain 	NM	1984	2	365
Fort Union NM	FOUN	National Monument	Intermountain 	NM	1984	3	825
Fort Union NM	FOUN	National Monument	Intermountain 	NM	1984	4	672
Fort Union NM	FOUN	National Monument	Intermountain 	NM	1984	5	1,341
Fort Union NM	FOUN	National Monument	Intermountain 	NM	1984	6	1,744
Fort Union NM	FOUN	National Monument	Intermountain 	NM	1984	7	3,667
Fort Union NM	FOUN	National Monument	Intermountain 	NM	1984	8	1,898
Fort Union NM	FOUN	National Monument	Intermountain 	NM	1984	9	1,050
Fort Union NM	FOUN	National Monument	Intermountain 	NM	1984	10	572
Fort Union NM	FOUN	National Monument	Intermountain 	NM	1984	11	392
Fort Union NM	FOUN	National Monument	Intermountain 	NM	1984	12	368
Fort Union NM	FOUN	National Monument	Intermountain 	NM	1985	1	212
Fort Union NM	FOUN	National Monument	Intermountain 	NM	1985	2	333
Fort Union NM	FOUN	National Monument	Intermountain 	NM	1985	3	596
Fort Union NM	FOUN	National Monument	Intermountain 	NM	1985	4	967
Fort Union NM	FOUN	National Monument	Intermountain 	NM	1985	5	1,422
Fort Union NM	FOUN	National Monument	Intermountain 	NM	1985	6	1,598
Fort Union NM	FOUN	National Monument	Intermountain 	NM	1985	7	3,238
Fort Union NM	FOUN	National Monument	Intermountain 	NM	1985	8	2,052
Fort Union NM	FOUN	National Monument	Intermountain 	NM	1985	9	1,103
Fort Union NM	FOUN	National Monument	Intermountain 	NM	1985	10	929
Fort Union NM	FOUN	National Monument	Intermountain 	NM	1985	11	456
Fort Union NM	FOUN	National Monument	Intermountain 	NM	1985	12	456
Fort Union NM	FOUN	National Monument	Intermountain 	NM	1986	1	448
Fort Union NM	FOUN	National Monument	Intermountain 	NM	1986	2	353
Fort Union NM	FOUN	National Monument	Intermountain 	NM	1986	3	1,126
Fort Union NM	FOUN	National Monument	Intermountain 	NM	1986	4	669
Fort Union NM	FOUN	National Monument	Intermountain 	NM	1986	5	1,354
Fort Union NM	FOUN	National Monument	Intermountain 	NM	1986	6	1,717
Fort Union NM	FOUN	National Monument	Intermountain 	NM	1986	7	2,907
Fort Union NM	FOUN	National Monument	Intermountain 	NM	1986	8	2,045
Fort Union NM	FOUN	National Monument	Intermountain 	NM	1986	9	1,151
Fort Union NM	FOUN	National Monument	Intermountain 	NM	1986	10	929
Fort Union NM	FOUN	National Monument	Intermountain 	NM	1986	11	387
Fort Union NM	FOUN	National Monument	Intermountain 	NM	1986	12	355
Fort Union NM	FOUN	National Monument	Intermountain 	NM	1987	1	268
Fort Union NM	FOUN	National Monument	Intermountain 	NM	1987	2	304
Fort Union NM	FOUN	National Monument	Intermountain 	NM	1987	3	848
Fort Union NM	FOUN	National Monument	Intermountain 	NM	1987	4	834
