Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Fort Union Trading Post NHS	FOUS	National Historic Site	Midwest 	ND	1979	1	18
Fort Union Trading Post NHS	FOUS	National Historic Site	Midwest 	ND	1979	2	50
Fort Union Trading Post NHS	FOUS	National Historic Site	Midwest 	ND	1979	3	24
Fort Union Trading Post NHS	FOUS	National Historic Site	Midwest 	ND	1979	4	60
Fort Union Trading Post NHS	FOUS	National Historic Site	Midwest 	ND	1979	5	644
Fort Union Trading Post NHS	FOUS	National Historic Site	Midwest 	ND	1979	6	1,305
Fort Union Trading Post NHS	FOUS	National Historic Site	Midwest 	ND	1979	7	1,512
Fort Union Trading Post NHS	FOUS	National Historic Site	Midwest 	ND	1979	8	1,532
Fort Union Trading Post NHS	FOUS	National Historic Site	Midwest 	ND	1979	9	805
Fort Union Trading Post NHS	FOUS	National Historic Site	Midwest 	ND	1979	10	205
Fort Union Trading Post NHS	FOUS	National Historic Site	Midwest 	ND	1979	11	128
Fort Union Trading Post NHS	FOUS	National Historic Site	Midwest 	ND	1979	12	85
Fort Union Trading Post NHS	FOUS	National Historic Site	Midwest 	ND	1980	1	33
Fort Union Trading Post NHS	FOUS	National Historic Site	Midwest 	ND	1980	2	20
Fort Union Trading Post NHS	FOUS	National Historic Site	Midwest 	ND	1980	3	210
Fort Union Trading Post NHS	FOUS	National Historic Site	Midwest 	ND	1980	4	420
Fort Union Trading Post NHS	FOUS	National Historic Site	Midwest 	ND	1980	5	1,477
Fort Union Trading Post NHS	FOUS	National Historic Site	Midwest 	ND	1980	6	1,772
Fort Union Trading Post NHS	FOUS	National Historic Site	Midwest 	ND	1980	7	1,896
Fort Union Trading Post NHS	FOUS	National Historic Site	Midwest 	ND	1980	8	1,472
Fort Union Trading Post NHS	FOUS	National Historic Site	Midwest 	ND	1980	9	634
Fort Union Trading Post NHS	FOUS	National Historic Site	Midwest 	ND	1980	10	437
Fort Union Trading Post NHS	FOUS	National Historic Site	Midwest 	ND	1980	11	120
Fort Union Trading Post NHS	FOUS	National Historic Site	Midwest 	ND	1980	12	29
Fort Union Trading Post NHS	FOUS	National Historic Site	Midwest 	ND	1981	1	68
Fort Union Trading Post NHS	FOUS	National Historic Site	Midwest 	ND	1981	2	102
Fort Union Trading Post NHS	FOUS	National Historic Site	Midwest 	ND	1981	3	337
Fort Union Trading Post NHS	FOUS	National Historic Site	Midwest 	ND	1981	4	386
Fort Union Trading Post NHS	FOUS	National Historic Site	Midwest 	ND	1981	5	1,342
Fort Union Trading Post NHS	FOUS	National Historic Site	Midwest 	ND	1981	6	1,506
Fort Union Trading Post NHS	FOUS	National Historic Site	Midwest 	ND	1981	7	1,922
Fort Union Trading Post NHS	FOUS	National Historic Site	Midwest 	ND	1981	8	1,514
Fort Union Trading Post NHS	FOUS	National Historic Site	Midwest 	ND	1981	9	1,171
Fort Union Trading Post NHS	FOUS	National Historic Site	Midwest 	ND	1981	10	488
Fort Union Trading Post NHS	FOUS	National Historic Site	Midwest 	ND	1981	11	212
Fort Union Trading Post NHS	FOUS	National Historic Site	Midwest 	ND	1981	12	91
Fort Union Trading Post NHS	FOUS	National Historic Site	Midwest 	ND	1982	1	72
Fort Union Trading Post NHS	FOUS	National Historic Site	Midwest 	ND	1982	2	68
Fort Union Trading Post NHS	FOUS	National Historic Site	Midwest 	ND	1982	3	89
Fort Union Trading Post NHS	FOUS	National Historic Site	Midwest 	ND	1982	4	241
Fort Union Trading Post NHS	FOUS	National Historic Site	Midwest 	ND	1982	5	861
Fort Union Trading Post NHS	FOUS	National Historic Site	Midwest 	ND	1982	6	1,106
Fort Union Trading Post NHS	FOUS	National Historic Site	Midwest 	ND	1982	7	1,778
Fort Union Trading Post NHS	FOUS	National Historic Site	Midwest 	ND	1982	8	1,614
Fort Union Trading Post NHS	FOUS	National Historic Site	Midwest 	ND	1982	9	1,188
Fort Union Trading Post NHS	FOUS	National Historic Site	Midwest 	ND	1982	10	182
Fort Union Trading Post NHS	FOUS	National Historic Site	Midwest 	ND	1982	11	149
Fort Union Trading Post NHS	FOUS	National Historic Site	Midwest 	ND	1982	12	33
Fort Union Trading Post NHS	FOUS	National Historic Site	Midwest 	ND	1983	1	131
Fort Union Trading Post NHS	FOUS	National Historic Site	Midwest 	ND	1983	2	72
Fort Union Trading Post NHS	FOUS	National Historic Site	Midwest 	ND	1983	3	101
Fort Union Trading Post NHS	FOUS	National Historic Site	Midwest 	ND	1983	4	299
Fort Union Trading Post NHS	FOUS	National Historic Site	Midwest 	ND	1983	5	1,155
Fort Union Trading Post NHS	FOUS	National Historic Site	Midwest 	ND	1983	6	1,180
Fort Union Trading Post NHS	FOUS	National Historic Site	Midwest 	ND	1983	7	4,144
Fort Union Trading Post NHS	FOUS	National Historic Site	Midwest 	ND	1983	8	1,353
Fort Union Trading Post NHS	FOUS	National Historic Site	Midwest 	ND	1983	9	923
Fort Union Trading Post NHS	FOUS	National Historic Site	Midwest 	ND	1983	10	411
Fort Union Trading Post NHS	FOUS	National Historic Site	Midwest 	ND	1983	11	100
Fort Union Trading Post NHS	FOUS	National Historic Site	Midwest 	ND	1983	12	48
Fort Union Trading Post NHS	FOUS	National Historic Site	Midwest 	ND	1984	1	33
Fort Union Trading Post NHS	FOUS	National Historic Site	Midwest 	ND	1984	2	127
Fort Union Trading Post NHS	FOUS	National Historic Site	Midwest 	ND	1984	3	90
Fort Union Trading Post NHS	FOUS	National Historic Site	Midwest 	ND	1984	4	210
Fort Union Trading Post NHS	FOUS	National Historic Site	Midwest 	ND	1984	5	1,043
Fort Union Trading Post NHS	FOUS	National Historic Site	Midwest 	ND	1984	6	1,865
Fort Union Trading Post NHS	FOUS	National Historic Site	Midwest 	ND	1984	7	5,547
Fort Union Trading Post NHS	FOUS	National Historic Site	Midwest 	ND	1984	8	2,133
Fort Union Trading Post NHS	FOUS	National Historic Site	Midwest 	ND	1984	9	1,261
Fort Union Trading Post NHS	FOUS	National Historic Site	Midwest 	ND	1984	10	318
Fort Union Trading Post NHS	FOUS	National Historic Site	Midwest 	ND	1984	11	182
Fort Union Trading Post NHS	FOUS	National Historic Site	Midwest 	ND	1984	12	77
Fort Union Trading Post NHS	FOUS	National Historic Site	Midwest 	ND	1985	1	59
Fort Union Trading Post NHS	FOUS	National Historic Site	Midwest 	ND	1985	2	94
Fort Union Trading Post NHS	FOUS	National Historic Site	Midwest 	ND	1985	3	201
Fort Union Trading Post NHS	FOUS	National Historic Site	Midwest 	ND	1985	4	343
Fort Union Trading Post NHS	FOUS	National Historic Site	Midwest 	ND	1985	5	1,522
Fort Union Trading Post NHS	FOUS	National Historic Site	Midwest 	ND	1985	6	2,681
Fort Union Trading Post NHS	FOUS	National Historic Site	Midwest 	ND	1985	7	6,647
Fort Union Trading Post NHS	FOUS	National Historic Site	Midwest 	ND	1985	8	1,786
Fort Union Trading Post NHS	FOUS	National Historic Site	Midwest 	ND	1985	9	1,094
