Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Fort Vancouver NHS	FOVA	National Historic Site	Pacific West 	WA	1979	1	3,450
Fort Vancouver NHS	FOVA	National Historic Site	Pacific West 	WA	1979	2	7,480
Fort Vancouver NHS	FOVA	National Historic Site	Pacific West 	WA	1979	3	14,626
Fort Vancouver NHS	FOVA	National Historic Site	Pacific West 	WA	1979	4	15,657
Fort Vancouver NHS	FOVA	National Historic Site	Pacific West 	WA	1979	5	20,377
Fort Vancouver NHS	FOVA	National Historic Site	Pacific West 	WA	1979	6	18,032
Fort Vancouver NHS	FOVA	National Historic Site	Pacific West 	WA	1979	7	23,300
Fort Vancouver NHS	FOVA	National Historic Site	Pacific West 	WA	1979	8	20,380
Fort Vancouver NHS	FOVA	National Historic Site	Pacific West 	WA	1979	9	9,806
Fort Vancouver NHS	FOVA	National Historic Site	Pacific West 	WA	1979	10	9,721
Fort Vancouver NHS	FOVA	National Historic Site	Pacific West 	WA	1979	11	8,711
Fort Vancouver NHS	FOVA	National Historic Site	Pacific West 	WA	1979	12	5,209
Fort Vancouver NHS	FOVA	National Historic Site	Pacific West 	WA	1980	1	4,516
Fort Vancouver NHS	FOVA	National Historic Site	Pacific West 	WA	1980	2	7,769
Fort Vancouver NHS	FOVA	National Historic Site	Pacific West 	WA	1980	3	12,464
Fort Vancouver NHS	FOVA	National Historic Site	Pacific West 	WA	1980	4	19,197
Fort Vancouver NHS	FOVA	National Historic Site	Pacific West 	WA	1980	5	20,326
Fort Vancouver NHS	FOVA	National Historic Site	Pacific West 	WA	1980	6	17,186
Fort Vancouver NHS	FOVA	National Historic Site	Pacific West 	WA	1980	7	20,989
Fort Vancouver NHS	FOVA	National Historic Site	Pacific West 	WA	1980	8	22,456
Fort Vancouver NHS	FOVA	National Historic Site	Pacific West 	WA	1980	9	11,231
Fort Vancouver NHS	FOVA	National Historic Site	Pacific West 	WA	1980	10	10,226
Fort Vancouver NHS	FOVA	National Historic Site	Pacific West 	WA	1980	11	7,765
Fort Vancouver NHS	FOVA	National Historic Site	Pacific West 	WA	1980	12	8,017
Fort Vancouver NHS	FOVA	National Historic Site	Pacific West 	WA	1981	1	7,835
Fort Vancouver NHS	FOVA	National Historic Site	Pacific West 	WA	1981	2	9,532
Fort Vancouver NHS	FOVA	National Historic Site	Pacific West 	WA	1981	3	14,834
Fort Vancouver NHS	FOVA	National Historic Site	Pacific West 	WA	1981	4	21,042
Fort Vancouver NHS	FOVA	National Historic Site	Pacific West 	WA	1981	5	23,840
Fort Vancouver NHS	FOVA	National Historic Site	Pacific West 	WA	1981	6	22,286
Fort Vancouver NHS	FOVA	National Historic Site	Pacific West 	WA	1981	7	64,606
Fort Vancouver NHS	FOVA	National Historic Site	Pacific West 	WA	1981	8	26,781
Fort Vancouver NHS	FOVA	National Historic Site	Pacific West 	WA	1981	9	16,711
Fort Vancouver NHS	FOVA	National Historic Site	Pacific West 	WA	1981	10	8,408
Fort Vancouver NHS	FOVA	National Historic Site	Pacific West 	WA	1981	11	9,415
Fort Vancouver NHS	FOVA	National Historic Site	Pacific West 	WA	1981	12	5,934
Fort Vancouver NHS	FOVA	National Historic Site	Pacific West 	WA	1982	1	6,064
Fort Vancouver NHS	FOVA	National Historic Site	Pacific West 	WA	1982	2	8,470
Fort Vancouver NHS	FOVA	National Historic Site	Pacific West 	WA	1982	3	13,485
Fort Vancouver NHS	FOVA	National Historic Site	Pacific West 	WA	1982	4	18,824
Fort Vancouver NHS	FOVA	National Historic Site	Pacific West 	WA	1982	5	26,514
Fort Vancouver NHS	FOVA	National Historic Site	Pacific West 	WA	1982	6	21,404
Fort Vancouver NHS	FOVA	National Historic Site	Pacific West 	WA	1982	7	51,765
Fort Vancouver NHS	FOVA	National Historic Site	Pacific West 	WA	1982	8	19,776
Fort Vancouver NHS	FOVA	National Historic Site	Pacific West 	WA	1982	9	10,881
Fort Vancouver NHS	FOVA	National Historic Site	Pacific West 	WA	1982	10	10,463
Fort Vancouver NHS	FOVA	National Historic Site	Pacific West 	WA	1982	11	8,367
Fort Vancouver NHS	FOVA	National Historic Site	Pacific West 	WA	1982	12	5,340
Fort Vancouver NHS	FOVA	National Historic Site	Pacific West 	WA	1983	1	9,904
Fort Vancouver NHS	FOVA	National Historic Site	Pacific West 	WA	1983	2	8,924
Fort Vancouver NHS	FOVA	National Historic Site	Pacific West 	WA	1983	3	13,790
Fort Vancouver NHS	FOVA	National Historic Site	Pacific West 	WA	1983	4	20,202
Fort Vancouver NHS	FOVA	National Historic Site	Pacific West 	WA	1983	5	23,072
Fort Vancouver NHS	FOVA	National Historic Site	Pacific West 	WA	1983	6	24,096
Fort Vancouver NHS	FOVA	National Historic Site	Pacific West 	WA	1983	7	66,391
Fort Vancouver NHS	FOVA	National Historic Site	Pacific West 	WA	1983	8	25,923
Fort Vancouver NHS	FOVA	National Historic Site	Pacific West 	WA	1983	9	18,073
Fort Vancouver NHS	FOVA	National Historic Site	Pacific West 	WA	1983	10	14,652
Fort Vancouver NHS	FOVA	National Historic Site	Pacific West 	WA	1983	11	10,161
Fort Vancouver NHS	FOVA	National Historic Site	Pacific West 	WA	1983	12	4,462
Fort Vancouver NHS	FOVA	National Historic Site	Pacific West 	WA	1984	1	6,562
Fort Vancouver NHS	FOVA	National Historic Site	Pacific West 	WA	1984	2	8,680
Fort Vancouver NHS	FOVA	National Historic Site	Pacific West 	WA	1984	3	14,642
Fort Vancouver NHS	FOVA	National Historic Site	Pacific West 	WA	1984	4	22,672
Fort Vancouver NHS	FOVA	National Historic Site	Pacific West 	WA	1984	5	26,646
Fort Vancouver NHS	FOVA	National Historic Site	Pacific West 	WA	1984	6	27,859
Fort Vancouver NHS	FOVA	National Historic Site	Pacific West 	WA	1984	7	78,737
Fort Vancouver NHS	FOVA	National Historic Site	Pacific West 	WA	1984	8	26,085
Fort Vancouver NHS	FOVA	National Historic Site	Pacific West 	WA	1984	9	20,085
Fort Vancouver NHS	FOVA	National Historic Site	Pacific West 	WA	1984	10	16,897
Fort Vancouver NHS	FOVA	National Historic Site	Pacific West 	WA	1984	11	10,010
Fort Vancouver NHS	FOVA	National Historic Site	Pacific West 	WA	1984	12	6,503
Fort Vancouver NHS	FOVA	National Historic Site	Pacific West 	WA	1985	1	7,861
Fort Vancouver NHS	FOVA	National Historic Site	Pacific West 	WA	1985	2	8,716
Fort Vancouver NHS	FOVA	National Historic Site	Pacific West 	WA	1985	3	16,062
Fort Vancouver NHS	FOVA	National Historic Site	Pacific West 	WA	1985	4	26,525
Fort Vancouver NHS	FOVA	National Historic Site	Pacific West 	WA	1985	5	29,073
Fort Vancouver NHS	FOVA	National Historic Site	Pacific West 	WA	1985	6	26,263
Fort Vancouver NHS	FOVA	National Historic Site	Pacific West 	WA	1985	7	70,115
Fort Vancouver NHS	FOVA	National Historic Site	Pacific West 	WA	1985	8	29,599
