Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Fort Washington Park	FOWA	Park (Other)	National Capital 	MD	1979	1	4,255
Fort Washington Park	FOWA	Park (Other)	National Capital 	MD	1979	2	3,735
Fort Washington Park	FOWA	Park (Other)	National Capital 	MD	1979	3	66,725
Fort Washington Park	FOWA	Park (Other)	National Capital 	MD	1979	4	87,495
Fort Washington Park	FOWA	Park (Other)	National Capital 	MD	1979	5	76,338
Fort Washington Park	FOWA	Park (Other)	National Capital 	MD	1979	6	38,927
Fort Washington Park	FOWA	Park (Other)	National Capital 	MD	1979	7	77,047
Fort Washington Park	FOWA	Park (Other)	National Capital 	MD	1979	8	56,319
Fort Washington Park	FOWA	Park (Other)	National Capital 	MD	1979	9	35,632
Fort Washington Park	FOWA	Park (Other)	National Capital 	MD	1979	10	20,758
Fort Washington Park	FOWA	Park (Other)	National Capital 	MD	1979	11	16,105
Fort Washington Park	FOWA	Park (Other)	National Capital 	MD	1979	12	13,585
Fort Washington Park	FOWA	Park (Other)	National Capital 	MD	1980	1	10,092
Fort Washington Park	FOWA	Park (Other)	National Capital 	MD	1980	2	11,275
Fort Washington Park	FOWA	Park (Other)	National Capital 	MD	1980	3	52,450
Fort Washington Park	FOWA	Park (Other)	National Capital 	MD	1980	4	73,497
Fort Washington Park	FOWA	Park (Other)	National Capital 	MD	1980	5	84,390
Fort Washington Park	FOWA	Park (Other)	National Capital 	MD	1980	6	52,105
Fort Washington Park	FOWA	Park (Other)	National Capital 	MD	1980	7	73,237
Fort Washington Park	FOWA	Park (Other)	National Capital 	MD	1980	8	51,783
Fort Washington Park	FOWA	Park (Other)	National Capital 	MD	1980	9	30,420
Fort Washington Park	FOWA	Park (Other)	National Capital 	MD	1980	10	25,228
Fort Washington Park	FOWA	Park (Other)	National Capital 	MD	1980	11	19,840
Fort Washington Park	FOWA	Park (Other)	National Capital 	MD	1980	12	4,297
Fort Washington Park	FOWA	Park (Other)	National Capital 	MD	1981	1	4,123
Fort Washington Park	FOWA	Park (Other)	National Capital 	MD	1981	2	10,427
Fort Washington Park	FOWA	Park (Other)	National Capital 	MD	1981	3	35,046
Fort Washington Park	FOWA	Park (Other)	National Capital 	MD	1981	4	41,426
Fort Washington Park	FOWA	Park (Other)	National Capital 	MD	1981	5	55,113
Fort Washington Park	FOWA	Park (Other)	National Capital 	MD	1981	6	37,920
Fort Washington Park	FOWA	Park (Other)	National Capital 	MD	1981	7	55,775
Fort Washington Park	FOWA	Park (Other)	National Capital 	MD	1981	8	39,623
Fort Washington Park	FOWA	Park (Other)	National Capital 	MD	1981	9	22,514
Fort Washington Park	FOWA	Park (Other)	National Capital 	MD	1981	10	15,137
Fort Washington Park	FOWA	Park (Other)	National Capital 	MD	1981	11	14,356
Fort Washington Park	FOWA	Park (Other)	National Capital 	MD	1981	12	3,407
Fort Washington Park	FOWA	Park (Other)	National Capital 	MD	1982	1	2,316
Fort Washington Park	FOWA	Park (Other)	National Capital 	MD	1982	2	8,701
Fort Washington Park	FOWA	Park (Other)	National Capital 	MD	1982	3	23,109
Fort Washington Park	FOWA	Park (Other)	National Capital 	MD	1982	4	43,937
Fort Washington Park	FOWA	Park (Other)	National Capital 	MD	1982	5	51,333
