Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Fossil Butte NM	FOBU	National Monument	Intermountain 	WY	1979	1	12
Fossil Butte NM	FOBU	National Monument	Intermountain 	WY	1979	2	22
Fossil Butte NM	FOBU	National Monument	Intermountain 	WY	1979	3	38
Fossil Butte NM	FOBU	National Monument	Intermountain 	WY	1979	4	348
Fossil Butte NM	FOBU	National Monument	Intermountain 	WY	1979	5	1,055
Fossil Butte NM	FOBU	National Monument	Intermountain 	WY	1979	6	2,100
Fossil Butte NM	FOBU	National Monument	Intermountain 	WY	1979	7	3,454
Fossil Butte NM	FOBU	National Monument	Intermountain 	WY	1979	8	3,604
Fossil Butte NM	FOBU	National Monument	Intermountain 	WY	1979	9	1,687
Fossil Butte NM	FOBU	National Monument	Intermountain 	WY	1979	10	1,200
Fossil Butte NM	FOBU	National Monument	Intermountain 	WY	1979	11	110
Fossil Butte NM	FOBU	National Monument	Intermountain 	WY	1979	12	39
Fossil Butte NM	FOBU	National Monument	Intermountain 	WY	1980	1	12
Fossil Butte NM	FOBU	National Monument	Intermountain 	WY	1980	2	48
Fossil Butte NM	FOBU	National Monument	Intermountain 	WY	1980	3	20
Fossil Butte NM	FOBU	National Monument	Intermountain 	WY	1980	4	85
Fossil Butte NM	FOBU	National Monument	Intermountain 	WY	1980	5	434
Fossil Butte NM	FOBU	National Monument	Intermountain 	WY	1980	6	2,245
Fossil Butte NM	FOBU	National Monument	Intermountain 	WY	1980	7	2,737
Fossil Butte NM	FOBU	National Monument	Intermountain 	WY	1980	8	2,810
Fossil Butte NM	FOBU	National Monument	Intermountain 	WY	1980	9	1,099
Fossil Butte NM	FOBU	National Monument	Intermountain 	WY	1980	10	1,150
Fossil Butte NM	FOBU	National Monument	Intermountain 	WY	1980	11	105
Fossil Butte NM	FOBU	National Monument	Intermountain 	WY	1980	12	78
Fossil Butte NM	FOBU	National Monument	Intermountain 	WY	1981	1	93
Fossil Butte NM	FOBU	National Monument	Intermountain 	WY	1981	2	114
Fossil Butte NM	FOBU	National Monument	Intermountain 	WY	1981	3	127
Fossil Butte NM	FOBU	National Monument	Intermountain 	WY	1981	4	187
Fossil Butte NM	FOBU	National Monument	Intermountain 	WY	1981	5	1,396
Fossil Butte NM	FOBU	National Monument	Intermountain 	WY	1981	6	2,128
Fossil Butte NM	FOBU	National Monument	Intermountain 	WY	1981	7	3,128
Fossil Butte NM	FOBU	National Monument	Intermountain 	WY	1981	8	2,550
Fossil Butte NM	FOBU	National Monument	Intermountain 	WY	1981	9	1,770
Fossil Butte NM	FOBU	National Monument	Intermountain 	WY	1981	10	495
Fossil Butte NM	FOBU	National Monument	Intermountain 	WY	1981	11	362
Fossil Butte NM	FOBU	National Monument	Intermountain 	WY	1981	12	81
Fossil Butte NM	FOBU	National Monument	Intermountain 	WY	1982	1	51
Fossil Butte NM	FOBU	National Monument	Intermountain 	WY	1982	2	136
Fossil Butte NM	FOBU	National Monument	Intermountain 	WY	1982	3	385
Fossil Butte NM	FOBU	National Monument	Intermountain 	WY	1982	4	405
Fossil Butte NM	FOBU	National Monument	Intermountain 	WY	1982	5	1,399
Fossil Butte NM	FOBU	National Monument	Intermountain 	WY	1982	6	4,157
Fossil Butte NM	FOBU	National Monument	Intermountain 	WY	1982	7	4,857
Fossil Butte NM	FOBU	National Monument	Intermountain 	WY	1982	8	3,146
Fossil Butte NM	FOBU	National Monument	Intermountain 	WY	1982	9	1,298
Fossil Butte NM	FOBU	National Monument	Intermountain 	WY	1982	10	865
Fossil Butte NM	FOBU	National Monument	Intermountain 	WY	1982	11	459
Fossil Butte NM	FOBU	National Monument	Intermountain 	WY	1982	12	235
Fossil Butte NM	FOBU	National Monument	Intermountain 	WY	1983	1	94
Fossil Butte NM	FOBU	National Monument	Intermountain 	WY	1983	2	150
Fossil Butte NM	FOBU	National Monument	Intermountain 	WY	1983	3	342
Fossil Butte NM	FOBU	National Monument	Intermountain 	WY	1983	4	396
Fossil Butte NM	FOBU	National Monument	Intermountain 	WY	1983	5	677
Fossil Butte NM	FOBU	National Monument	Intermountain 	WY	1983	6	3,188
Fossil Butte NM	FOBU	National Monument	Intermountain 	WY	1983	7	3,660
Fossil Butte NM	FOBU	National Monument	Intermountain 	WY	1983	8	3,468
Fossil Butte NM	FOBU	National Monument	Intermountain 	WY	1983	9	1,749
Fossil Butte NM	FOBU	National Monument	Intermountain 	WY	1983	10	2,209
Fossil Butte NM	FOBU	National Monument	Intermountain 	WY	1983	11	249
Fossil Butte NM	FOBU	National Monument	Intermountain 	WY	1983	12	220
Fossil Butte NM	FOBU	National Monument	Intermountain 	WY	1984	1	59
Fossil Butte NM	FOBU	National Monument	Intermountain 	WY	1984	2	48
Fossil Butte NM	FOBU	National Monument	Intermountain 	WY	1984	3	65
Fossil Butte NM	FOBU	National Monument	Intermountain 	WY	1984	4	409
Fossil Butte NM	FOBU	National Monument	Intermountain 	WY	1984	5	882
Fossil Butte NM	FOBU	National Monument	Intermountain 	WY	1984	6	2,810
Fossil Butte NM	FOBU	National Monument	Intermountain 	WY	1984	7	3,731
Fossil Butte NM	FOBU	National Monument	Intermountain 	WY	1984	8	3,882
Fossil Butte NM	FOBU	National Monument	Intermountain 	WY	1984	9	1,258
Fossil Butte NM	FOBU	National Monument	Intermountain 	WY	1984	10	738
Fossil Butte NM	FOBU	National Monument	Intermountain 	WY	1984	11	768
Fossil Butte NM	FOBU	National Monument	Intermountain 	WY	1984	12	121
Fossil Butte NM	FOBU	National Monument	Intermountain 	WY	1985	1	20
Fossil Butte NM	FOBU	National Monument	Intermountain 	WY	1985	2	8
Fossil Butte NM	FOBU	National Monument	Intermountain 	WY	1985	3	25
Fossil Butte NM	FOBU	National Monument	Intermountain 	WY	1985	4	136
Fossil Butte NM	FOBU	National Monument	Intermountain 	WY	1985	5	1,121
Fossil Butte NM	FOBU	National Monument	Intermountain 	WY	1985	6	2,880
Fossil Butte NM	FOBU	National Monument	Intermountain 	WY	1985	7	3,937
Fossil Butte NM	FOBU	National Monument	Intermountain 	WY	1985	8	4,199
Fossil Butte NM	FOBU	National Monument	Intermountain 	WY	1985	9	2,144
Fossil Butte NM	FOBU	National Monument	Intermountain 	WY	1985	10	804
Fossil Butte NM	FOBU	National Monument	Intermountain 	WY	1985	11	233
Fossil Butte NM	FOBU	National Monument	Intermountain 	WY	1985	12	78
Fossil Butte NM	FOBU	National Monument	Intermountain 	WY	1986	1	36
Fossil Butte NM	FOBU	National Monument	Intermountain 	WY	1986	2	12
Fossil Butte NM	FOBU	National Monument	Intermountain 	WY	1986	3	43
Fossil Butte NM	FOBU	National Monument	Intermountain 	WY	1986	4	64
Fossil Butte NM	FOBU	National Monument	Intermountain 	WY	1986	5	1,409
Fossil Butte NM	FOBU	National Monument	Intermountain 	WY	1986	6	2,733
Fossil Butte NM	FOBU	National Monument	Intermountain 	WY	1986	7	4,268
Fossil Butte NM	FOBU	National Monument	Intermountain 	WY	1986	8	3,859
Fossil Butte NM	FOBU	National Monument	Intermountain 	WY	1986	9	1,833
Fossil Butte NM	FOBU	National Monument	Intermountain 	WY	1986	10	787
Fossil Butte NM	FOBU	National Monument	Intermountain 	WY	1986	11	167
Fossil Butte NM	FOBU	National Monument	Intermountain 	WY	1986	12	70
Fossil Butte NM	FOBU	National Monument	Intermountain 	WY	1987	1	32
Fossil Butte NM	FOBU	National Monument	Intermountain 	WY	1987	2	64
Fossil Butte NM	FOBU	National Monument	Intermountain 	WY	1987	3	108
Fossil Butte NM	FOBU	National Monument	Intermountain 	WY	1987	4	156
Fossil Butte NM	FOBU	National Monument	Intermountain 	WY	1987	5	1,457
Fossil Butte NM	FOBU	National Monument	Intermountain 	WY	1987	6	3,289
Fossil Butte NM	FOBU	National Monument	Intermountain 	WY	1987	7	5,927
Fossil Butte NM	FOBU	National Monument	Intermountain 	WY	1987	8	5,274
Fossil Butte NM	FOBU	National Monument	Intermountain 	WY	1987	9	2,352
Fossil Butte NM	FOBU	National Monument	Intermountain 	WY	1987	10	775
Fossil Butte NM	FOBU	National Monument	Intermountain 	WY	1987	11	134
Fossil Butte NM	FOBU	National Monument	Intermountain 	WY	1987	12	67
Fossil Butte NM	FOBU	National Monument	Intermountain 	WY	1988	1	32
Fossil Butte NM	FOBU	National Monument	Intermountain 	WY	1988	2	50
Fossil Butte NM	FOBU	National Monument	Intermountain 	WY	1988	3	131
