Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Franklin Delano Roosevelt MEM	FRDE	National Memorial	National Capital 	DC	1997	5	537,387
Franklin Delano Roosevelt MEM	FRDE	National Memorial	National Capital 	DC	1997	6	310,652
Franklin Delano Roosevelt MEM	FRDE	National Memorial	National Capital 	DC	1997	7	275,572
Franklin Delano Roosevelt MEM	FRDE	National Memorial	National Capital 	DC	1997	8	167,583
Franklin Delano Roosevelt MEM	FRDE	National Memorial	National Capital 	DC	1997	9	145,866
Franklin Delano Roosevelt MEM	FRDE	National Memorial	National Capital 	DC	1997	10	193,578
Franklin Delano Roosevelt MEM	FRDE	National Memorial	National Capital 	DC	1997	11	168,522
Franklin Delano Roosevelt MEM	FRDE	National Memorial	National Capital 	DC	1997	12	126,698
Franklin Delano Roosevelt MEM	FRDE	National Memorial	National Capital 	DC	1998	1	117,922
Franklin Delano Roosevelt MEM	FRDE	National Memorial	National Capital 	DC	1998	2	154,592
Franklin Delano Roosevelt MEM	FRDE	National Memorial	National Capital 	DC	1998	3	664,906
Franklin Delano Roosevelt MEM	FRDE	National Memorial	National Capital 	DC	1998	4	567,714
Franklin Delano Roosevelt MEM	FRDE	National Memorial	National Capital 	DC	1998	5	568,244
Franklin Delano Roosevelt MEM	FRDE	National Memorial	National Capital 	DC	1998	6	469,526
Franklin Delano Roosevelt MEM	FRDE	National Memorial	National Capital 	DC	1998	7	358,263
Franklin Delano Roosevelt MEM	FRDE	National Memorial	National Capital 	DC	1998	8	363,915
Franklin Delano Roosevelt MEM	FRDE	National Memorial	National Capital 	DC	1998	9	253,611
Franklin Delano Roosevelt MEM	FRDE	National Memorial	National Capital 	DC	1998	10	341,565
Franklin Delano Roosevelt MEM	FRDE	National Memorial	National Capital 	DC	1998	11	279,807
Franklin Delano Roosevelt MEM	FRDE	National Memorial	National Capital 	DC	1998	12	118,742
Franklin Delano Roosevelt MEM	FRDE	National Memorial	National Capital 	DC	1999	1	83,693
Franklin Delano Roosevelt MEM	FRDE	National Memorial	National Capital 	DC	1999	2	128,298
Franklin Delano Roosevelt MEM	FRDE	National Memorial	National Capital 	DC	1999	3	322,377
Franklin Delano Roosevelt MEM	FRDE	National Memorial	National Capital 	DC	1999	4	602,870
Franklin Delano Roosevelt MEM	FRDE	National Memorial	National Capital 	DC	1999	5	539,202
Franklin Delano Roosevelt MEM	FRDE	National Memorial	National Capital 	DC	1999	6	395,939
Franklin Delano Roosevelt MEM	FRDE	National Memorial	National Capital 	DC	1999	7	304,000
Franklin Delano Roosevelt MEM	FRDE	National Memorial	National Capital 	DC	1999	8	266,295
Franklin Delano Roosevelt MEM	FRDE	National Memorial	National Capital 	DC	1999	9	227,711
Franklin Delano Roosevelt MEM	FRDE	National Memorial	National Capital 	DC	1999	10	306,764
Franklin Delano Roosevelt MEM	FRDE	National Memorial	National Capital 	DC	1999	11	197,312
Franklin Delano Roosevelt MEM	FRDE	National Memorial	National Capital 	DC	1999	12	78,710
Franklin Delano Roosevelt MEM	FRDE	National Memorial	National Capital 	DC	2000	1	70,284
Franklin Delano Roosevelt MEM	FRDE	National Memorial	National Capital 	DC	2000	2	111,390
Franklin Delano Roosevelt MEM	FRDE	National Memorial	National Capital 	DC	2000	3	363,583
Franklin Delano Roosevelt MEM	FRDE	National Memorial	National Capital 	DC	2000	4	458,591
Franklin Delano Roosevelt MEM	FRDE	National Memorial	National Capital 	DC	2000	5	444,323
Franklin Delano Roosevelt MEM	FRDE	National Memorial	National Capital 	DC	2000	6	323,446
Franklin Delano Roosevelt MEM	FRDE	National Memorial	National Capital 	DC	2000	7	293,853
Franklin Delano Roosevelt MEM	FRDE	National Memorial	National Capital 	DC	2000	8	203,092
Franklin Delano Roosevelt MEM	FRDE	National Memorial	National Capital 	DC	2000	9	186,766
Franklin Delano Roosevelt MEM	FRDE	National Memorial	National Capital 	DC	2000	10	232,170
Franklin Delano Roosevelt MEM	FRDE	National Memorial	National Capital 	DC	2000	11	171,649
Franklin Delano Roosevelt MEM	FRDE	National Memorial	National Capital 	DC	2000	12	59,699
Franklin Delano Roosevelt MEM	FRDE	National Memorial	National Capital 	DC	2001	1	97,409
Franklin Delano Roosevelt MEM	FRDE	National Memorial	National Capital 	DC	2001	2	101,429
Franklin Delano Roosevelt MEM	FRDE	National Memorial	National Capital 	DC	2001	3	331,691
Franklin Delano Roosevelt MEM	FRDE	National Memorial	National Capital 	DC	2001	4	554,456
Franklin Delano Roosevelt MEM	FRDE	National Memorial	National Capital 	DC	2001	5	453,558
Franklin Delano Roosevelt MEM	FRDE	National Memorial	National Capital 	DC	2001	6	319,904
Franklin Delano Roosevelt MEM	FRDE	National Memorial	National Capital 	DC	2001	7	325,386
Franklin Delano Roosevelt MEM	FRDE	National Memorial	National Capital 	DC	2001	8	220,233
Franklin Delano Roosevelt MEM	FRDE	National Memorial	National Capital 	DC	2001	9	137,598
Franklin Delano Roosevelt MEM	FRDE	National Memorial	National Capital 	DC	2001	10	139,572
Franklin Delano Roosevelt MEM	FRDE	National Memorial	National Capital 	DC	2001	11	114,185
Franklin Delano Roosevelt MEM	FRDE	National Memorial	National Capital 	DC	2001	12	70,996
Franklin Delano Roosevelt MEM	FRDE	National Memorial	National Capital 	DC	2002	1	63,168
Franklin Delano Roosevelt MEM	FRDE	National Memorial	National Capital 	DC	2002	2	96,555
Franklin Delano Roosevelt MEM	FRDE	National Memorial	National Capital 	DC	2002	3	281,931
Franklin Delano Roosevelt MEM	FRDE	National Memorial	National Capital 	DC	2002	4	421,739
Franklin Delano Roosevelt MEM	FRDE	National Memorial	National Capital 	DC	2002	5	349,845
Franklin Delano Roosevelt MEM	FRDE	National Memorial	National Capital 	DC	2002	6	289,760
Franklin Delano Roosevelt MEM	FRDE	National Memorial	National Capital 	DC	2002	7	253,419
Franklin Delano Roosevelt MEM	FRDE	National Memorial	National Capital 	DC	2002	8	202,987
Franklin Delano Roosevelt MEM	FRDE	National Memorial	National Capital 	DC	2002	9	168,064
Franklin Delano Roosevelt MEM	FRDE	National Memorial	National Capital 	DC	2002	10	162,624
Franklin Delano Roosevelt MEM	FRDE	National Memorial	National Capital 	DC	2002	11	136,864
Franklin Delano Roosevelt MEM	FRDE	National Memorial	National Capital 	DC	2002	12	66,133
Franklin Delano Roosevelt MEM	FRDE	National Memorial	National Capital 	DC	2003	1	52,661
Franklin Delano Roosevelt MEM	FRDE	National Memorial	National Capital 	DC	2003	2	54,293
Franklin Delano Roosevelt MEM	FRDE	National Memorial	National Capital 	DC	2003	3	218,859
Franklin Delano Roosevelt MEM	FRDE	National Memorial	National Capital 	DC	2003	4	326,699
Franklin Delano Roosevelt MEM	FRDE	National Memorial	National Capital 	DC	2003	5	256,651
Franklin Delano Roosevelt MEM	FRDE	National Memorial	National Capital 	DC	2003	6	288,224
Franklin Delano Roosevelt MEM	FRDE	National Memorial	National Capital 	DC	2003	7	214,261
Franklin Delano Roosevelt MEM	FRDE	National Memorial	National Capital 	DC	2003	8	181,504
Franklin Delano Roosevelt MEM	FRDE	National Memorial	National Capital 	DC	2003	9	104,395
Franklin Delano Roosevelt MEM	FRDE	National Memorial	National Capital 	DC	2003	10	196,736
Franklin Delano Roosevelt MEM	FRDE	National Memorial	National Capital 	DC	2003	11	150,944
Franklin Delano Roosevelt MEM	FRDE	National Memorial	National Capital 	DC	2003	12	76,704
Franklin Delano Roosevelt MEM	FRDE	National Memorial	National Capital 	DC	2004	1	51,413
