Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Frederick Douglass NHS	FRDO	National Historic Site	National Capital 	DC	1979	1	1,236
Frederick Douglass NHS	FRDO	National Historic Site	National Capital 	DC	1979	2	1,475
Frederick Douglass NHS	FRDO	National Historic Site	National Capital 	DC	1979	3	3,274
Frederick Douglass NHS	FRDO	National Historic Site	National Capital 	DC	1979	4	2,943
Frederick Douglass NHS	FRDO	National Historic Site	National Capital 	DC	1979	5	3,263
Frederick Douglass NHS	FRDO	National Historic Site	National Capital 	DC	1979	6	4,955
Frederick Douglass NHS	FRDO	National Historic Site	National Capital 	DC	1979	7	4,779
Frederick Douglass NHS	FRDO	National Historic Site	National Capital 	DC	1979	8	4,065
Frederick Douglass NHS	FRDO	National Historic Site	National Capital 	DC	1979	9	2,290
Frederick Douglass NHS	FRDO	National Historic Site	National Capital 	DC	1979	10	2,441
Frederick Douglass NHS	FRDO	National Historic Site	National Capital 	DC	1979	11	1,811
Frederick Douglass NHS	FRDO	National Historic Site	National Capital 	DC	1979	12	1,605
Frederick Douglass NHS	FRDO	National Historic Site	National Capital 	DC	1980	1	1,715
Frederick Douglass NHS	FRDO	National Historic Site	National Capital 	DC	1980	2	6,190
Frederick Douglass NHS	FRDO	National Historic Site	National Capital 	DC	1980	3	3,661
Frederick Douglass NHS	FRDO	National Historic Site	National Capital 	DC	1980	4	4,323
Frederick Douglass NHS	FRDO	National Historic Site	National Capital 	DC	1980	5	4,080
Frederick Douglass NHS	FRDO	National Historic Site	National Capital 	DC	1980	6	3,251
Frederick Douglass NHS	FRDO	National Historic Site	National Capital 	DC	1980	7	4,745
Frederick Douglass NHS	FRDO	National Historic Site	National Capital 	DC	1980	8	4,038
Frederick Douglass NHS	FRDO	National Historic Site	National Capital 	DC	1980	9	2,009
Frederick Douglass NHS	FRDO	National Historic Site	National Capital 	DC	1980	10	1,387
Frederick Douglass NHS	FRDO	National Historic Site	National Capital 	DC	1980	11	2,005
Frederick Douglass NHS	FRDO	National Historic Site	National Capital 	DC	1980	12	1,570
Frederick Douglass NHS	FRDO	National Historic Site	National Capital 	DC	1981	1	1,709
Frederick Douglass NHS	FRDO	National Historic Site	National Capital 	DC	1981	2	4,670
Frederick Douglass NHS	FRDO	National Historic Site	National Capital 	DC	1981	3	3,430
Frederick Douglass NHS	FRDO	National Historic Site	National Capital 	DC	1981	4	3,603
Frederick Douglass NHS	FRDO	National Historic Site	National Capital 	DC	1981	5	3,196
Frederick Douglass NHS	FRDO	National Historic Site	National Capital 	DC	1981	6	5,272
Frederick Douglass NHS	FRDO	National Historic Site	National Capital 	DC	1981	7	2,743
Frederick Douglass NHS	FRDO	National Historic Site	National Capital 	DC	1981	8	3,705
Frederick Douglass NHS	FRDO	National Historic Site	National Capital 	DC	1981	9	1,965
Frederick Douglass NHS	FRDO	National Historic Site	National Capital 	DC	1981	10	2,520
Frederick Douglass NHS	FRDO	National Historic Site	National Capital 	DC	1981	11	1,897
Frederick Douglass NHS	FRDO	National Historic Site	National Capital 	DC	1981	12	612
Frederick Douglass NHS	FRDO	National Historic Site	National Capital 	DC	1982	1	680
Frederick Douglass NHS	FRDO	National Historic Site	National Capital 	DC	1982	2	4,697
Frederick Douglass NHS	FRDO	National Historic Site	National Capital 	DC	1982	3	4,894
Frederick Douglass NHS	FRDO	National Historic Site	National Capital 	DC	1982	4	2,552
Frederick Douglass NHS	FRDO	National Historic Site	National Capital 	DC	1982	5	2,918
Frederick Douglass NHS	FRDO	National Historic Site	National Capital 	DC	1982	6	1,818
Frederick Douglass NHS	FRDO	National Historic Site	National Capital 	DC	1982	7	2,651
Frederick Douglass NHS	FRDO	National Historic Site	National Capital 	DC	1982	8	2,704
Frederick Douglass NHS	FRDO	National Historic Site	National Capital 	DC	1982	9	1,181
Frederick Douglass NHS	FRDO	National Historic Site	National Capital 	DC	1982	10	3,055
Frederick Douglass NHS	FRDO	National Historic Site	National Capital 	DC	1982	11	1,936
Frederick Douglass NHS	FRDO	National Historic Site	National Capital 	DC	1982	12	1,857
Frederick Douglass NHS	FRDO	National Historic Site	National Capital 	DC	1983	1	2,424
Frederick Douglass NHS	FRDO	National Historic Site	National Capital 	DC	1983	2	3,074
Frederick Douglass NHS	FRDO	National Historic Site	National Capital 	DC	1983	3	2,686
Frederick Douglass NHS	FRDO	National Historic Site	National Capital 	DC	1983	4	2,230
Frederick Douglass NHS	FRDO	National Historic Site	National Capital 	DC	1983	5	2,370
Frederick Douglass NHS	FRDO	National Historic Site	National Capital 	DC	1983	6	3,526
Frederick Douglass NHS	FRDO	National Historic Site	National Capital 	DC	1983	7	3,317
Frederick Douglass NHS	FRDO	National Historic Site	National Capital 	DC	1983	8	3,459
Frederick Douglass NHS	FRDO	National Historic Site	National Capital 	DC	1983	9	1,698
Frederick Douglass NHS	FRDO	National Historic Site	National Capital 	DC	1983	10	2,838
Frederick Douglass NHS	FRDO	National Historic Site	National Capital 	DC	1983	11	1,563
Frederick Douglass NHS	FRDO	National Historic Site	National Capital 	DC	1983	12	1,162
Frederick Douglass NHS	FRDO	National Historic Site	National Capital 	DC	1984	1	1,046
Frederick Douglass NHS	FRDO	National Historic Site	National Capital 	DC	1984	2	5,543
Frederick Douglass NHS	FRDO	National Historic Site	National Capital 	DC	1984	3	1,853
Frederick Douglass NHS	FRDO	National Historic Site	National Capital 	DC	1984	4	2,260
Frederick Douglass NHS	FRDO	National Historic Site	National Capital 	DC	1984	5	2,710
Frederick Douglass NHS	FRDO	National Historic Site	National Capital 	DC	1984	6	3,147
Frederick Douglass NHS	FRDO	National Historic Site	National Capital 	DC	1984	7	5,476
Frederick Douglass NHS	FRDO	National Historic Site	National Capital 	DC	1984	8	4,098
Frederick Douglass NHS	FRDO	National Historic Site	National Capital 	DC	1984	9	923
Frederick Douglass NHS	FRDO	National Historic Site	National Capital 	DC	1984	10	978
Frederick Douglass NHS	FRDO	National Historic Site	National Capital 	DC	1984	11	796
Frederick Douglass NHS	FRDO	National Historic Site	National Capital 	DC	1984	12	677
Frederick Douglass NHS	FRDO	National Historic Site	National Capital 	DC	1985	1	923
Frederick Douglass NHS	FRDO	National Historic Site	National Capital 	DC	1985	2	4,834
Frederick Douglass NHS	FRDO	National Historic Site	National Capital 	DC	1985	3	3,798
Frederick Douglass NHS	FRDO	National Historic Site	National Capital 	DC	1985	4	2,733
Frederick Douglass NHS	FRDO	National Historic Site	National Capital 	DC	1985	5	2,987
Frederick Douglass NHS	FRDO	National Historic Site	National Capital 	DC	1985	6	2,985
Frederick Douglass NHS	FRDO	National Historic Site	National Capital 	DC	1985	7	4,844
Frederick Douglass NHS	FRDO	National Historic Site	National Capital 	DC	1985	8	4,162
Frederick Douglass NHS	FRDO	National Historic Site	National Capital 	DC	1985	9	834
Frederick Douglass NHS	FRDO	National Historic Site	National Capital 	DC	1985	10	747
Frederick Douglass NHS	FRDO	National Historic Site	National Capital 	DC	1985	11	1,050
Frederick Douglass NHS	FRDO	National Historic Site	National Capital 	DC	1985	12	984
Frederick Douglass NHS	FRDO	National Historic Site	National Capital 	DC	1986	1	1,667
Frederick Douglass NHS	FRDO	National Historic Site	National Capital 	DC	1986	2	4,159
Frederick Douglass NHS	FRDO	National Historic Site	National Capital 	DC	1986	3	3,912
Frederick Douglass NHS	FRDO	National Historic Site	National Capital 	DC	1986	4	4,009
Frederick Douglass NHS	FRDO	National Historic Site	National Capital 	DC	1986	5	3,588
Frederick Douglass NHS	FRDO	National Historic Site	National Capital 	DC	1986	6	2,854
Frederick Douglass NHS	FRDO	National Historic Site	National Capital 	DC	1986	7	4,147
Frederick Douglass NHS	FRDO	National Historic Site	National Capital 	DC	1986	8	4,017
Frederick Douglass NHS	FRDO	National Historic Site	National Capital 	DC	1986	9	994
Frederick Douglass NHS	FRDO	National Historic Site	National Capital 	DC	1986	10	1,389
Frederick Douglass NHS	FRDO	National Historic Site	National Capital 	DC	1986	11	1,489
Frederick Douglass NHS	FRDO	National Historic Site	National Capital 	DC	1986	12	1,154
Frederick Douglass NHS	FRDO	National Historic Site	National Capital 	DC	1987	1	775
Frederick Douglass NHS	FRDO	National Historic Site	National Capital 	DC	1987	2	4,474
Frederick Douglass NHS	FRDO	National Historic Site	National Capital 	DC	1987	3	3,680
Frederick Douglass NHS	FRDO	National Historic Site	National Capital 	DC	1987	4	3,615
