Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Frederick Law Olmsted NHS	FRLA	National Historic Site	Northeast 	MA	1981	1	0
Frederick Law Olmsted NHS	FRLA	National Historic Site	Northeast 	MA	1981	2	0
Frederick Law Olmsted NHS	FRLA	National Historic Site	Northeast 	MA	1981	3	0
Frederick Law Olmsted NHS	FRLA	National Historic Site	Northeast 	MA	1981	4	360
Frederick Law Olmsted NHS	FRLA	National Historic Site	Northeast 	MA	1981	5	368
Frederick Law Olmsted NHS	FRLA	National Historic Site	Northeast 	MA	1981	6	113
Frederick Law Olmsted NHS	FRLA	National Historic Site	Northeast 	MA	1981	7	99
Frederick Law Olmsted NHS	FRLA	National Historic Site	Northeast 	MA	1981	8	185
Frederick Law Olmsted NHS	FRLA	National Historic Site	Northeast 	MA	1981	9	139
Frederick Law Olmsted NHS	FRLA	National Historic Site	Northeast 	MA	1981	10	249
Frederick Law Olmsted NHS	FRLA	National Historic Site	Northeast 	MA	1981	11	274
Frederick Law Olmsted NHS	FRLA	National Historic Site	Northeast 	MA	1981	12	95
Frederick Law Olmsted NHS	FRLA	National Historic Site	Northeast 	MA	1982	1	200
Frederick Law Olmsted NHS	FRLA	National Historic Site	Northeast 	MA	1982	2	241
Frederick Law Olmsted NHS	FRLA	National Historic Site	Northeast 	MA	1982	3	323
Frederick Law Olmsted NHS	FRLA	National Historic Site	Northeast 	MA	1982	4	227
Frederick Law Olmsted NHS	FRLA	National Historic Site	Northeast 	MA	1982	5	567
Frederick Law Olmsted NHS	FRLA	National Historic Site	Northeast 	MA	1982	6	220
Frederick Law Olmsted NHS	FRLA	National Historic Site	Northeast 	MA	1982	7	242
Frederick Law Olmsted NHS	FRLA	National Historic Site	Northeast 	MA	1982	8	113
Frederick Law Olmsted NHS	FRLA	National Historic Site	Northeast 	MA	1982	9	177
Frederick Law Olmsted NHS	FRLA	National Historic Site	Northeast 	MA	1982	10	327
Frederick Law Olmsted NHS	FRLA	National Historic Site	Northeast 	MA	1982	11	137
Frederick Law Olmsted NHS	FRLA	National Historic Site	Northeast 	MA	1982	12	137
Frederick Law Olmsted NHS	FRLA	National Historic Site	Northeast 	MA	1983	1	247
Frederick Law Olmsted NHS	FRLA	National Historic Site	Northeast 	MA	1983	2	557
Frederick Law Olmsted NHS	FRLA	National Historic Site	Northeast 	MA	1983	3	257
Frederick Law Olmsted NHS	FRLA	National Historic Site	Northeast 	MA	1983	4	367
Frederick Law Olmsted NHS	FRLA	National Historic Site	Northeast 	MA	1983	5	323
Frederick Law Olmsted NHS	FRLA	National Historic Site	Northeast 	MA	1983	6	249
Frederick Law Olmsted NHS	FRLA	National Historic Site	Northeast 	MA	1983	7	108
Frederick Law Olmsted NHS	FRLA	National Historic Site	Northeast 	MA	1983	8	271
Frederick Law Olmsted NHS	FRLA	National Historic Site	Northeast 	MA	1983	9	403
Frederick Law Olmsted NHS	FRLA	National Historic Site	Northeast 	MA	1983	10	142
Frederick Law Olmsted NHS	FRLA	National Historic Site	Northeast 	MA	1983	11	97
Frederick Law Olmsted NHS	FRLA	National Historic Site	Northeast 	MA	1983	12	51
Frederick Law Olmsted NHS	FRLA	National Historic Site	Northeast 	MA	1984	1	11
Frederick Law Olmsted NHS	FRLA	National Historic Site	Northeast 	MA	1984	2	52
Frederick Law Olmsted NHS	FRLA	National Historic Site	Northeast 	MA	1984	3	117
Frederick Law Olmsted NHS	FRLA	National Historic Site	Northeast 	MA	1984	4	369
Frederick Law Olmsted NHS	FRLA	National Historic Site	Northeast 	MA	1984	5	803
Frederick Law Olmsted NHS	FRLA	National Historic Site	Northeast 	MA	1984	6	253
Frederick Law Olmsted NHS	FRLA	National Historic Site	Northeast 	MA	1984	7	360
Frederick Law Olmsted NHS	FRLA	National Historic Site	Northeast 	MA	1984	8	240
Frederick Law Olmsted NHS	FRLA	National Historic Site	Northeast 	MA	1984	9	204
Frederick Law Olmsted NHS	FRLA	National Historic Site	Northeast 	MA	1984	10	410
Frederick Law Olmsted NHS	FRLA	National Historic Site	Northeast 	MA	1984	11	93
Frederick Law Olmsted NHS	FRLA	National Historic Site	Northeast 	MA	1984	12	72
Frederick Law Olmsted NHS	FRLA	National Historic Site	Northeast 	MA	1985	1	151
Frederick Law Olmsted NHS	FRLA	National Historic Site	Northeast 	MA	1985	2	295
Frederick Law Olmsted NHS	FRLA	National Historic Site	Northeast 	MA	1985	3	323
Frederick Law Olmsted NHS	FRLA	National Historic Site	Northeast 	MA	1985	4	622
Frederick Law Olmsted NHS	FRLA	National Historic Site	Northeast 	MA	1985	5	354
Frederick Law Olmsted NHS	FRLA	National Historic Site	Northeast 	MA	1985	6	189
Frederick Law Olmsted NHS	FRLA	National Historic Site	Northeast 	MA	1985	7	229
Frederick Law Olmsted NHS	FRLA	National Historic Site	Northeast 	MA	1985	8	285
Frederick Law Olmsted NHS	FRLA	National Historic Site	Northeast 	MA	1985	9	332
Frederick Law Olmsted NHS	FRLA	National Historic Site	Northeast 	MA	1985	10	234
Frederick Law Olmsted NHS	FRLA	National Historic Site	Northeast 	MA	1985	11	299
Frederick Law Olmsted NHS	FRLA	National Historic Site	Northeast 	MA	1985	12	144
Frederick Law Olmsted NHS	FRLA	National Historic Site	Northeast 	MA	1986	1	329
Frederick Law Olmsted NHS	FRLA	National Historic Site	Northeast 	MA	1986	2	369
Frederick Law Olmsted NHS	FRLA	National Historic Site	Northeast 	MA	1986	3	567
Frederick Law Olmsted NHS	FRLA	National Historic Site	Northeast 	MA	1986	4	656
Frederick Law Olmsted NHS	FRLA	National Historic Site	Northeast 	MA	1986	5	429
Frederick Law Olmsted NHS	FRLA	National Historic Site	Northeast 	MA	1986	6	622
Frederick Law Olmsted NHS	FRLA	National Historic Site	Northeast 	MA	1986	7	463
Frederick Law Olmsted NHS	FRLA	National Historic Site	Northeast 	MA	1986	8	474
Frederick Law Olmsted NHS	FRLA	National Historic Site	Northeast 	MA	1986	9	388
Frederick Law Olmsted NHS	FRLA	National Historic Site	Northeast 	MA	1986	10	310
Frederick Law Olmsted NHS	FRLA	National Historic Site	Northeast 	MA	1986	11	568
Frederick Law Olmsted NHS	FRLA	National Historic Site	Northeast 	MA	1986	12	228
Frederick Law Olmsted NHS	FRLA	National Historic Site	Northeast 	MA	1987	1	152
Frederick Law Olmsted NHS	FRLA	National Historic Site	Northeast 	MA	1987	2	389
Frederick Law Olmsted NHS	FRLA	National Historic Site	Northeast 	MA	1987	3	657
Frederick Law Olmsted NHS	FRLA	National Historic Site	Northeast 	MA	1987	4	492
Frederick Law Olmsted NHS	FRLA	National Historic Site	Northeast 	MA	1987	5	897
Frederick Law Olmsted NHS	FRLA	National Historic Site	Northeast 	MA	1987	6	768
Frederick Law Olmsted NHS	FRLA	National Historic Site	Northeast 	MA	1987	7	867
Frederick Law Olmsted NHS	FRLA	National Historic Site	Northeast 	MA	1987	8	652
Frederick Law Olmsted NHS	FRLA	National Historic Site	Northeast 	MA	1987	9	403
Frederick Law Olmsted NHS	FRLA	National Historic Site	Northeast 	MA	1987	10	647
Frederick Law Olmsted NHS	FRLA	National Historic Site	Northeast 	MA	1987	11	709
Frederick Law Olmsted NHS	FRLA	National Historic Site	Northeast 	MA	1987	12	682
Frederick Law Olmsted NHS	FRLA	National Historic Site	Northeast 	MA	1988	1	414
Frederick Law Olmsted NHS	FRLA	National Historic Site	Northeast 	MA	1988	2	508
Frederick Law Olmsted NHS	FRLA	National Historic Site	Northeast 	MA	1988	3	603
Frederick Law Olmsted NHS	FRLA	National Historic Site	Northeast 	MA	1988	4	443
Frederick Law Olmsted NHS	FRLA	National Historic Site	Northeast 	MA	1988	5	521
Frederick Law Olmsted NHS	FRLA	National Historic Site	Northeast 	MA	1988	6	475
Frederick Law Olmsted NHS	FRLA	National Historic Site	Northeast 	MA	1988	7	1,025
Frederick Law Olmsted NHS	FRLA	National Historic Site	Northeast 	MA	1988	8	825
Frederick Law Olmsted NHS	FRLA	National Historic Site	Northeast 	MA	1988	9	428
Frederick Law Olmsted NHS	FRLA	National Historic Site	Northeast 	MA	1988	10	340
