Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Fredericksburg & Spotsylvania NMP	FRSP	National Military Park	Northeast 	VA	1979	1	75,395
Fredericksburg & Spotsylvania NMP	FRSP	National Military Park	Northeast 	VA	1979	2	57,403
Fredericksburg & Spotsylvania NMP	FRSP	National Military Park	Northeast 	VA	1979	3	116,833
Fredericksburg & Spotsylvania NMP	FRSP	National Military Park	Northeast 	VA	1979	4	107,591
Fredericksburg & Spotsylvania NMP	FRSP	National Military Park	Northeast 	VA	1979	5	108,100
Fredericksburg & Spotsylvania NMP	FRSP	National Military Park	Northeast 	VA	1979	6	111,662
Fredericksburg & Spotsylvania NMP	FRSP	National Military Park	Northeast 	VA	1979	7	102,908
Fredericksburg & Spotsylvania NMP	FRSP	National Military Park	Northeast 	VA	1979	8	98,250
Fredericksburg & Spotsylvania NMP	FRSP	National Military Park	Northeast 	VA	1979	9	67,293
Fredericksburg & Spotsylvania NMP	FRSP	National Military Park	Northeast 	VA	1979	10	65,216
Fredericksburg & Spotsylvania NMP	FRSP	National Military Park	Northeast 	VA	1979	11	54,931
Fredericksburg & Spotsylvania NMP	FRSP	National Military Park	Northeast 	VA	1979	12	45,135
Fredericksburg & Spotsylvania NMP	FRSP	National Military Park	Northeast 	VA	1980	1	55,331
Fredericksburg & Spotsylvania NMP	FRSP	National Military Park	Northeast 	VA	1980	2	54,366
Fredericksburg & Spotsylvania NMP	FRSP	National Military Park	Northeast 	VA	1980	3	115,760
Fredericksburg & Spotsylvania NMP	FRSP	National Military Park	Northeast 	VA	1980	4	94,728
Fredericksburg & Spotsylvania NMP	FRSP	National Military Park	Northeast 	VA	1980	5	90,874
Fredericksburg & Spotsylvania NMP	FRSP	National Military Park	Northeast 	VA	1980	6	105,060
Fredericksburg & Spotsylvania NMP	FRSP	National Military Park	Northeast 	VA	1980	7	113,200
Fredericksburg & Spotsylvania NMP	FRSP	National Military Park	Northeast 	VA	1980	8	116,449
Fredericksburg & Spotsylvania NMP	FRSP	National Military Park	Northeast 	VA	1980	9	78,385
Fredericksburg & Spotsylvania NMP	FRSP	National Military Park	Northeast 	VA	1980	10	70,942
Fredericksburg & Spotsylvania NMP	FRSP	National Military Park	Northeast 	VA	1980	11	37,346
Fredericksburg & Spotsylvania NMP	FRSP	National Military Park	Northeast 	VA	1980	12	62,993
Fredericksburg & Spotsylvania NMP	FRSP	National Military Park	Northeast 	VA	1981	1	57,227
Fredericksburg & Spotsylvania NMP	FRSP	National Military Park	Northeast 	VA	1981	2	60,611
Fredericksburg & Spotsylvania NMP	FRSP	National Military Park	Northeast 	VA	1981	3	62,815
Fredericksburg & Spotsylvania NMP	FRSP	National Military Park	Northeast 	VA	1981	4	94,780
Fredericksburg & Spotsylvania NMP	FRSP	National Military Park	Northeast 	VA	1981	5	87,631
Fredericksburg & Spotsylvania NMP	FRSP	National Military Park	Northeast 	VA	1981	6	85,118
Fredericksburg & Spotsylvania NMP	FRSP	National Military Park	Northeast 	VA	1981	7	116,847
Fredericksburg & Spotsylvania NMP	FRSP	National Military Park	Northeast 	VA	1981	8	113,816
Fredericksburg & Spotsylvania NMP	FRSP	National Military Park	Northeast 	VA	1981	9	90,179
Fredericksburg & Spotsylvania NMP	FRSP	National Military Park	Northeast 	VA	1981	10	82,948
Fredericksburg & Spotsylvania NMP	FRSP	National Military Park	Northeast 	VA	1981	11	83,758
Fredericksburg & Spotsylvania NMP	FRSP	National Military Park	Northeast 	VA	1981	12	64,726
Fredericksburg & Spotsylvania NMP	FRSP	National Military Park	Northeast 	VA	1982	1	34,281
Fredericksburg & Spotsylvania NMP	FRSP	National Military Park	Northeast 	VA	1982	2	51,342
Fredericksburg & Spotsylvania NMP	FRSP	National Military Park	Northeast 	VA	1982	3	60,300
Fredericksburg & Spotsylvania NMP	FRSP	National Military Park	Northeast 	VA	1982	4	85,362
Fredericksburg & Spotsylvania NMP	FRSP	National Military Park	Northeast 	VA	1982	5	91,415
Fredericksburg & Spotsylvania NMP	FRSP	National Military Park	Northeast 	VA	1982	6	107,909
Fredericksburg & Spotsylvania NMP	FRSP	National Military Park	Northeast 	VA	1982	7	117,166
Fredericksburg & Spotsylvania NMP	FRSP	National Military Park	Northeast 	VA	1982	8	110,595
Fredericksburg & Spotsylvania NMP	FRSP	National Military Park	Northeast 	VA	1982	9	82,780
